sku,_attribute_set,_type,_product_websites,_root_category,_category,name,price,special_price,status,visibility,tax_class_id,weight,description,short_description,qty,is_in_stock,color,size,fit,material,_media_image,image,small_image,thumbnail,url_key,_super_products_sku,_super_attribute_code,_super_attribute_option
W-SILK-BLOUSE,Fashion,configurable,fashion,Fashion,Women/Tops & Blouses,Meridian silk blouse,129,,1,4,2,1,A fluid silk blouse with a concealed placket and a slightly dropped shoulder. Wear it tucked or loose.,A fluid silk blouse with a concealed placket and a slightly dropped shoulder.,0,1,,,Regular,Silk,w-silk-blouse-ivory.webp,w-silk-blouse-ivory.webp,w-silk-blouse-ivory.webp,w-silk-blouse-ivory.webp,meridian-silk-blouse,W-SILK-BLOUSE-IVORY,color,Ivory
,,,,,,,,,,,,,,,,,,,,,,,,,,W-SILK-BLOUSE-BLACK,color,Black
,,,,,,,,,,,,,,,,,,,,,,,,,,W-SILK-BLOUSE-SALMON,color,Salmon
W-KNIT-TANK-BLACK,Fashion,simple,fashion,Fashion,,Nordlys ribbed tank Black,39,,1,1,2,1,A ribbed cotton tank with a square neck. The layering piece that works alone on warm days.,A ribbed cotton tank with a square neck.,14,1,Black,,Slim,Cotton,w-knit-tank-black.webp,w-knit-tank-black.webp,w-knit-tank-black.webp,w-knit-tank-black.webp,nordlys-ribbed-tank-black,,,
W-KNIT-TANK-OATMEAL,Fashion,simple,fashion,Fashion,,Nordlys ribbed tank Oatmeal,39,,1,1,2,1,A ribbed cotton tank with a square neck. The layering piece that works alone on warm days.,A ribbed cotton tank with a square neck.,31,1,Oatmeal,,Slim,Cotton,w-knit-tank-oatmeal.webp,w-knit-tank-oatmeal.webp,w-knit-tank-oatmeal.webp,w-knit-tank-oatmeal.webp,nordlys-ribbed-tank-oatmeal,,,
W-KNIT-TANK-GREEN,Fashion,simple,fashion,Fashion,,Nordlys ribbed tank Green,39,,1,1,2,1,A ribbed cotton tank with a square neck. The layering piece that works alone on warm days.,A ribbed cotton tank with a square neck.,45,1,Green,,Slim,Cotton,w-knit-tank-green.webp,w-knit-tank-green.webp,w-knit-tank-green.webp,w-knit-tank-green.webp,nordlys-ribbed-tank-green,,,
W-KNIT-TANK,Fashion,configurable,fashion,Fashion,Women/Tops & Blouses,Nordlys ribbed tank,39,,1,4,2,1,A ribbed cotton tank with a square neck. The layering piece that works alone on warm days.,A ribbed cotton tank with a square neck.,0,1,,,Slim,Cotton,w-knit-tank-black.webp,w-knit-tank-black.webp,w-knit-tank-black.webp,w-knit-tank-black.webp,nordlys-ribbed-tank,W-KNIT-TANK-BLACK,color,Black
,,,,,,,,,,,,,,,,,,,,,,,,,,W-KNIT-TANK-OATMEAL,color,Oatmeal
,,,,,,,,,,,,,,,,,,,,,,,,,,W-KNIT-TANK-GREEN,color,Green
W-WRAP-TOP-S,Fashion,simple,fashion,Fashion,,Bruma Sol wrap top S,69,,1,1,2,1,"A wrap top in crinkled cotton that ties at the side. No ironing, ever.",A wrap top in crinkled cotton that ties at the side.,40,1,,S,Regular,Cotton,w-wrap-top.webp,w-wrap-top.webp,w-wrap-top.webp,w-wrap-top.webp,bruma-sol-wrap-top-s,,,
W-WRAP-TOP-M,Fashion,simple,fashion,Fashion,,Bruma Sol wrap top M,69,,1,1,2,1,"A wrap top in crinkled cotton that ties at the side. No ironing, ever.",A wrap top in crinkled cotton that ties at the side.,21,1,,M,Regular,Cotton,w-wrap-top.webp,w-wrap-top.webp,w-wrap-top.webp,w-wrap-top.webp,bruma-sol-wrap-top-m,,,
W-WRAP-TOP-L,Fashion,simple,fashion,Fashion,,Bruma Sol wrap top L,69,,1,1,2,1,"A wrap top in crinkled cotton that ties at the side. No ironing, ever.",A wrap top in crinkled cotton that ties at the side.,10,1,,L,Regular,Cotton,w-wrap-top.webp,w-wrap-top.webp,w-wrap-top.webp,w-wrap-top.webp,bruma-sol-wrap-top-l,,,
W-WRAP-TOP,Fashion,configurable,fashion,Fashion,Women/Tops & Blouses,Bruma Sol wrap top,69,,1,4,2,1,"A wrap top in crinkled cotton that ties at the side. No ironing, ever.",A wrap top in crinkled cotton that ties at the side.,0,1,,,Regular,Cotton,w-wrap-top.webp,w-wrap-top.webp,w-wrap-top.webp,w-wrap-top.webp,bruma-sol-wrap-top,W-WRAP-TOP-S,size,S
,,,,,,,,,,,,,,,,,,,,,,,,,,W-WRAP-TOP-M,size,M
,,,,,,,,,,,,,,,,,,,,,,,,,,W-WRAP-TOP-L,size,L
W-STRIPE-TEE-BLUE,Fashion,simple,fashion,Fashion,,Harbour stripe tee Blue,35,,1,1,2,1,"A heavyweight striped tee with a boat neck, cut from organic cotton.","A heavyweight striped tee with a boat neck, cut from organic cotton..",35,1,Blue,,Regular,Cotton,w-stripe-tee-blue.webp,w-stripe-tee-blue.webp,w-stripe-tee-blue.webp,w-stripe-tee-blue.webp,harbour-stripe-tee-blue,,,
W-STRIPE-TEE-RED,Fashion,simple,fashion,Fashion,,Harbour stripe tee Red,35,,1,1,2,1,"A heavyweight striped tee with a boat neck, cut from organic cotton.","A heavyweight striped tee with a boat neck, cut from organic cotton..",34,1,Red,,Regular,Cotton,w-stripe-tee-red.webp,w-stripe-tee-red.webp,w-stripe-tee-red.webp,w-stripe-tee-red.webp,harbour-stripe-tee-red,,,
W-STRIPE-TEE,Fashion,configurable,fashion,Fashion,Women/Tops & Blouses,Harbour stripe tee,35,29,1,4,2,1,"A heavyweight striped tee with a boat neck, cut from organic cotton.","A heavyweight striped tee with a boat neck, cut from organic cotton..",0,1,,,Regular,Cotton,w-stripe-tee-blue.webp,w-stripe-tee-blue.webp,w-stripe-tee-blue.webp,w-stripe-tee-blue.webp,harbour-stripe-tee,W-STRIPE-TEE-BLUE,color,Blue
,,,,,,,,,,,,,,,,,,,,,,,,,,W-STRIPE-TEE-RED,color,Red
,,,,Fashion,Sale,,,,,,,,,,,,,,,,,,,,,,,
W-WIDE-TROUSER-OATMEAL,Fashion,simple,fashion,Fashion,,Sand wide-leg trousers Oatmeal,95,,1,1,2,1,High-waisted wide-leg trousers in a linen and viscose blend that falls straight and cool.,High-waisted wide-leg trousers in a linen and viscose blend that falls straight and cool..,23,1,Oatmeal,,Relaxed,Linen,w-wide-trouser-oatmeal.webp,w-wide-trouser-oatmeal.webp,w-wide-trouser-oatmeal.webp,w-wide-trouser-oatmeal.webp,sand-wide-leg-trousers-oatmeal,,,
W-WIDE-TROUSER-BLACK,Fashion,simple,fashion,Fashion,,Sand wide-leg trousers Black,95,,1,1,2,1,High-waisted wide-leg trousers in a linen and viscose blend that falls straight and cool.,High-waisted wide-leg trousers in a linen and viscose blend that falls straight and cool..,13,1,Black,,Relaxed,Linen,w-wide-trouser-black.webp,w-wide-trouser-black.webp,w-wide-trouser-black.webp,w-wide-trouser-black.webp,sand-wide-leg-trousers-black,,,
W-WIDE-TROUSER-KHAKI,Fashion,simple,fashion,Fashion,,Sand wide-leg trousers Khaki,95,,1,1,2,1,High-waisted wide-leg trousers in a linen and viscose blend that falls straight and cool.,High-waisted wide-leg trousers in a linen and viscose blend that falls straight and cool..,43,1,Khaki,,Relaxed,Linen,w-wide-trouser-khaki.webp,w-wide-trouser-khaki.webp,w-wide-trouser-khaki.webp,w-wide-trouser-khaki.webp,sand-wide-leg-trousers-khaki,,,
W-WIDE-TROUSER,Fashion,configurable,fashion,Fashion,Women/Pants & Denim,Sand wide-leg trousers,95,,1,4,2,1,High-waisted wide-leg trousers in a linen and viscose blend that falls straight and cool.,High-waisted wide-leg trousers in a linen and viscose blend that falls straight and cool..,0,1,,,Relaxed,Linen,w-wide-trouser-oatmeal.webp,w-wide-trouser-oatmeal.webp,w-wide-trouser-oatmeal.webp,w-wide-trouser-oatmeal.webp,sand-wide-leg-trousers,W-WIDE-TROUSER-OATMEAL,color,Oatmeal
,,,,,,,,,,,,,,,,,,,,,,,,,,W-WIDE-TROUSER-BLACK,color,Black
,,,,,,,,,,,,,,,,,,,,,,,,,,W-WIDE-TROUSER-KHAKI,color,Khaki
,,,,Fashion,Women/New Arrivals,,,,,,,,,,,,,,,,,,,,,,,
W-STRAIGHT-JEAN-BLUE-JEAN,Fashion,simple,fashion,Fashion,,Fjordline straight jeans Blue Jean,110,,1,1,2,1,A straight-leg jean in rigid organic denim with a high rise. Breaks in to fit you.,A straight-leg jean in rigid organic denim with a high rise.,11,1,Blue Jean,,Regular,Denim,w-straight-jean-blue-jean.webp,w-straight-jean-blue-jean.webp,w-straight-jean-blue-jean.webp,w-straight-jean-blue-jean.webp,fjordline-straight-jeans-blue-jean,,,
W-STRAIGHT-JEAN-BLUE-DARK,Fashion,simple,fashion,Fashion,,Fjordline straight jeans Blue Dark,110,,1,1,2,1,A straight-leg jean in rigid organic denim with a high rise. Breaks in to fit you.,A straight-leg jean in rigid organic denim with a high rise.,60,1,Blue Dark,,Regular,Denim,w-straight-jean-blue-dark.webp,w-straight-jean-blue-dark.webp,w-straight-jean-blue-dark.webp,w-straight-jean-blue-dark.webp,fjordline-straight-jeans-blue-dark,,,
W-STRAIGHT-JEAN-BLACK,Fashion,simple,fashion,Fashion,,Fjordline straight jeans Black,110,,1,1,2,1,A straight-leg jean in rigid organic denim with a high rise. Breaks in to fit you.,A straight-leg jean in rigid organic denim with a high rise.,44,1,Black,,Regular,Denim,w-straight-jean-black.webp,w-straight-jean-black.webp,w-straight-jean-black.webp,w-straight-jean-black.webp,fjordline-straight-jeans-black,,,
W-STRAIGHT-JEAN,Fashion,configurable,fashion,Fashion,Women/Pants & Denim,Fjordline straight jeans,110,,1,4,2,1,A straight-leg jean in rigid organic denim with a high rise. Breaks in to fit you.,A straight-leg jean in rigid organic denim with a high rise.,0,1,,,Regular,Denim,w-straight-jean-blue-jean.webp,w-straight-jean-blue-jean.webp,w-straight-jean-blue-jean.webp,w-straight-jean-blue-jean.webp,fjordline-straight-jeans,W-STRAIGHT-JEAN-BLUE-JEAN,color,Blue Jean
,,,,,,,,,,,,,,,,,,,,,,,,,,W-STRAIGHT-JEAN-BLUE-DARK,color,Blue Dark
,,,,,,,,,,,,,,,,,,,,,,,,,,W-STRAIGHT-JEAN-BLACK,color,Black
W-CROP-PANT-36,Fashion,simple,fashion,Fashion,,Coast cropped chinos 36,75,,1,1,2,1,"Cropped chinos in garment-dyed cotton twill, with a clean front and a slim ankle.","Cropped chinos in garment-dyed cotton twill, with a clean front and a slim ankle..",22,1,,36,Slim,Cotton,w-crop-pant.webp,w-crop-pant.webp,w-crop-pant.webp,w-crop-pant.webp,coast-cropped-chinos-36,,,
W-CROP-PANT-38,Fashion,simple,fashion,Fashion,,Coast cropped chinos 38,75,,1,1,2,1,"Cropped chinos in garment-dyed cotton twill, with a clean front and a slim ankle.","Cropped chinos in garment-dyed cotton twill, with a clean front and a slim ankle..",48,1,,38,Slim,Cotton,w-crop-pant.webp,w-crop-pant.webp,w-crop-pant.webp,w-crop-pant.webp,coast-cropped-chinos-38,,,
W-CROP-PANT-40,Fashion,simple,fashion,Fashion,,Coast cropped chinos 40,75,,1,1,2,1,"Cropped chinos in garment-dyed cotton twill, with a clean front and a slim ankle.","Cropped chinos in garment-dyed cotton twill, with a clean front and a slim ankle..",48,1,,40,Slim,Cotton,w-crop-pant.webp,w-crop-pant.webp,w-crop-pant.webp,w-crop-pant.webp,coast-cropped-chinos-40,,,
W-CROP-PANT-42,Fashion,simple,fashion,Fashion,,Coast cropped chinos 42,75,,1,1,2,1,"Cropped chinos in garment-dyed cotton twill, with a clean front and a slim ankle.","Cropped chinos in garment-dyed cotton twill, with a clean front and a slim ankle..",45,1,,42,Slim,Cotton,w-crop-pant.webp,w-crop-pant.webp,w-crop-pant.webp,w-crop-pant.webp,coast-cropped-chinos-42,,,
W-CROP-PANT,Fashion,configurable,fashion,Fashion,Women/Pants & Denim,Coast cropped chinos,75,,1,4,2,1,"Cropped chinos in garment-dyed cotton twill, with a clean front and a slim ankle.","Cropped chinos in garment-dyed cotton twill, with a clean front and a slim ankle..",0,1,,,Slim,Cotton,w-crop-pant.webp,w-crop-pant.webp,w-crop-pant.webp,w-crop-pant.webp,coast-cropped-chinos,W-CROP-PANT-36,size,36
,,,,,,,,,,,,,,,,,,,,,,,,,,W-CROP-PANT-38,size,38
,,,,,,,,,,,,,,,,,,,,,,,,,,W-CROP-PANT-40,size,40
,,,,,,,,,,,,,,,,,,,,,,,,,,W-CROP-PANT-42,size,42
W-DENIM-SHORT-36,Fashion,simple,fashion,Fashion,,Salt denim shorts 36,55,,1,1,2,1,"Relaxed denim shorts with a raw hem and a high waist, in a light wash.","Relaxed denim shorts with a raw hem and a high waist, in a light wash..",44,1,,36,Relaxed,Denim,w-denim-short.webp,w-denim-short.webp,w-denim-short.webp,w-denim-short.webp,salt-denim-shorts-36,,,
W-DENIM-SHORT-38,Fashion,simple,fashion,Fashion,,Salt denim shorts 38,55,,1,1,2,1,"Relaxed denim shorts with a raw hem and a high waist, in a light wash.","Relaxed denim shorts with a raw hem and a high waist, in a light wash..",45,1,,38,Relaxed,Denim,w-denim-short.webp,w-denim-short.webp,w-denim-short.webp,w-denim-short.webp,salt-denim-shorts-38,,,
W-DENIM-SHORT-40,Fashion,simple,fashion,Fashion,,Salt denim shorts 40,55,,1,1,2,1,"Relaxed denim shorts with a raw hem and a high waist, in a light wash.","Relaxed denim shorts with a raw hem and a high waist, in a light wash..",33,1,,40,Relaxed,Denim,w-denim-short.webp,w-denim-short.webp,w-denim-short.webp,w-denim-short.webp,salt-denim-shorts-40,,,
W-DENIM-SHORT-42,Fashion,simple,fashion,Fashion,,Salt denim shorts 42,55,,1,1,2,1,"Relaxed denim shorts with a raw hem and a high waist, in a light wash.","Relaxed denim shorts with a raw hem and a high waist, in a light wash..",11,1,,42,Relaxed,Denim,w-denim-short.webp,w-denim-short.webp,w-denim-short.webp,w-denim-short.webp,salt-denim-shorts-42,,,
W-DENIM-SHORT,Fashion,configurable,fashion,Fashion,Women/Pants & Denim,Salt denim shorts,55,45,1,4,2,1,"Relaxed denim shorts with a raw hem and a high waist, in a light wash.","Relaxed denim shorts with a raw hem and a high waist, in a light wash..",0,1,,,Relaxed,Denim,w-denim-short.webp,w-denim-short.webp,w-denim-short.webp,w-denim-short.webp,salt-denim-shorts,W-DENIM-SHORT-36,size,36
,,,,,,,,,,,,,,,,,,,,,,,,,,W-DENIM-SHORT-38,size,38
,,,,,,,,,,,,,,,,,,,,,,,,,,W-DENIM-SHORT-40,size,40
,,,,,,,,,,,,,,,,,,,,,,,,,,W-DENIM-SHORT-42,size,42
,,,,Fashion,Sale,,,,,,,,,,,,,,,,,,,,,,,
W-LINEN-DRESS-IVORY,Fashion,simple,fashion,Fashion,,Ashford linen midi dress Ivory,149,,1,1,2,1,A sleeveless linen midi dress with a square neck and pockets. The one you pack first.,A sleeveless linen midi dress with a square neck and pockets.,10,1,Ivory,,Regular,Linen,w-linen-dress-ivory.webp,w-linen-dress-ivory.webp,w-linen-dress-ivory.webp,w-linen-dress-ivory.webp,ashford-linen-midi-dress-ivory,,,
W-LINEN-DRESS-BLACK,Fashion,simple,fashion,Fashion,,Ashford linen midi dress Black,149,,1,1,2,1,A sleeveless linen midi dress with a square neck and pockets. The one you pack first.,A sleeveless linen midi dress with a square neck and pockets.,43,1,Black,,Regular,Linen,w-linen-dress-black.webp,w-linen-dress-black.webp,w-linen-dress-black.webp,w-linen-dress-black.webp,ashford-linen-midi-dress-black,,,
W-LINEN-DRESS-BLUE,Fashion,simple,fashion,Fashion,,Ashford linen midi dress Blue,149,,1,1,2,1,A sleeveless linen midi dress with a square neck and pockets. The one you pack first.,A sleeveless linen midi dress with a square neck and pockets.,16,1,Blue,,Regular,Linen,w-linen-dress-blue.webp,w-linen-dress-blue.webp,w-linen-dress-blue.webp,w-linen-dress-blue.webp,ashford-linen-midi-dress-blue,,,
W-LINEN-DRESS,Fashion,configurable,fashion,Fashion,Women/Dresses & Skirts,Ashford linen midi dress,149,,1,4,2,1,A sleeveless linen midi dress with a square neck and pockets. The one you pack first.,A sleeveless linen midi dress with a square neck and pockets.,0,1,,,Regular,Linen,w-linen-dress-ivory.webp,w-linen-dress-ivory.webp,w-linen-dress-ivory.webp,w-linen-dress-ivory.webp,ashford-linen-midi-dress,W-LINEN-DRESS-IVORY,color,Ivory
,,,,,,,,,,,,,,,,,,,,,,,,,,W-LINEN-DRESS-BLACK,color,Black
,,,,,,,,,,,,,,,,,,,,,,,,,,W-LINEN-DRESS-BLUE,color,Blue
W-SLIP-DRESS-BLACK,Fashion,simple,fashion,Fashion,,Meridian slip dress Black,119,,1,1,2,1,"A bias-cut silk slip dress that skims rather than clings. Dinner, then dancing.",A bias-cut silk slip dress that skims rather than clings.,34,1,Black,,Slim,Silk,w-slip-dress-black.webp,w-slip-dress-black.webp,w-slip-dress-black.webp,w-slip-dress-black.webp,meridian-slip-dress-black,,,
W-SLIP-DRESS-SALMON,Fashion,simple,fashion,Fashion,,Meridian slip dress Salmon,119,,1,1,2,1,"A bias-cut silk slip dress that skims rather than clings. Dinner, then dancing.",A bias-cut silk slip dress that skims rather than clings.,17,1,Salmon,,Slim,Silk,w-slip-dress-salmon.webp,w-slip-dress-salmon.webp,w-slip-dress-salmon.webp,w-slip-dress-salmon.webp,meridian-slip-dress-salmon,,,
W-SLIP-DRESS,Fashion,configurable,fashion,Fashion,Women/Dresses & Skirts,Meridian slip dress,119,,1,4,2,1,"A bias-cut silk slip dress that skims rather than clings. Dinner, then dancing.",A bias-cut silk slip dress that skims rather than clings.,0,1,,,Slim,Silk,w-slip-dress-black.webp,w-slip-dress-black.webp,w-slip-dress-black.webp,w-slip-dress-black.webp,meridian-slip-dress,W-SLIP-DRESS-BLACK,color,Black
,,,,,,,,,,,,,,,,,,,,,,,,,,W-SLIP-DRESS-SALMON,color,Salmon
,,,,Fashion,Women/New Arrivals,,,,,,,,,,,,,,,,,,,,,,,
W-SHIRT-DRESS-S,Fashion,simple,fashion,Fashion,,Harbour shirt dress S,125,,1,1,2,1,A cotton poplin shirt dress with a belted waist and a full skirt.,A cotton poplin shirt dress with a belted waist and a full skirt..,15,1,,S,Relaxed,Cotton,w-shirt-dress.webp,w-shirt-dress.webp,w-shirt-dress.webp,w-shirt-dress.webp,harbour-shirt-dress-s,,,
W-SHIRT-DRESS-M,Fashion,simple,fashion,Fashion,,Harbour shirt dress M,125,,1,1,2,1,A cotton poplin shirt dress with a belted waist and a full skirt.,A cotton poplin shirt dress with a belted waist and a full skirt..,44,1,,M,Relaxed,Cotton,w-shirt-dress.webp,w-shirt-dress.webp,w-shirt-dress.webp,w-shirt-dress.webp,harbour-shirt-dress-m,,,
W-SHIRT-DRESS-L,Fashion,simple,fashion,Fashion,,Harbour shirt dress L,125,,1,1,2,1,A cotton poplin shirt dress with a belted waist and a full skirt.,A cotton poplin shirt dress with a belted waist and a full skirt..,27,1,,L,Relaxed,Cotton,w-shirt-dress.webp,w-shirt-dress.webp,w-shirt-dress.webp,w-shirt-dress.webp,harbour-shirt-dress-l,,,
W-SHIRT-DRESS,Fashion,configurable,fashion,Fashion,Women/Dresses & Skirts,Harbour shirt dress,125,,1,4,2,1,A cotton poplin shirt dress with a belted waist and a full skirt.,A cotton poplin shirt dress with a belted waist and a full skirt..,0,1,,,Relaxed,Cotton,w-shirt-dress.webp,w-shirt-dress.webp,w-shirt-dress.webp,w-shirt-dress.webp,harbour-shirt-dress,W-SHIRT-DRESS-S,size,S
,,,,,,,,,,,,,,,,,,,,,,,,,,W-SHIRT-DRESS-M,size,M
,,,,,,,,,,,,,,,,,,,,,,,,,,W-SHIRT-DRESS-L,size,L
W-PLEAT-SKIRT-BLACK,Fashion,simple,fashion,Fashion,,Sable pleated skirt Black,89,,1,1,2,1,"A knife-pleated midi skirt in recycled satin, with an elastic waistband.","A knife-pleated midi skirt in recycled satin, with an elastic waistband..",60,1,Black,,Regular,Recycled polyester,w-pleat-skirt-black.webp,w-pleat-skirt-black.webp,w-pleat-skirt-black.webp,w-pleat-skirt-black.webp,sable-pleated-skirt-black,,,
W-PLEAT-SKIRT-OATMEAL,Fashion,simple,fashion,Fashion,,Sable pleated skirt Oatmeal,89,,1,1,2,1,"A knife-pleated midi skirt in recycled satin, with an elastic waistband.","A knife-pleated midi skirt in recycled satin, with an elastic waistband..",51,1,Oatmeal,,Regular,Recycled polyester,w-pleat-skirt-oatmeal.webp,w-pleat-skirt-oatmeal.webp,w-pleat-skirt-oatmeal.webp,w-pleat-skirt-oatmeal.webp,sable-pleated-skirt-oatmeal,,,
W-PLEAT-SKIRT,Fashion,configurable,fashion,Fashion,Women/Dresses & Skirts,Sable pleated skirt,89,,1,4,2,1,"A knife-pleated midi skirt in recycled satin, with an elastic waistband.","A knife-pleated midi skirt in recycled satin, with an elastic waistband..",0,1,,,Regular,Recycled polyester,w-pleat-skirt-black.webp,w-pleat-skirt-black.webp,w-pleat-skirt-black.webp,w-pleat-skirt-black.webp,sable-pleated-skirt,W-PLEAT-SKIRT-BLACK,color,Black
,,,,,,,,,,,,,,,,,,,,,,,,,,W-PLEAT-SKIRT-OATMEAL,color,Oatmeal
W-DENIM-SKIRT-36,Fashion,simple,fashion,Fashion,,Salt denim skirt 36,69,,1,1,2,1,"An A-line denim mini skirt with patch pockets, in a mid wash.","An A-line denim mini skirt with patch pockets, in a mid wash..",14,1,,36,Regular,Denim,w-denim-skirt.webp,w-denim-skirt.webp,w-denim-skirt.webp,w-denim-skirt.webp,salt-denim-skirt-36,,,
W-DENIM-SKIRT-38,Fashion,simple,fashion,Fashion,,Salt denim skirt 38,69,,1,1,2,1,"An A-line denim mini skirt with patch pockets, in a mid wash.","An A-line denim mini skirt with patch pockets, in a mid wash..",45,1,,38,Regular,Denim,w-denim-skirt.webp,w-denim-skirt.webp,w-denim-skirt.webp,w-denim-skirt.webp,salt-denim-skirt-38,,,
W-DENIM-SKIRT-40,Fashion,simple,fashion,Fashion,,Salt denim skirt 40,69,,1,1,2,1,"An A-line denim mini skirt with patch pockets, in a mid wash.","An A-line denim mini skirt with patch pockets, in a mid wash..",44,1,,40,Regular,Denim,w-denim-skirt.webp,w-denim-skirt.webp,w-denim-skirt.webp,w-denim-skirt.webp,salt-denim-skirt-40,,,
W-DENIM-SKIRT-42,Fashion,simple,fashion,Fashion,,Salt denim skirt 42,69,,1,1,2,1,"An A-line denim mini skirt with patch pockets, in a mid wash.","An A-line denim mini skirt with patch pockets, in a mid wash..",48,1,,42,Regular,Denim,w-denim-skirt.webp,w-denim-skirt.webp,w-denim-skirt.webp,w-denim-skirt.webp,salt-denim-skirt-42,,,
W-DENIM-SKIRT,Fashion,configurable,fashion,Fashion,Women/Dresses & Skirts,Salt denim skirt,69,,1,4,2,1,"An A-line denim mini skirt with patch pockets, in a mid wash.","An A-line denim mini skirt with patch pockets, in a mid wash..",0,1,,,Regular,Denim,w-denim-skirt.webp,w-denim-skirt.webp,w-denim-skirt.webp,w-denim-skirt.webp,salt-denim-skirt,W-DENIM-SKIRT-36,size,36
,,,,,,,,,,,,,,,,,,,,,,,,,,W-DENIM-SKIRT-38,size,38
,,,,,,,,,,,,,,,,,,,,,,,,,,W-DENIM-SKIRT-40,size,40
,,,,,,,,,,,,,,,,,,,,,,,,,,W-DENIM-SKIRT-42,size,42
M-LINEN-SHIRT-WHITE,Fashion,simple,fashion,Fashion,,Ashford linen camp shirt White,85,,1,1,2,1,"A washed linen shirt with a one-piece collar. Roll the sleeves, forget the iron.",A washed linen shirt with a one-piece collar.,31,1,White,,Regular,Linen,m-linen-shirt-white.webp,m-linen-shirt-white.webp,m-linen-shirt-white.webp,m-linen-shirt-white.webp,ashford-linen-camp-shirt-white,,,
