sku,_attribute_set,_type,_product_websites,_root_category,_category,name,price,special_price,status,visibility,tax_class_id,weight,description,short_description,qty,is_in_stock,sport,size,color,material,_media_image,image,small_image,thumbnail,url_key,_super_products_sku,_super_attribute_code,_super_attribute_option,_associated_sku,_associated_default_qty,_associated_position
S-RUN-JACKET-BLACK,Sports,simple,sports,Sports,,Running shell Black,130,,1,1,2,0.8,A 90 g waterproof shell that packs into its own pocket. Taped seams and a hood that stays up in wind. It packs to the size of a fist.,A 90 g waterproof shell that packs into its own pocket.,27,1,Running|Cycling,,Black,Recycled polyester,s-run-jacket-black.webp,s-run-jacket-black.webp,s-run-jacket-black.webp,s-run-jacket-black.webp,running-shell-black,,,,,,
S-RUN-JACKET-BLUE,Sports,simple,sports,Sports,,Running shell Blue,130,,1,1,2,0.8,A 90 g waterproof shell that packs into its own pocket. Taped seams and a hood that stays up in wind. It packs to the size of a fist.,A 90 g waterproof shell that packs into its own pocket.,59,1,Running|Cycling,,Blue,Recycled polyester,s-run-jacket-blue.webp,s-run-jacket-blue.webp,s-run-jacket-blue.webp,s-run-jacket-blue.webp,running-shell-blue,,,,,,
S-RUN-JACKET,Sports,configurable,sports,Sports,Running,Running shell,130,,1,4,2,0.8,A 90 g waterproof shell that packs into its own pocket. Taped seams and a hood that stays up in wind. It packs to the size of a fist.,A 90 g waterproof shell that packs into its own pocket.,0,1,Running|Cycling,,,Recycled polyester,s-run-jacket-yellow.webp,s-run-jacket-yellow.webp,s-run-jacket-yellow.webp,s-run-jacket-yellow.webp,running-shell,S-RUN-JACKET-YELLOW,color,Yellow,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,S-RUN-JACKET-BLACK,color,Black,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,S-RUN-JACKET-BLUE,color,Blue,,,
S-RUN-SHORT-BLACK,Sports,simple,sports,Sports,,Split shorts Black,45,,1,1,2,0.8,"Five-inch split shorts with a brief liner and a zip pocket. The split lets the leg move, the liner stops the chafe. The pocket holds a phone.",Five-inch split shorts with a brief liner and a zip pocket.,43,1,Running,,Black,Recycled polyester,s-run-short-black.webp,s-run-short-black.webp,s-run-short-black.webp,s-run-short-black.webp,split-shorts-black,,,,,,
S-RUN-SHORT-BLUE-DARK,Sports,simple,sports,Sports,,Split shorts Blue Dark,45,,1,1,2,0.8,"Five-inch split shorts with a brief liner and a zip pocket. The split lets the leg move, the liner stops the chafe. The pocket holds a phone.",Five-inch split shorts with a brief liner and a zip pocket.,24,1,Running,,Blue Dark,Recycled polyester,s-run-short-blue-dark.webp,s-run-short-blue-dark.webp,s-run-short-blue-dark.webp,s-run-short-blue-dark.webp,split-shorts-blue-dark,,,,,,
S-RUN-SHORT-GREEN,Sports,simple,sports,Sports,,Split shorts Green,45,,1,1,2,0.8,"Five-inch split shorts with a brief liner and a zip pocket. The split lets the leg move, the liner stops the chafe. The pocket holds a phone.",Five-inch split shorts with a brief liner and a zip pocket.,38,1,Running,,Green,Recycled polyester,s-run-short-green.webp,s-run-short-green.webp,s-run-short-green.webp,s-run-short-green.webp,split-shorts-green,,,,,,
S-RUN-SHORT,Sports,configurable,sports,Sports,Running,Split shorts,45,,1,4,2,0.8,"Five-inch split shorts with a brief liner and a zip pocket. The split lets the leg move, the liner stops the chafe. The pocket holds a phone.",Five-inch split shorts with a brief liner and a zip pocket.,0,1,Running,,,Recycled polyester,s-run-short-black.webp,s-run-short-black.webp,s-run-short-black.webp,s-run-short-black.webp,split-shorts,S-RUN-SHORT-BLACK,color,Black,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,S-RUN-SHORT-BLUE-DARK,color,Blue Dark,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,S-RUN-SHORT-GREEN,color,Green,,,
S-RUN-TEE-WHITE,Sports,simple,sports,Sports,,Running tee White,40,,1,1,2,0.8,A recycled polyester tee with flat seams and a reflective hit. It dries in an hour and never smells of yesterday. Cut close without clinging.,A recycled polyester tee with flat seams and a reflective hit.,25,1,Running|Gym,,White,Recycled polyester,s-run-tee-white.webp,s-run-tee-white.webp,s-run-tee-white.webp,s-run-tee-white.webp,running-tee-white,,,,,,
S-RUN-TEE-BLACK,Sports,simple,sports,Sports,,Running tee Black,40,,1,1,2,0.8,A recycled polyester tee with flat seams and a reflective hit. It dries in an hour and never smells of yesterday. Cut close without clinging.,A recycled polyester tee with flat seams and a reflective hit.,48,1,Running|Gym,,Black,Recycled polyester,s-run-tee-black.webp,s-run-tee-black.webp,s-run-tee-black.webp,s-run-tee-black.webp,running-tee-black,,,,,,
S-RUN-TEE-ORANGE,Sports,simple,sports,Sports,,Running tee Orange,40,,1,1,2,0.8,A recycled polyester tee with flat seams and a reflective hit. It dries in an hour and never smells of yesterday. Cut close without clinging.,A recycled polyester tee with flat seams and a reflective hit.,33,1,Running|Gym,,Orange,Recycled polyester,s-run-tee-orange.webp,s-run-tee-orange.webp,s-run-tee-orange.webp,s-run-tee-orange.webp,running-tee-orange,,,,,,
S-RUN-TEE,Sports,configurable,sports,Sports,Running,Running tee,40,,1,4,2,0.8,A recycled polyester tee with flat seams and a reflective hit. It dries in an hour and never smells of yesterday. Cut close without clinging.,A recycled polyester tee with flat seams and a reflective hit.,0,1,Running|Gym,,,Recycled polyester,s-run-tee-white.webp,s-run-tee-white.webp,s-run-tee-white.webp,s-run-tee-white.webp,running-tee,S-RUN-TEE-WHITE,color,White,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,S-RUN-TEE-BLACK,color,Black,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,S-RUN-TEE-ORANGE,color,Orange,,,
,,,,Sports,Gym & Training,,,,,,,,,,,,,,,,,,,,,,,,,,
S-RUN-SOCKS-36,Sports,simple,sports,Sports,,"Running socks, 3 pack 36",24,,1,1,2,0.8,"Merino blend, cushioned heel, no seam at the toe. Merino keeps feet cool in summer and warm in winter. Three pairs in one colour.","Merino blend, cushioned heel, no seam at the toe.",28,1,Running|Hiking,36,Grey,Wool,s-run-socks.webp,s-run-socks.webp,s-run-socks.webp,s-run-socks.webp,running-socks-3-pack-36,,,,,,
S-RUN-SOCKS-39,Sports,simple,sports,Sports,,"Running socks, 3 pack 39",24,,1,1,2,0.8,"Merino blend, cushioned heel, no seam at the toe. Merino keeps feet cool in summer and warm in winter. Three pairs in one colour.","Merino blend, cushioned heel, no seam at the toe.",10,1,Running|Hiking,39,Grey,Wool,s-run-socks.webp,s-run-socks.webp,s-run-socks.webp,s-run-socks.webp,running-socks-3-pack-39,,,,,,
S-RUN-SOCKS-42,Sports,simple,sports,Sports,,"Running socks, 3 pack 42",24,,1,1,2,0.8,"Merino blend, cushioned heel, no seam at the toe. Merino keeps feet cool in summer and warm in winter. Three pairs in one colour.","Merino blend, cushioned heel, no seam at the toe.",14,1,Running|Hiking,42,Grey,Wool,s-run-socks.webp,s-run-socks.webp,s-run-socks.webp,s-run-socks.webp,running-socks-3-pack-42,,,,,,
S-RUN-SOCKS-45,Sports,simple,sports,Sports,,"Running socks, 3 pack 45",24,,1,1,2,0.8,"Merino blend, cushioned heel, no seam at the toe. Merino keeps feet cool in summer and warm in winter. Three pairs in one colour.","Merino blend, cushioned heel, no seam at the toe.",60,1,Running|Hiking,45,Grey,Wool,s-run-socks.webp,s-run-socks.webp,s-run-socks.webp,s-run-socks.webp,running-socks-3-pack-45,,,,,,
S-RUN-SOCKS,Sports,configurable,sports,Sports,Running,"Running socks, 3 pack",24,,1,4,2,0.8,"Merino blend, cushioned heel, no seam at the toe. Merino keeps feet cool in summer and warm in winter. Three pairs in one colour.","Merino blend, cushioned heel, no seam at the toe.",0,1,Running|Hiking,,Grey,Wool,s-run-socks.webp,s-run-socks.webp,s-run-socks.webp,s-run-socks.webp,running-socks-3-pack,S-RUN-SOCKS-36,size,36,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,S-RUN-SOCKS-39,size,39,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,S-RUN-SOCKS-42,size,42,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,S-RUN-SOCKS-45,size,45,,,
S-HEADLAMP,Sports,simple,sports,Sports,Running,Running headlamp,60,,1,4,2,0.8,"A 400 lumen headlamp with a rechargeable battery and a red rear light. Enough light for a trail at speed, with a red light behind for the road. Charges by USB-C.",A 400 lumen headlamp with a rechargeable battery and a red rear light.,43,1,Running|Hiking,One size,Black,Nylon,s-headlamp.webp,s-headlamp.webp,s-headlamp.webp,s-headlamp.webp,running-headlamp,,,,,,
,,,,Sports,Hiking,,,,,,,,,,,,,,,,,,,,,,,,,,
S-WATCH-STRAP,Sports,simple,sports,Sports,Running,Running belt,25,,1,4,2,0.8,A stretch belt that holds a phone and a gel without bouncing. Two pockets that stretch and a buckle that stays flat. It fits most phones.,A stretch belt that holds a phone and a gel without bouncing.,42,1,Running,One size,Black,Nylon,s-watch-strap.webp,s-watch-strap.webp,s-watch-strap.webp,s-watch-strap.webp,running-belt,,,,,,
S-JERSEY-BLUE-DARK,Sports,simple,sports,Sports,,Cycling jersey Blue Dark,95,,1,1,2,0.8,"A race-fit jersey with three pockets and a full zip. Long in the back, short in the front, with a silicone gripper at the hem. The pockets hold a day of food.",A race-fit jersey with three pockets and a full zip.,52,1,Cycling,,Blue Dark,Recycled polyester,s-jersey-blue-dark.webp,s-jersey-blue-dark.webp,s-jersey-blue-dark.webp,s-jersey-blue-dark.webp,cycling-jersey-blue-dark,,,,,,
S-JERSEY-RED,Sports,simple,sports,Sports,,Cycling jersey Red,95,,1,1,2,0.8,"A race-fit jersey with three pockets and a full zip. Long in the back, short in the front, with a silicone gripper at the hem. The pockets hold a day of food.",A race-fit jersey with three pockets and a full zip.,41,1,Cycling,,Red,Recycled polyester,s-jersey-red.webp,s-jersey-red.webp,s-jersey-red.webp,s-jersey-red.webp,cycling-jersey-red,,,,,,
S-JERSEY-WHITE,Sports,simple,sports,Sports,,Cycling jersey White,95,,1,1,2,0.8,"A race-fit jersey with three pockets and a full zip. Long in the back, short in the front, with a silicone gripper at the hem. The pockets hold a day of food.",A race-fit jersey with three pockets and a full zip.,20,1,Cycling,,White,Recycled polyester,s-jersey-white.webp,s-jersey-white.webp,s-jersey-white.webp,s-jersey-white.webp,cycling-jersey-white,,,,,,
S-JERSEY,Sports,configurable,sports,Sports,Cycling,Cycling jersey,95,,1,4,2,0.8,"A race-fit jersey with three pockets and a full zip. Long in the back, short in the front, with a silicone gripper at the hem. The pockets hold a day of food.",A race-fit jersey with three pockets and a full zip.,0,1,Cycling,,,Recycled polyester,s-jersey-blue-dark.webp,s-jersey-blue-dark.webp,s-jersey-blue-dark.webp,s-jersey-blue-dark.webp,cycling-jersey,S-JERSEY-BLUE-DARK,color,Blue Dark,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,S-JERSEY-RED,color,Red,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,S-JERSEY-WHITE,color,White,,,
S-BIB-SHORT-XS,Sports,simple,sports,Sports,,Bib shorts XS,140,,1,1,2,0.8,A chamois that lasts six hours and straps that do not dig. The chamois is dense where you sit and thin where you do not. The leg grippers do not squeeze.,A chamois that lasts six hours and straps that do not dig.,44,1,Cycling,XS,Black,Recycled polyester,s-bib-short.webp,s-bib-short.webp,s-bib-short.webp,s-bib-short.webp,bib-shorts-xs,,,,,,
S-BIB-SHORT-S,Sports,simple,sports,Sports,,Bib shorts S,140,,1,1,2,0.8,A chamois that lasts six hours and straps that do not dig. The chamois is dense where you sit and thin where you do not. The leg grippers do not squeeze.,A chamois that lasts six hours and straps that do not dig.,17,1,Cycling,S,Black,Recycled polyester,s-bib-short.webp,s-bib-short.webp,s-bib-short.webp,s-bib-short.webp,bib-shorts-s,,,,,,
S-BIB-SHORT-M,Sports,simple,sports,Sports,,Bib shorts M,140,,1,1,2,0.8,A chamois that lasts six hours and straps that do not dig. The chamois is dense where you sit and thin where you do not. The leg grippers do not squeeze.,A chamois that lasts six hours and straps that do not dig.,50,1,Cycling,M,Black,Recycled polyester,s-bib-short.webp,s-bib-short.webp,s-bib-short.webp,s-bib-short.webp,bib-shorts-m,,,,,,
S-BIB-SHORT-L,Sports,simple,sports,Sports,,Bib shorts L,140,,1,1,2,0.8,A chamois that lasts six hours and straps that do not dig. The chamois is dense where you sit and thin where you do not. The leg grippers do not squeeze.,A chamois that lasts six hours and straps that do not dig.,37,1,Cycling,L,Black,Recycled polyester,s-bib-short.webp,s-bib-short.webp,s-bib-short.webp,s-bib-short.webp,bib-shorts-l,,,,,,
S-BIB-SHORT-XL,Sports,simple,sports,Sports,,Bib shorts XL,140,,1,1,2,0.8,A chamois that lasts six hours and straps that do not dig. The chamois is dense where you sit and thin where you do not. The leg grippers do not squeeze.,A chamois that lasts six hours and straps that do not dig.,52,1,Cycling,XL,Black,Recycled polyester,s-bib-short.webp,s-bib-short.webp,s-bib-short.webp,s-bib-short.webp,bib-shorts-xl,,,,,,
S-BIB-SHORT,Sports,configurable,sports,Sports,Cycling,Bib shorts,140,,1,4,2,0.8,A chamois that lasts six hours and straps that do not dig. The chamois is dense where you sit and thin where you do not. The leg grippers do not squeeze.,A chamois that lasts six hours and straps that do not dig.,0,1,Cycling,,Black,Recycled polyester,s-bib-short.webp,s-bib-short.webp,s-bib-short.webp,s-bib-short.webp,bib-shorts,S-BIB-SHORT-XS,size,XS,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,S-BIB-SHORT-S,size,S,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,S-BIB-SHORT-M,size,M,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,S-BIB-SHORT-L,size,L,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,S-BIB-SHORT-XL,size,XL,,,
S-HELMET-WHITE,Sports,simple,sports,Sports,,Road helmet White,160,,1,1,2,0.8,"A ventilated road helmet with rotational protection, 280 g. Twenty vents, a dial fit and a rear light mount. It passes every current standard.","A ventilated road helmet with rotational protection, 280 g.",45,1,Cycling,,White,Recycled polyester,s-helmet-white.webp,s-helmet-white.webp,s-helmet-white.webp,s-helmet-white.webp,road-helmet-white,,,,,,
S-HELMET-BLACK,Sports,simple,sports,Sports,,Road helmet Black,160,,1,1,2,0.8,"A ventilated road helmet with rotational protection, 280 g. Twenty vents, a dial fit and a rear light mount. It passes every current standard.","A ventilated road helmet with rotational protection, 280 g.",33,1,Cycling,,Black,Recycled polyester,s-helmet-black.webp,s-helmet-black.webp,s-helmet-black.webp,s-helmet-black.webp,road-helmet-black,,,,,,
S-HELMET-RED,Sports,simple,sports,Sports,,Road helmet Red,160,,1,1,2,0.8,"A ventilated road helmet with rotational protection, 280 g. Twenty vents, a dial fit and a rear light mount. It passes every current standard.","A ventilated road helmet with rotational protection, 280 g.",12,1,Cycling,,Red,Recycled polyester,s-helmet-red.webp,s-helmet-red.webp,s-helmet-red.webp,s-helmet-red.webp,road-helmet-red,,,,,,
S-HELMET,Sports,configurable,sports,Sports,Cycling,Road helmet,160,,1,4,2,0.8,"A ventilated road helmet with rotational protection, 280 g. Twenty vents, a dial fit and a rear light mount. It passes every current standard.","A ventilated road helmet with rotational protection, 280 g.",0,1,Cycling,,,Recycled polyester,s-helmet-white.webp,s-helmet-white.webp,s-helmet-white.webp,s-helmet-white.webp,road-helmet,S-HELMET-WHITE,color,White,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,S-HELMET-BLACK,color,Black,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,S-HELMET-RED,color,Red,,,
S-GILET-YELLOW,Sports,simple,sports,Sports,,Wind gilet Yellow,70,,1,1,2,0.8,"A packable gilet for the descent. A windproof front, a mesh back, and a pocket it packs into. It weighs 60 g.",A packable gilet for the descent.,33,1,Cycling|Running,,Yellow,Recycled polyester,s-gilet-yellow.webp,s-gilet-yellow.webp,s-gilet-yellow.webp,s-gilet-yellow.webp,wind-gilet-yellow,,,,,,
S-GILET-BLACK,Sports,simple,sports,Sports,,Wind gilet Black,70,,1,1,2,0.8,"A packable gilet for the descent. A windproof front, a mesh back, and a pocket it packs into. It weighs 60 g.",A packable gilet for the descent.,55,1,Cycling|Running,,Black,Recycled polyester,s-gilet-black.webp,s-gilet-black.webp,s-gilet-black.webp,s-gilet-black.webp,wind-gilet-black,,,,,,
S-GILET,Sports,configurable,sports,Sports,Cycling,Wind gilet,70,,1,4,2,0.8,"A packable gilet for the descent. A windproof front, a mesh back, and a pocket it packs into. It weighs 60 g.",A packable gilet for the descent.,0,1,Cycling|Running,,,Recycled polyester,s-gilet-yellow.webp,s-gilet-yellow.webp,s-gilet-yellow.webp,s-gilet-yellow.webp,wind-gilet,S-GILET-YELLOW,color,Yellow,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,S-GILET-BLACK,color,Black,,,
S-GLOVES-S,Sports,simple,sports,Sports,,Cycling mitts S,30,,1,1,2,0.8,Gel-padded mitts with a terry thumb. Gel where the bars press and terry on the thumb for a runny nose. Velcro at the wrist.,Gel-padded mitts with a terry thumb.,60,1,Cycling,S,Black,Nylon,s-gloves.webp,s-gloves.webp,s-gloves.webp,s-gloves.webp,cycling-mitts-s,,,,,,
S-GLOVES-M,Sports,simple,sports,Sports,,Cycling mitts M,30,,1,1,2,0.8,Gel-padded mitts with a terry thumb. Gel where the bars press and terry on the thumb for a runny nose. Velcro at the wrist.,Gel-padded mitts with a terry thumb.,57,1,Cycling,M,Black,Nylon,s-gloves.webp,s-gloves.webp,s-gloves.webp,s-gloves.webp,cycling-mitts-m,,,,,,
S-GLOVES-L,Sports,simple,sports,Sports,,Cycling mitts L,30,,1,1,2,0.8,Gel-padded mitts with a terry thumb. Gel where the bars press and terry on the thumb for a runny nose. Velcro at the wrist.,Gel-padded mitts with a terry thumb.,43,1,Cycling,L,Black,Nylon,s-gloves.webp,s-gloves.webp,s-gloves.webp,s-gloves.webp,cycling-mitts-l,,,,,,
S-GLOVES,Sports,configurable,sports,Sports,Cycling,Cycling mitts,30,,1,4,2,0.8,Gel-padded mitts with a terry thumb. Gel where the bars press and terry on the thumb for a runny nose. Velcro at the wrist.,Gel-padded mitts with a terry thumb.,0,1,Cycling,,Black,Nylon,s-gloves.webp,s-gloves.webp,s-gloves.webp,s-gloves.webp,cycling-mitts,S-GLOVES-S,size,S,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,S-GLOVES-M,size,M,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,S-GLOVES-L,size,L,,,
