path,value,scope,scope_code
trans_email/ident_support/name,Voltline,websites,electronics
web/default/cms_home_page,home,stores,electronics
sitemap/file/name,sitemap-electronics.xml,stores,electronics
design/theme/default,food,websites,food
general/store_information/name,Harvest & Hearth,websites,food
design/head/default_title,Harvest & Hearth,websites,food
design/header/logo_alt,Harvest & Hearth,websites,food
design/footer/copyright,&copy; Harvest & Hearth. All rights reserved.,websites,food
trans_email/ident_general/name,Harvest & Hearth,websites,food
trans_email/ident_sales/name,Harvest & Hearth,websites,food
trans_email/ident_support/name,Harvest & Hearth,websites,food
web/default/cms_home_page,home,stores,food
sitemap/file/name,sitemap-food.xml,stores,food
design/theme/default,books,websites,books
general/store_information/name,Folio,websites,books
design/head/default_title,Folio,websites,books
design/header/logo_alt,Folio,websites,books
design/footer/copyright,&copy; Folio. All rights reserved.,websites,books
trans_email/ident_general/name,Folio,websites,books
trans_email/ident_sales/name,Folio,websites,books
trans_email/ident_support/name,Folio,websites,books
web/default/cms_home_page,home,stores,books
sitemap/file/name,sitemap-books.xml,stores,books
design/theme/default,jewelry,websites,jewelry
general/store_information/name,Aurelie,websites,jewelry
design/head/default_title,Aurelie,websites,jewelry
design/header/logo_alt,Aurelie,websites,jewelry
design/footer/copyright,&copy; Aurelie. All rights reserved.,websites,jewelry
trans_email/ident_general/name,Aurelie,websites,jewelry
trans_email/ident_sales/name,Aurelie,websites,jewelry
trans_email/ident_support/name,Aurelie,websites,jewelry
web/default/cms_home_page,home,stores,jewelry
sitemap/file/name,sitemap-jewelry.xml,stores,jewelry
design/theme/default,beauty,websites,beauty
general/store_information/name,Glow Atelier,websites,beauty
design/head/default_title,Glow Atelier,websites,beauty
design/header/logo_alt,Glow Atelier,websites,beauty
design/footer/copyright,&copy; Glow Atelier. All rights reserved.,websites,beauty
trans_email/ident_general/name,Glow Atelier,websites,beauty
trans_email/ident_sales/name,Glow Atelier,websites,beauty
trans_email/ident_support/name,Glow Atelier,websites,beauty
web/default/cms_home_page,home,stores,beauty
sitemap/file/name,sitemap-beauty.xml,stores,beauty
design/theme/default,home,websites,home
general/store_information/name,Hearthstone,websites,home
design/head/default_title,Hearthstone,websites,home
design/header/logo_alt,Hearthstone,websites,home
design/footer/copyright,&copy; Hearthstone. All rights reserved.,websites,home
trans_email/ident_general/name,Hearthstone,websites,home
trans_email/ident_sales/name,Hearthstone,websites,home
trans_email/ident_support/name,Hearthstone,websites,home
web/default/cms_home_page,home,stores,home
sitemap/file/name,sitemap-home.xml,stores,home
design/theme/default,sports,websites,sports
general/store_information/name,Stride,websites,sports
design/head/default_title,Stride,websites,sports
design/header/logo_alt,Stride,websites,sports
design/footer/copyright,&copy; Stride. All rights reserved.,websites,sports
trans_email/ident_general/name,Stride,websites,sports
trans_email/ident_sales/name,Stride,websites,sports
trans_email/ident_support/name,Stride,websites,sports
web/default/cms_home_page,home,stores,sports
sitemap/file/name,sitemap-sports.xml,stores,sports
design/theme/default,kids,websites,kids
general/store_information/name,Little Lark,websites,kids
design/head/default_title,Little Lark,websites,kids
design/header/logo_alt,Little Lark,websites,kids
design/footer/copyright,&copy; Little Lark. All rights reserved.,websites,kids
trans_email/ident_general/name,Little Lark,websites,kids
trans_email/ident_sales/name,Little Lark,websites,kids
trans_email/ident_support/name,Little Lark,websites,kids
web/default/cms_home_page,home,stores,kids
sitemap/file/name,sitemap-kids.xml,stores,kids
design/theme/default,garden,websites,garden
general/store_information/name,Greenhaven,websites,garden
design/head/default_title,Greenhaven,websites,garden
design/header/logo_alt,Greenhaven,websites,garden
design/footer/copyright,&copy; Greenhaven. All rights reserved.,websites,garden
trans_email/ident_general/name,Greenhaven,websites,garden
trans_email/ident_sales/name,Greenhaven,websites,garden
trans_email/ident_support/name,Greenhaven,websites,garden
web/default/cms_home_page,home,stores,garden
sitemap/file/name,sitemap-garden.xml,stores,garden
design/head/includes,"<style>
body.cms-home .main-container { padding-top: 0 }
.cms-index-index .products-grid :is(.ratings, .actions),
.cms-index-noroute .products-grid :is(.ratings, .actions) { display: none }
.marquee { margin: 2.5rem 0; overflow: hidden; mask-image: linear-gradient(to right, transparent, black 8%, black 92%, transparent) }
.marquee-track { display: flex; width: max-content; align-items: center; animation: marquee 45s linear infinite }
.marquee-track > * { margin: 0; flex-shrink: 0 }
.marquee:hover .marquee-track { animation-play-state: paused }
@media (prefers-reduced-motion: reduce) { .marquee-track { animation: none } }
@keyframes marquee { to { transform: translateX(-50%) } }
</style>",websites,fashion
design/tokens/font_stylesheet,https://fonts.bunny.net/css2?family=Instrument+Sans:wght@600&family=Geist:wght@600&family=Bricolage+Grotesque:wght@600&family=Literata:wght@500&family=Jost:wght@500&family=Newsreader:wght@500&family=Schibsted+Grotesk:wght@600&family=Archivo:wght@600&family=Fredoka:wght@600&family=Alegreya:wght@500&display=swap,websites,hub
design/tokens/custom_css,".hub { max-width: 80rem; margin: 0 auto; padding: 1.75rem 1.5rem 3rem; display: flex; flex-direction: column; gap: 2rem; color: var(--color-base-content, #1c2126); } .hub-top { display: flex; justify-content: center; } .hub-top img { height: 2.5rem; width: auto; } .hub-hero { position: relative; display: flex; align-items: flex-end; aspect-ratio: 2560 / 1100; overflow: hidden; border-radius: var(--radius-box, 1rem); background: #cfd6d9; } .hub-hero img { position: absolute; inset: 0; width: 100%; height: 100%; object-fit: cover; } .hub-hero p { position: relative; max-width: 40rem; margin: 1.5rem; padding: 1.5rem 1.75rem; border-radius: var(--radius-box, 1rem); background: rgba(255,255,255,0.92); font-size: 1.125rem; line-height: 1.5; text-wrap: pretty; } .hub-grid { display: grid; grid-template-columns: repeat(auto-fill, minmax(13rem, 1fr)); gap: 0.875rem; } .hub-card { position: relative; display: block; aspect-ratio: 1; overflow: hidden; border-radius: var(--radius-box, 1rem); background: var(--color-base-200, #f6f6f5); text-decoration: none; transition: transform 0.15s; } .hub-card:hover { transform: translateY(-2px); } .hub-card img { position: absolute; inset: 0; width: 100%; height: 100%; object-fit: cover; } .hub-card-name { position: absolute; inset: auto 0 0 0; padding: 3rem 1.125rem 1rem; background: linear-gradient(to top, rgba(255,255,255,0.96) 45%, rgba(255,255,255,0)); font-size: 1.5rem; font-weight: 600; letter-spacing: -0.01em; line-height: 1.15; color: var(--store); } .hub-note { font-size: 0.8125rem; color: #8a9299; } @media (max-width: 40rem) { .hub-hero { aspect-ratio: 4 / 3; } .hub-hero p { margin: 1rem; padding: 1rem 1.25rem; font-size: 1rem; } }",websites,hub
