sku,_attribute_set,_type,_product_websites,_root_category,_category,name,price,special_price,status,visibility,tax_class_id,weight,description,short_description,qty,is_in_stock,format,genre,author,pages,_media_image,image,small_image,thumbnail,url_key,_super_products_sku,_super_attribute_code,_super_attribute_option,_associated_sku,_associated_default_qty,_associated_position
B-QUIET-ROOMS,Books,simple,books,Books,Fiction,Quiet Rooms,14,,1,4,2,0.4,"Linked short stories set in one apartment building over forty years. Twelve stories, each in a different flat, each a different decade. Readers of quiet fiction will feel at home.",Linked short stories set in one apartment building over forty years.,48,1,Paperback,Fiction,Ines Halloran,240,b-quiet-rooms.webp,b-quiet-rooms.webp,b-quiet-rooms.webp,b-quiet-rooms.webp,quiet-rooms,,,,,,
B-NORTH-LIGHT-HARDCOVER,Books,simple,books,Books,,North Light Hardcover,17,,1,1,2,0.4,"A painter moves to the far north to escape a scandal and finds the light does not care. Long winters, long sentences and a slow thaw. A novel for a fireside and a blanket.",A painter moves to the far north to escape a scandal and finds the light does not care.,49,1,Hardcover,Fiction,Anders Vik,352,b-north-light.webp,b-north-light.webp,b-north-light.webp,b-north-light.webp,north-light-hardcover,,,,,,
B-NORTH-LIGHT-PAPERBACK,Books,simple,books,Books,,North Light Paperback,17,,1,1,2,0.4,"A painter moves to the far north to escape a scandal and finds the light does not care. Long winters, long sentences and a slow thaw. A novel for a fireside and a blanket.",A painter moves to the far north to escape a scandal and finds the light does not care.,23,1,Paperback,Fiction,Anders Vik,352,b-north-light.webp,b-north-light.webp,b-north-light.webp,b-north-light.webp,north-light-paperback,,,,,,
B-NORTH-LIGHT,Books,configurable,books,Books,Fiction,North Light,17,,1,4,2,0.4,"A painter moves to the far north to escape a scandal and finds the light does not care. Long winters, long sentences and a slow thaw. A novel for a fireside and a blanket.",A painter moves to the far north to escape a scandal and finds the light does not care.,0,1,,Fiction,Anders Vik,352,b-north-light.webp,b-north-light.webp,b-north-light.webp,b-north-light.webp,north-light,B-NORTH-LIGHT-HARDCOVER,format,Hardcover,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,B-NORTH-LIGHT-PAPERBACK,format,Paperback,,,
B-PAPER-BIRDS,Books,simple,books,Books,Fiction,Paper Birds,15,,1,4,2,0.4,"A translator falls for the author she cannot meet. Quiet and devastating. Told in letters and margin notes. Two hundred pages, best read in one sitting.",A translator falls for the author she cannot meet.,39,1,Paperback,Fiction,Yuki Aoyama,272,b-paper-birds.webp,b-paper-birds.webp,b-paper-birds.webp,b-paper-birds.webp,paper-birds,,,,,,
B-SUMMER-HOUSE,Books,simple,books,Books,Fiction,The Summer House,16,,1,4,2,0.4,"Six friends, one house by the lake, and a promise nobody kept. A holiday novel with teeth. Every chapter is a different summer, and the last one changes the rest.","Six friends, one house by the lake, and a promise nobody kept.",37,1,Paperback,Fiction|Crime,Clara Vance,320,b-summer-house.webp,b-summer-house.webp,b-summer-house.webp,b-summer-house.webp,the-summer-house,,,,,,
,,,,Books,Crime & Thrillers,,,,,,,,,,,,,,,,,,,,,,,,,,
B-COLD-HARBOUR-PAPERBACK,Books,simple,books,Books,,Cold Harbour Paperback,15,,1,1,2,0.4,"A body in the harbour, a town that lies in unison, and a detective who grew up there. The first Ruth Mallory novel. A slow, cold crime story with a detective who knows every face in the pub.","A body in the harbour, a town that lies in unison, and a detective who grew up there.",16,1,Paperback,Crime,Detective Ruth Mallory 1,384,b-cold-harbour.webp,b-cold-harbour.webp,b-cold-harbour.webp,b-cold-harbour.webp,cold-harbour-paperback,,,,,,
B-COLD-HARBOUR-AUDIOBOOK,Books,simple,books,Books,,Cold Harbour Audiobook,15,,1,1,2,0.4,"A body in the harbour, a town that lies in unison, and a detective who grew up there. The first Ruth Mallory novel. A slow, cold crime story with a detective who knows every face in the pub.","A body in the harbour, a town that lies in unison, and a detective who grew up there.",14,1,Audiobook,Crime,Detective Ruth Mallory 1,384,b-cold-harbour.webp,b-cold-harbour.webp,b-cold-harbour.webp,b-cold-harbour.webp,cold-harbour-audiobook,,,,,,
B-COLD-HARBOUR-E-BOOK,Books,simple,books,Books,,Cold Harbour E-book,15,,1,1,2,0.4,"A body in the harbour, a town that lies in unison, and a detective who grew up there. The first Ruth Mallory novel. A slow, cold crime story with a detective who knows every face in the pub.","A body in the harbour, a town that lies in unison, and a detective who grew up there.",54,1,E-book,Crime,Detective Ruth Mallory 1,384,b-cold-harbour.webp,b-cold-harbour.webp,b-cold-harbour.webp,b-cold-harbour.webp,cold-harbour-e-book,,,,,,
B-COLD-HARBOUR,Books,configurable,books,Books,Crime & Thrillers,Cold Harbour,15,,1,4,2,0.4,"A body in the harbour, a town that lies in unison, and a detective who grew up there. The first Ruth Mallory novel. A slow, cold crime story with a detective who knows every face in the pub.","A body in the harbour, a town that lies in unison, and a detective who grew up there.",0,1,,Crime,Detective Ruth Mallory 1,384,b-cold-harbour.webp,b-cold-harbour.webp,b-cold-harbour.webp,b-cold-harbour.webp,cold-harbour,B-COLD-HARBOUR-PAPERBACK,format,Paperback,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,B-COLD-HARBOUR-AUDIOBOOK,format,Audiobook,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,B-COLD-HARBOUR-E-BOOK,format,E-book,,,
B-LONG-TIDE-PAPERBACK,Books,simple,books,Books,,The Long Tide Paperback,15,,1,1,2,0.4,"Mallory returns. So does the past. The second Mallory novel picks up ten years later. Read Cold Harbour first, though it stands alone.",Mallory returns.,11,1,Paperback,Crime,Detective Ruth Mallory 2,400,b-long-tide.webp,b-long-tide.webp,b-long-tide.webp,b-long-tide.webp,the-long-tide-paperback,,,,,,
B-LONG-TIDE-AUDIOBOOK,Books,simple,books,Books,,The Long Tide Audiobook,15,,1,1,2,0.4,"Mallory returns. So does the past. The second Mallory novel picks up ten years later. Read Cold Harbour first, though it stands alone.",Mallory returns.,59,1,Audiobook,Crime,Detective Ruth Mallory 2,400,b-long-tide.webp,b-long-tide.webp,b-long-tide.webp,b-long-tide.webp,the-long-tide-audiobook,,,,,,
B-LONG-TIDE,Books,configurable,books,Books,Crime & Thrillers,The Long Tide,15,,1,4,2,0.4,"Mallory returns. So does the past. The second Mallory novel picks up ten years later. Read Cold Harbour first, though it stands alone.",Mallory returns.,0,1,,Crime,Detective Ruth Mallory 2,400,b-long-tide.webp,b-long-tide.webp,b-long-tide.webp,b-long-tide.webp,the-long-tide,B-LONG-TIDE-PAPERBACK,format,Paperback,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,B-LONG-TIDE-AUDIOBOOK,format,Audiobook,,,
B-CLEAN-BREAK,Books,simple,books,Books,Crime & Thrillers,Clean Break,16,,1,4,2,0.4,"A heist planned by a locksmith who has never broken a law. Until now. Fast, funny and precise about locks. The plan goes wrong on page forty and keeps going wrong.",A heist planned by a locksmith who has never broken a law.,34,1,Paperback,Crime,Sol Ferrante,352,b-clean-break.webp,b-clean-break.webp,b-clean-break.webp,b-clean-break.webp,clean-break,,,,,,
B-MIDNIGHT-TRAIN,Books,simple,books,Books,Crime & Thrillers,The Midnight Train,13,,1,4,2,0.4,"A cosy mystery on the overnight sleeper to the coast. No blood, plenty of tea, and a puzzle that plays fair. The first of a series.",A cosy mystery on the overnight sleeper to the coast.,19,1,Paperback,Crime,Agnes Brook,296,b-midnight-train.webp,b-midnight-train.webp,b-midnight-train.webp,b-midnight-train.webp,the-midnight-train,,,,,,
B-WITNESS,Books,simple,books,Books,Crime & Thrillers,The Witness Room,17,,1,4,2,0.4,"A courtroom thriller told by the one person who cannot speak. A thriller built on a single trick, and the trick holds. Best not to read the last page first.",A courtroom thriller told by the one person who cannot speak.,18,1,Paperback,Crime,Sol Ferrante,368,b-witness.webp,b-witness.webp,b-witness.webp,b-witness.webp,the-witness-room,,,,,,
B-SMALL-THINGS-HARDCOVER,Books,simple,books,Books,,Small Things Everywhere Hardcover,19,,1,1,2,0.4,"Microbiology for the curious, from your kitchen sponge to the deep sea. Short chapters, clear drawings, no equations. Written for adults who remember liking science once.","Microbiology for the curious, from your kitchen sponge to the deep sea.",13,1,Hardcover,Science,Dr. Lena Ostrowski,312,b-small-things.webp,b-small-things.webp,b-small-things.webp,b-small-things.webp,small-things-everywhere-hardcover,,,,,,
B-SMALL-THINGS-PAPERBACK,Books,simple,books,Books,,Small Things Everywhere Paperback,19,,1,1,2,0.4,"Microbiology for the curious, from your kitchen sponge to the deep sea. Short chapters, clear drawings, no equations. Written for adults who remember liking science once.","Microbiology for the curious, from your kitchen sponge to the deep sea.",37,1,Paperback,Science,Dr. Lena Ostrowski,312,b-small-things.webp,b-small-things.webp,b-small-things.webp,b-small-things.webp,small-things-everywhere-paperback,,,,,,
B-SMALL-THINGS-E-BOOK,Books,simple,books,Books,,Small Things Everywhere E-book,19,,1,1,2,0.4,"Microbiology for the curious, from your kitchen sponge to the deep sea. Short chapters, clear drawings, no equations. Written for adults who remember liking science once.","Microbiology for the curious, from your kitchen sponge to the deep sea.",14,1,E-book,Science,Dr. Lena Ostrowski,312,b-small-things.webp,b-small-things.webp,b-small-things.webp,b-small-things.webp,small-things-everywhere-e-book,,,,,,
B-SMALL-THINGS,Books,configurable,books,Books,Science & Nature,Small Things Everywhere,19,,1,4,2,0.4,"Microbiology for the curious, from your kitchen sponge to the deep sea. Short chapters, clear drawings, no equations. Written for adults who remember liking science once.","Microbiology for the curious, from your kitchen sponge to the deep sea.",0,1,,Science,Dr. Lena Ostrowski,312,b-small-things.webp,b-small-things.webp,b-small-things.webp,b-small-things.webp,small-things-everywhere,B-SMALL-THINGS-HARDCOVER,format,Hardcover,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,B-SMALL-THINGS-PAPERBACK,format,Paperback,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,B-SMALL-THINGS-E-BOOK,format,E-book,,,
B-DEEP-TIME-HARDCOVER,Books,simple,books,Books,,Deep Time Hardcover,22,,1,1,2,0.4,The story of the Earth in twelve rocks. Each chapter starts with one rock and ends with a continent. Full-page colour plates throughout.,The story of the Earth in twelve rocks.,57,1,Hardcover,Science|History,Hal Berger,416,b-deep-time.webp,b-deep-time.webp,b-deep-time.webp,b-deep-time.webp,deep-time-hardcover,,,,,,
B-DEEP-TIME-PAPERBACK,Books,simple,books,Books,,Deep Time Paperback,22,,1,1,2,0.4,The story of the Earth in twelve rocks. Each chapter starts with one rock and ends with a continent. Full-page colour plates throughout.,The story of the Earth in twelve rocks.,28,1,Paperback,Science|History,Hal Berger,416,b-deep-time.webp,b-deep-time.webp,b-deep-time.webp,b-deep-time.webp,deep-time-paperback,,,,,,
B-DEEP-TIME,Books,configurable,books,Books,Science & Nature,Deep Time,22,,1,4,2,0.4,The story of the Earth in twelve rocks. Each chapter starts with one rock and ends with a continent. Full-page colour plates throughout.,The story of the Earth in twelve rocks.,0,1,,Science|History,Hal Berger,416,b-deep-time.webp,b-deep-time.webp,b-deep-time.webp,b-deep-time.webp,deep-time,B-DEEP-TIME-HARDCOVER,format,Hardcover,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,B-DEEP-TIME-PAPERBACK,format,Paperback,,,
,,,,Books,History,,,,,,,,,,,,,,,,,,,,,,,,,,
B-BIRD-GUIDE,Books,simple,books,Books,Science & Nature,The Pocket Bird Guide,14,,1,4,2,0.4,"Two hundred birds, one pocket. Waterproof cover. Two hundred species with a painting, a map and the call in words. It fits a coat pocket and survives rain.","Two hundred birds, one pocket.",24,1,Paperback,Science|Nature,Folio Field Guides,224,b-bird-guide.webp,b-bird-guide.webp,b-bird-guide.webp,b-bird-guide.webp,the-pocket-bird-guide,,,,,,
B-NIGHT-SKY-HARDCOVER,Books,simple,books,Books,,"The Night Sky, Month by Month Hardcover",18,,1,1,2,0.4,"A year of stargazing with a torch and this book. Twelve chapters, one per month, with charts drawn for the naked eye. A red torch is all the equipment you need.",A year of stargazing with a torch and this book.,55,1,Hardcover,Science,Priya Nair,256,b-night-sky.webp,b-night-sky.webp,b-night-sky.webp,b-night-sky.webp,the-night-sky-month-by-month-hardcover,,,,,,
B-NIGHT-SKY-PAPERBACK,Books,simple,books,Books,,"The Night Sky, Month by Month Paperback",18,,1,1,2,0.4,"A year of stargazing with a torch and this book. Twelve chapters, one per month, with charts drawn for the naked eye. A red torch is all the equipment you need.",A year of stargazing with a torch and this book.,32,1,Paperback,Science,Priya Nair,256,b-night-sky.webp,b-night-sky.webp,b-night-sky.webp,b-night-sky.webp,the-night-sky-month-by-month-paperback,,,,,,
B-NIGHT-SKY,Books,configurable,books,Books,Science & Nature,"The Night Sky, Month by Month",18,,1,4,2,0.4,"A year of stargazing with a torch and this book. Twelve chapters, one per month, with charts drawn for the naked eye. A red torch is all the equipment you need.",A year of stargazing with a torch and this book.,0,1,,Science,Priya Nair,256,b-night-sky.webp,b-night-sky.webp,b-night-sky.webp,b-night-sky.webp,the-night-sky-month-by-month,B-NIGHT-SKY-HARDCOVER,format,Hardcover,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,B-NIGHT-SKY-PAPERBACK,format,Paperback,,,
B-TREE-BOOK,Books,simple,books,Books,Science & Nature,Trees of the Old World,24,,1,4,2,0.4,"A large-format guide to five hundred trees, with leaf and bark plates. A coffee-table book that is also a real reference. The plates show leaf, bark, flower and winter twig.","A large-format guide to five hundred trees, with leaf and bark plates.",53,1,Hardcover,Science|Nature,Folio Field Guides,320,b-tree-book.webp,b-tree-book.webp,b-tree-book.webp,b-tree-book.webp,trees-of-the-old-world,,,,,,
B-WEATHER,Books,simple,books,Books,Science & Nature,A Short History of Weather,12,,1,4,2,0.4,"Clouds, storms and the people who learned to read them. From shepherds to satellites in three hundred pages. Written with a lightness that suits the subject.","Clouds, storms and the people who learned to read them.",15,1,Paperback,Science,Hal Berger,208,b-weather.webp,b-weather.webp,b-weather.webp,b-weather.webp,a-short-history-of-weather,,,,,,
B-SILK-ROAD-HARDCOVER,Books,simple,books,Books,,Roads of Silk Hardcover,24,,1,1,2,0.4,"A journey along the old trade routes, then and now. Part travel diary, part history. The author walks and takes the bus, and both make good chapters.","A journey along the old trade routes, then and now.",46,1,Hardcover,History|Travel,Aisha Rahman,480,b-silk-road.webp,b-silk-road.webp,b-silk-road.webp,b-silk-road.webp,roads-of-silk-hardcover,,,,,,
B-SILK-ROAD-PAPERBACK,Books,simple,books,Books,,Roads of Silk Paperback,24,,1,1,2,0.4,"A journey along the old trade routes, then and now. Part travel diary, part history. The author walks and takes the bus, and both make good chapters.","A journey along the old trade routes, then and now.",25,1,Paperback,History|Travel,Aisha Rahman,480,b-silk-road.webp,b-silk-road.webp,b-silk-road.webp,b-silk-road.webp,roads-of-silk-paperback,,,,,,
B-SILK-ROAD-AUDIOBOOK,Books,simple,books,Books,,Roads of Silk Audiobook,24,,1,1,2,0.4,"A journey along the old trade routes, then and now. Part travel diary, part history. The author walks and takes the bus, and both make good chapters.","A journey along the old trade routes, then and now.",16,1,Audiobook,History|Travel,Aisha Rahman,480,b-silk-road.webp,b-silk-road.webp,b-silk-road.webp,b-silk-road.webp,roads-of-silk-audiobook,,,,,,
B-SILK-ROAD,Books,configurable,books,Books,History,Roads of Silk,24,,1,4,2,0.4,"A journey along the old trade routes, then and now. Part travel diary, part history. The author walks and takes the bus, and both make good chapters.","A journey along the old trade routes, then and now.",0,1,,History|Travel,Aisha Rahman,480,b-silk-road.webp,b-silk-road.webp,b-silk-road.webp,b-silk-road.webp,roads-of-silk,B-SILK-ROAD-HARDCOVER,format,Hardcover,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,B-SILK-ROAD-PAPERBACK,format,Paperback,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,B-SILK-ROAD-AUDIOBOOK,format,Audiobook,,,
B-CITY-WATER-HARDCOVER,Books,simple,books,Books,,The City of Water Hardcover,20,,1,1,2,0.4,"Venice from lagoon to biennale, in twenty buildings. Twenty buildings, twenty short essays, one plan of the city. Take it with you or read it at home.","Venice from lagoon to biennale, in twenty buildings.",10,1,Hardcover,History,Marco Bellini,400,b-city-water.webp,b-city-water.webp,b-city-water.webp,b-city-water.webp,the-city-of-water-hardcover,,,,,,
B-CITY-WATER-PAPERBACK,Books,simple,books,Books,,The City of Water Paperback,20,,1,1,2,0.4,"Venice from lagoon to biennale, in twenty buildings. Twenty buildings, twenty short essays, one plan of the city. Take it with you or read it at home.","Venice from lagoon to biennale, in twenty buildings.",47,1,Paperback,History,Marco Bellini,400,b-city-water.webp,b-city-water.webp,b-city-water.webp,b-city-water.webp,the-city-of-water-paperback,,,,,,
B-CITY-WATER,Books,configurable,books,Books,History,The City of Water,20,,1,4,2,0.4,"Venice from lagoon to biennale, in twenty buildings. Twenty buildings, twenty short essays, one plan of the city. Take it with you or read it at home.","Venice from lagoon to biennale, in twenty buildings.",0,1,,History,Marco Bellini,400,b-city-water.webp,b-city-water.webp,b-city-water.webp,b-city-water.webp,the-city-of-water,B-CITY-WATER-HARDCOVER,format,Hardcover,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,B-CITY-WATER-PAPERBACK,format,Paperback,,,
B-LETTERS,Books,simple,books,Books,History,Letters from the Front,18,,1,4,2,0.4,"Sixty letters, sixty lives. A war told from the kitchen table. The letters are printed whole, with a page of context before each one. Hard to read quickly.","Sixty letters, sixty lives.",32,1,Paperback,History,Edited by Ruth Adler,336,b-letters.webp,b-letters.webp,b-letters.webp,b-letters.webp,letters-from-the-front,,,,,,
B-EMPIRE-TEA,Books,simple,books,Books,History,An Empire of Tea,19,,1,4,2,0.4,"How a leaf built fortunes and broke nations. Trade, taste and politics in one leaf. The author has a gift for the telling detail.",How a leaf built fortunes and broke nations.,20,1,Paperback,History|Cooking,Aisha Rahman,368,b-empire-tea.webp,b-empire-tea.webp,b-empire-tea.webp,b-empire-tea.webp,an-empire-of-tea,,,,,,
,,,,Books,Cooking,,,,,,,,,,,,,,,,,,,,,,,,,,
B-PLAGUE-YEAR,Books,simple,books,Books,History,The Plague Year,17,,1,4,2,0.4,"One city, one year, one doctor keeping a diary. A diary edited into a story, with the gaps left in. The doctor never says what he feels, and you feel it anyway.","One city, one year, one doctor keeping a diary.",26,1,Paperback,History,Marco Bellini,320,b-plague-year.webp,b-plague-year.webp,b-plague-year.webp,b-plague-year.webp,the-plague-year,,,,,,
B-WEEKNIGHT-HARDCOVER,Books,simple,books,Books,,Weeknight Hardcover,26,,1,1,2,0.4,"Sixty dinners in under forty minutes, with a shopping list that fits one hand. Every recipe on one page, with a photo and a timeline. Sixty dinners, no special equipment.","Sixty dinners in under forty minutes, with a shopping list that fits one hand.",58,1,Hardcover,Cooking,Sam Okafor,288,b-weeknight.webp,b-weeknight.webp,b-weeknight.webp,b-weeknight.webp,weeknight-hardcover,,,,,,
B-WEEKNIGHT-E-BOOK,Books,simple,books,Books,,Weeknight E-book,26,,1,1,2,0.4,"Sixty dinners in under forty minutes, with a shopping list that fits one hand. Every recipe on one page, with a photo and a timeline. Sixty dinners, no special equipment.","Sixty dinners in under forty minutes, with a shopping list that fits one hand.",29,1,E-book,Cooking,Sam Okafor,288,b-weeknight.webp,b-weeknight.webp,b-weeknight.webp,b-weeknight.webp,weeknight-e-book,,,,,,
B-WEEKNIGHT,Books,configurable,books,Books,Cooking,Weeknight,26,,1,4,2,0.4,"Sixty dinners in under forty minutes, with a shopping list that fits one hand. Every recipe on one page, with a photo and a timeline. Sixty dinners, no special equipment.","Sixty dinners in under forty minutes, with a shopping list that fits one hand.",0,1,,Cooking,Sam Okafor,288,b-weeknight.webp,b-weeknight.webp,b-weeknight.webp,b-weeknight.webp,weeknight,B-WEEKNIGHT-HARDCOVER,format,Hardcover,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,B-WEEKNIGHT-E-BOOK,format,E-book,,,
B-BREAD-BOOK,Books,simple,books,Books,Cooking,The Bread Book,28,,1,4,2,0.4,"Sourdough, flatbreads and buns, with step photographs and no mystique. Twenty base recipes with variations, and photographs of every fold. The starter chapter alone is worth the price.","Sourdough, flatbreads and buns, with step photographs and no mystique.",42,1,Hardcover,Cooking,Elin Sorensen,320,b-bread-book.webp,b-bread-book.webp,b-bread-book.webp,b-bread-book.webp,the-bread-book,,,,,,
B-VEG-FIRST-HARDCOVER,Books,simple,books,Books,,Vegetables First Hardcover,25,,1,1,2,0.4,"A hundred recipes that start with what is in season. Organised by season, then by vegetable. Most recipes feed four in under an hour.",A hundred recipes that start with what is in season.,43,1,Hardcover,Cooking,Sam Okafor,304,b-veg-first.webp,b-veg-first.webp,b-veg-first.webp,b-veg-first.webp,vegetables-first-hardcover,,,,,,
B-VEG-FIRST-PAPERBACK,Books,simple,books,Books,,Vegetables First Paperback,25,,1,1,2,0.4,"A hundred recipes that start with what is in season. Organised by season, then by vegetable. Most recipes feed four in under an hour.",A hundred recipes that start with what is in season.,20,1,Paperback,Cooking,Sam Okafor,304,b-veg-first.webp,b-veg-first.webp,b-veg-first.webp,b-veg-first.webp,vegetables-first-paperback,,,,,,
B-VEG-FIRST,Books,configurable,books,Books,Cooking,Vegetables First,25,,1,4,2,0.4,"A hundred recipes that start with what is in season. Organised by season, then by vegetable. Most recipes feed four in under an hour.",A hundred recipes that start with what is in season.,0,1,,Cooking,Sam Okafor,304,b-veg-first.webp,b-veg-first.webp,b-veg-first.webp,b-veg-first.webp,vegetables-first,B-VEG-FIRST-HARDCOVER,format,Hardcover,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,B-VEG-FIRST-PAPERBACK,format,Paperback,,,
B-PRESERVES,Books,simple,books,Books,Cooking,Jars,22,,1,4,2,0.4,"Jams, pickles and ferments for a small kitchen. Small batches, ordinary jars, a chapter on what went wrong and why. Good for a first ferment.","Jams, pickles and ferments for a small kitchen.",16,1,Hardcover,Cooking,Elin Sorensen,240,b-preserves.webp,b-preserves.webp,b-preserves.webp,b-preserves.webp,jars,,,,,,
B-COFFEE-BOOK,Books,simple,books,Books,Cooking,Coffee at Home,20,,1,4,2,0.4,"Beans, water, grind, time. Everything else is detail. Filter, espresso, cold brew, in that order of difficulty. Each method has a ratio and a timing chart.","Beans, water, grind, time.",19,1,Hardcover,Cooking,Nico Valdez,224,b-coffee-book.webp,b-coffee-book.webp,b-coffee-book.webp,b-coffee-book.webp,coffee-at-home,,,,,,
B-GOODNIGHT-FOX,Books,simple,books,Books,Children,"Goodnight, Little Fox",12,,1,4,2,0.4,"A picture book for the last five minutes of the day. Twenty-four pages, soft colours, one sentence a page. Ages one to four.",A picture book for the last five minutes of the day.,24,1,Hardcover,Children,Illustrated by Ada Wren,32,b-goodnight-fox.webp,b-goodnight-fox.webp,b-goodnight-fox.webp,b-goodnight-fox.webp,goodnight-little-fox,,,,,,
B-BIG-DIG,Books,simple,books,Books,Children,The Big Dig,12,,1,4,2,0.4,"Diggers, dumpers and a very deep hole. Big machines, big sounds, and a hole that gets deeper every page. Ages two to five.","Diggers, dumpers and a very deep hole.",19,1,Hardcover,Children,Illustrated by Ada Wren,32,b-big-dig.webp,b-big-dig.webp,b-big-dig.webp,b-big-dig.webp,the-big-dig,,,,,,
B-SEA-ADVENTURE-PAPERBACK,Books,simple,books,Books,,Milo and the Sea Paperback,9,,1,1,2,0.4,"A first chapter book about a boy, a boat and a very patient seagull. Ten short chapters with a picture on every spread. For readers of six to eight.","A first chapter book about a boy, a boat and a very patient seagull.",55,1,Paperback,Children,Ben Harker,160,b-sea-adventure.webp,b-sea-adventure.webp,b-sea-adventure.webp,b-sea-adventure.webp,milo-and-the-sea-paperback,,,,,,
