sku,_attribute_set,_type,_product_websites,_root_category,_category,name,price,special_price,status,visibility,tax_class_id,weight,description,short_description,qty,is_in_stock,light,hardiness,pot_size,material,dimensions,_media_image,image,small_image,thumbnail,url_key,_super_products_sku,_super_attribute_code,_super_attribute_option,_associated_sku,_associated_default_qty,_associated_position
N-HYDRANGEA,Garden,configurable,garden,Garden,Outdoor Plants,Hydrangea,24,,1,4,2,2,"A mophead hydrangea that flowers blue in acid soil and pink in lime. A 3 litre pot, flowering from July. The colour depends on your soil, and the label explains how.",A mophead hydrangea that flowers blue in acid soil and pink in lime.,0,1,Part shade,Hardy,,Terracotta,,n-hydrangea.webp,n-hydrangea.webp,n-hydrangea.webp,n-hydrangea.webp,hydrangea,N-HYDRANGEA-17-CM,pot_size,17 cm,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,N-HYDRANGEA-30-CM,pot_size,30 cm,,,
N-JAPANESE-MAPLE,Garden,simple,garden,Garden,Outdoor Plants,Japanese maple,55,,1,4,2,2,A slow red maple for a pot or a sheltered corner. A 5 litre pot at about 80 cm tall. It wants shelter from wind and afternoon sun.,A slow red maple for a pot or a sheltered corner.,22,1,Part shade,Hardy,30 cm,Terracotta,,n-japanese-maple.webp,n-japanese-maple.webp,n-japanese-maple.webp,n-japanese-maple.webp,japanese-maple,,,,,,
N-GRASS,Garden,simple,garden,Garden,Outdoor Plants,Fountain grass,12,,1,4,2,2,"A soft grass that moves in wind and holds its seed heads into winter. A 2 litre pot, about 60 cm tall in flower. Cut it down in February and it comes back.",A soft grass that moves in wind and holds its seed heads into winter.,50,1,Full sun,Hardy,17 cm,Terracotta,,n-grass.webp,n-grass.webp,n-grass.webp,n-grass.webp,fountain-grass,,,,,,
N-FERN-OUTDOOR,Garden,simple,garden,Garden,Outdoor Plants,Hardy fern,14,,1,4,2,2,A shield fern for dry shade under trees. A 2 litre pot with fronds of about 40 cm. It is evergreen and needs nothing once settled.,A shield fern for dry shade under trees.,42,1,Shade,Hardy,17 cm,Terracotta,,n-fern-outdoor.webp,n-fern-outdoor.webp,n-fern-outdoor.webp,n-fern-outdoor.webp,hardy-fern,,,,,,
N-HOSTA,Garden,simple,garden,Garden,Outdoor Plants,Hosta,11,,1,4,2,2,Big blue-green leaves for shade. Watch for slugs. A 2 litre pot with three to five leaves. It dies down in winter and returns bigger each spring.,Big blue-green leaves for shade.,22,1,Shade,Hardy,17 cm,Terracotta,,n-hosta.webp,n-hosta.webp,n-hosta.webp,n-hosta.webp,hosta,,,,,,
N-CLEMATIS,Garden,simple,garden,Garden,Outdoor Plants,Clematis,16,,1,4,2,2,A late-flowering purple clematis for a fence or an obelisk. A 2 litre pot with a cane. Plant it deep and cut it to 30 cm each February.,A late-flowering purple clematis for a fence or an obelisk.,16,1,Full sun,Hardy,17 cm,Terracotta,,n-clematis.webp,n-clematis.webp,n-clematis.webp,n-clematis.webp,clematis,,,,,,
N-TOMATO-SEED,Garden,simple,garden,Garden,Seeds & Bulbs,"Tomato seed, Costoluto",3.5,,1,4,2,2,"A ribbed beefsteak from our own seed bed. Forty seeds. Sow indoors in March and plant out after the last frost. Big, ribbed fruit from August.",A ribbed beefsteak from our own seed bed.,26,1,Full sun,Tender,,,,n-tomato-seed.webp,n-tomato-seed.webp,n-tomato-seed.webp,n-tomato-seed.webp,tomato-seed-costoluto,,,,,,
N-BEAN-SEED,Garden,simple,garden,Garden,Seeds & Bulbs,Climbing bean seed,3,,1,4,2,2,"A purple-podded climbing bean that turns green when cooked. Fifty seeds. Sow in May, straight in the ground, beside a cane wigwam. Pick young for the best pods.",A purple-podded climbing bean that turns green when cooked.,35,1,Full sun,Half hardy,,,,n-bean-seed.webp,n-bean-seed.webp,n-bean-seed.webp,n-bean-seed.webp,climbing-bean-seed,,,,,,
N-LETTUCE-SEED,Garden,simple,garden,Garden,Seeds & Bulbs,Lettuce mix seed,2.5,,1,4,2,2,Six cut-and-come-again lettuces in one packet. Sow a short row every fortnight from March. Cut the outer leaves and the plant keeps growing.,Six cut-and-come-again lettuces in one packet.,27,1,Part shade,Hardy,,,,n-lettuce-seed.webp,n-lettuce-seed.webp,n-lettuce-seed.webp,n-lettuce-seed.webp,lettuce-mix-seed,,,,,,
N-SWEET-PEA,Garden,simple,garden,Garden,Seeds & Bulbs,Sweet pea seed,3,,1,4,2,2,A scented old mix in every colour. Soak overnight. Sow in autumn or early spring and give them something to climb. Pick daily to keep them flowering.,A scented old mix in every colour.,38,1,Full sun,Hardy,,,,n-sweet-pea.webp,n-sweet-pea.webp,n-sweet-pea.webp,n-sweet-pea.webp,sweet-pea-seed,,,,,,
N-WILDFLOWER,Garden,simple,garden,Garden,Seeds & Bulbs,Wildflower mix,6,,1,4,2,2,Twenty native wildflowers for a square metre of bees. Sow on bare soil in spring or autumn and do not feed it. Flowers from the second month.,Twenty native wildflowers for a square metre of bees.,56,1,Full sun,Hardy,,,,n-wildflower.webp,n-wildflower.webp,n-wildflower.webp,n-wildflower.webp,wildflower-mix,,,,,,
N-TULIP-BULBS-9-CM,Garden,simple,garden,Garden,,"Tulip bulbs, 12 9 cm",9,,1,1,2,2,A dozen dark tulips for pots and borders. Plant in November. Twelve large bulbs of one dark variety. Plant them 15 cm deep in November.,A dozen dark tulips for pots and borders.,43,1,Full sun,Hardy,9 cm,,,n-tulip-bulbs.webp,n-tulip-bulbs.webp,n-tulip-bulbs.webp,n-tulip-bulbs.webp,tulip-bulbs-12-9-cm,,,,,,
N-TULIP-BULBS,Garden,configurable,garden,Garden,Seeds & Bulbs,"Tulip bulbs, 12",9,,1,4,2,2,A dozen dark tulips for pots and borders. Plant in November. Twelve large bulbs of one dark variety. Plant them 15 cm deep in November.,A dozen dark tulips for pots and borders.,0,1,Full sun,Hardy,,,,n-tulip-bulbs.webp,n-tulip-bulbs.webp,n-tulip-bulbs.webp,n-tulip-bulbs.webp,tulip-bulbs-12,N-TULIP-BULBS-9-CM,pot_size,9 cm,,,
N-DAFFODIL-BULBS,Garden,simple,garden,Garden,Seeds & Bulbs,"Daffodil bulbs, 25",12,,1,4,2,2,Small early daffodils that come back every year. Twenty-five bulbs of a small early variety for pots and grass. They multiply each year.,Small early daffodils that come back every year.,32,1,Part shade,Hardy,,,,n-daffodil-bulbs.webp,n-daffodil-bulbs.webp,n-daffodil-bulbs.webp,n-daffodil-bulbs.webp,daffodil-bulbs-25,,,,,,
N-GARLIC,Garden,simple,garden,Garden,Seeds & Bulbs,"Seed garlic, 3 bulbs",7,,1,4,2,2,"Hardneck garlic to plant in autumn and lift in July. Three hardneck bulbs, about thirty cloves. Plant the cloves in October, 15 cm apart.",Hardneck garlic to plant in autumn and lift in July.,43,1,Full sun,Hardy,,,,n-garlic.webp,n-garlic.webp,n-garlic.webp,n-garlic.webp,seed-garlic-3-bulbs,,,,,,
N-TERRACOTTA-12-CM,Garden,simple,garden,Garden,,Terracotta pot 12 cm,8,,1,1,2,2,"A frost-proof terracotta pot with a drainage hole and a saucer. Fired at a high temperature, so it survives winter outside. Available in three sizes.",A frost-proof terracotta pot with a drainage hole and a saucer.,22,1,,,12 cm,Terracotta,,n-terracotta.webp,n-terracotta.webp,n-terracotta.webp,n-terracotta.webp,terracotta-pot-12-cm,,,,,,
N-TERRACOTTA-17-CM,Garden,simple,garden,Garden,,Terracotta pot 17 cm,8,,1,1,2,2,"A frost-proof terracotta pot with a drainage hole and a saucer. Fired at a high temperature, so it survives winter outside. Available in three sizes.",A frost-proof terracotta pot with a drainage hole and a saucer.,58,1,,,17 cm,Terracotta,,n-terracotta.webp,n-terracotta.webp,n-terracotta.webp,n-terracotta.webp,terracotta-pot-17-cm,,,,,,
N-TERRACOTTA-21-CM,Garden,simple,garden,Garden,,Terracotta pot 21 cm,8,,1,1,2,2,"A frost-proof terracotta pot with a drainage hole and a saucer. Fired at a high temperature, so it survives winter outside. Available in three sizes.",A frost-proof terracotta pot with a drainage hole and a saucer.,42,1,,,21 cm,Terracotta,,n-terracotta.webp,n-terracotta.webp,n-terracotta.webp,n-terracotta.webp,terracotta-pot-21-cm,,,,,,
N-TERRACOTTA-30-CM,Garden,simple,garden,Garden,,Terracotta pot 30 cm,8,,1,1,2,2,"A frost-proof terracotta pot with a drainage hole and a saucer. Fired at a high temperature, so it survives winter outside. Available in three sizes.",A frost-proof terracotta pot with a drainage hole and a saucer.,14,1,,,30 cm,Terracotta,,n-terracotta.webp,n-terracotta.webp,n-terracotta.webp,n-terracotta.webp,terracotta-pot-30-cm,,,,,,
N-TERRACOTTA,Garden,configurable,garden,Garden,Pots & Planters,Terracotta pot,8,,1,4,2,2,"A frost-proof terracotta pot with a drainage hole and a saucer. Fired at a high temperature, so it survives winter outside. Available in three sizes.",A frost-proof terracotta pot with a drainage hole and a saucer.,0,1,,,,Terracotta,,n-terracotta.webp,n-terracotta.webp,n-terracotta.webp,n-terracotta.webp,terracotta-pot,N-TERRACOTTA-12-CM,pot_size,12 cm,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,N-TERRACOTTA-17-CM,pot_size,17 cm,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,N-TERRACOTTA-21-CM,pot_size,21 cm,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,N-TERRACOTTA-30-CM,pot_size,30 cm,,,
N-GLAZED-POT-GREEN,Garden,simple,garden,Garden,,Glazed stoneware pot Green,24,,1,1,2,2,"A reactive-glazed pot for indoors, with a hole. Each pot comes out of the kiln slightly different. The drainage hole and a saucer are included.","A reactive-glazed pot for indoors, with a hole.",41,1,,,17 cm,Ceramic,,n-glazed-pot-green.webp,n-glazed-pot-green.webp,n-glazed-pot-green.webp,n-glazed-pot-green.webp,glazed-stoneware-pot-green,,,,,,
N-GLAZED-POT-WHITE,Garden,simple,garden,Garden,,Glazed stoneware pot White,24,,1,1,2,2,"A reactive-glazed pot for indoors, with a hole. Each pot comes out of the kiln slightly different. The drainage hole and a saucer are included.","A reactive-glazed pot for indoors, with a hole.",14,1,,,17 cm,Ceramic,,n-glazed-pot-white.webp,n-glazed-pot-white.webp,n-glazed-pot-white.webp,n-glazed-pot-white.webp,glazed-stoneware-pot-white,,,,,,
N-GLAZED-POT-BLUE,Garden,simple,garden,Garden,,Glazed stoneware pot Blue,24,,1,1,2,2,"A reactive-glazed pot for indoors, with a hole. Each pot comes out of the kiln slightly different. The drainage hole and a saucer are included.","A reactive-glazed pot for indoors, with a hole.",30,1,,,17 cm,Ceramic,,n-glazed-pot-blue.webp,n-glazed-pot-blue.webp,n-glazed-pot-blue.webp,n-glazed-pot-blue.webp,glazed-stoneware-pot-blue,,,,,,
N-GLAZED-POT,Garden,configurable,garden,Garden,Pots & Planters,Glazed stoneware pot,24,,1,4,2,2,"A reactive-glazed pot for indoors, with a hole. Each pot comes out of the kiln slightly different. The drainage hole and a saucer are included.","A reactive-glazed pot for indoors, with a hole.",0,1,,,17 cm,Ceramic,,n-glazed-pot-green.webp,n-glazed-pot-green.webp,n-glazed-pot-green.webp,n-glazed-pot-green.webp,glazed-stoneware-pot,N-GLAZED-POT-GREEN,color,Green,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,N-GLAZED-POT-WHITE,color,White,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,N-GLAZED-POT-BLUE,color,Blue,,,
N-ZINC-PLANTER,Garden,simple,garden,Garden,Pots & Planters,Zinc trough,45,,1,4,2,2,A 60 cm zinc trough for herbs on a windowsill. Galvanised steel with drainage holes and a tray. It holds four herb pots in a row.,A 60 cm zinc trough for herbs on a windowsill.,39,1,,,30 cm,Stainless steel,60 x 20 x 20 cm,n-zinc-planter.webp,n-zinc-planter.webp,n-zinc-planter.webp,n-zinc-planter.webp,zinc-trough,,,,,,
N-HANGING-POT,Garden,simple,garden,Garden,Pots & Planters,Hanging pot,22,,1,4,2,2,A stoneware pot on a jute hanger. A stoneware pot with a drainage plug and a jute hanger of 90 cm. Good for a trailing plant.,A stoneware pot on a jute hanger.,42,1,,,17 cm,Ceramic,,n-hanging-pot.webp,n-hanging-pot.webp,n-hanging-pot.webp,n-hanging-pot.webp,hanging-pot,,,,,,
N-SEED-TRAY,Garden,simple,garden,Garden,Pots & Planters,"Seed trays, set of 3",12,,1,4,2,2,"Three rigid recycled trays with lids. Rigid trays that last years, with clear lids for the first weeks. They stack when empty.",Three rigid recycled trays with lids.,55,1,,,,Recycled polyester,,n-seed-tray.webp,n-seed-tray.webp,n-seed-tray.webp,n-seed-tray.webp,seed-trays-set-of-3,,,,,,
,,,,Garden,Seeds & Bulbs,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-RAISED-BED,Garden,simple,garden,Garden,Pots & Planters,Oak raised bed,190,,1,4,2,2,"A 120 by 80 cm raised bed in oak sleepers, no tools needed. Oak sleepers that slot together without screws. Fill it with about 200 litres of compost.","A 120 by 80 cm raised bed in oak sleepers, no tools needed.",22,1,,,,Oak,120 x 80 x 40 cm,n-raised-bed.webp,n-raised-bed.webp,n-raised-bed.webp,n-raised-bed.webp,oak-raised-bed,,,,,,
,,,,Garden,Outdoor Furniture,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-COMPOST,Garden,simple,garden,Garden,Pots & Planters,"Peat-free compost, 40 l",9,,1,4,2,2,"Our own mix for pots and beds. Bark, coir and green compost, with slow-release feed for six weeks. A 40 litre bag fills four large pots.",Our own mix for pots and beds.,51,1,,,,,,n-compost.webp,n-compost.webp,n-compost.webp,n-compost.webp,peat-free-compost-40-l,,,,,,
N-SPADE,Garden,simple,garden,Garden,Tools,Forged spade,75,,1,4,2,2,"A forged steel spade with an ash handle, sharpened before it ships. A narrow blade with a tread, forged from one piece of steel. It comes with a twenty-year guarantee.","A forged steel spade with an ash handle, sharpened before it ships.",52,1,,,,Stainless steel,,n-spade.webp,n-spade.webp,n-spade.webp,n-spade.webp,forged-spade,,,,,,
N-FORK,Garden,simple,garden,Garden,Tools,Forged fork,75,,1,4,2,2,A four-tine fork that does not bend. Forged tines and an ash handle with a wide grip. It lifts potatoes and turns compost without bending.,A four-tine fork that does not bend.,33,1,,,,Stainless steel,,n-fork.webp,n-fork.webp,n-fork.webp,n-fork.webp,forged-fork,,,,,,
N-TROWEL,Garden,simple,garden,Garden,Tools,Hand trowel,22,,1,4,2,2,"A stainless trowel with an ash handle. A narrow blade for planting and a wide one for potting, both stainless. The handle is oiled ash.",A stainless trowel with an ash handle.,38,1,,,,Stainless steel,,n-trowel.webp,n-trowel.webp,n-trowel.webp,n-trowel.webp,hand-trowel,,,,,,
N-SECATEURS,Garden,simple,garden,Garden,Tools,Bypass secateurs,48,,1,4,2,2,"Forged bypass secateurs with a replaceable blade. Forged from steel, with a blade that unscrews for sharpening or replacing. They cut branches up to 20 mm.",Forged bypass secateurs with a replaceable blade.,9,1,,,,Stainless steel,,n-secateurs.webp,n-secateurs.webp,n-secateurs.webp,n-secateurs.webp,bypass-secateurs,,,,,,
