sku,_attribute_set,_type,_product_websites,_root_category,_category,name,price,special_price,status,visibility,tax_class_id,weight,description,short_description,qty,is_in_stock,diet,origin,pack_size,_media_image,image,small_image,thumbnail,url_key,_super_products_sku,_super_attribute_code,_super_attribute_option,_associated_sku,_associated_default_qty,_associated_position
F-FIG-JAM,Food,simple,food,Food,Pantry,Black fig jam,8,,1,4,2,0.5,"Late-summer black figs with a squeeze of lemon. Made for cheese. Dark, sticky and not too sweet. A spoon beside a hard cheese or on warm toast.",Late-summer black figs with a squeeze of lemon.,27,1,Vegan|Vegetarian,Greece,250 g,f-fig-jam.webp,f-fig-jam.webp,f-fig-jam.webp,f-fig-jam.webp,black-fig-jam,,,,,,
F-HONEY-250-G,Food,simple,food,Food,,Wildflower honey 250 g,12,,1,1,2,0.5,"Raw honey from hives on a hillside of thyme and heather. Unfiltered, crystallises with time. Never heated above hive temperature, so it sets over the winter. Warm the jar in water to bring it back.",Raw honey from hives on a hillside of thyme and heather.,14,1,Vegetarian,Greece,250 g,f-honey.webp,f-honey.webp,f-honey.webp,f-honey.webp,wildflower-honey-250-g,,,,,,
F-HONEY-500-G,Food,simple,food,Food,,Wildflower honey 500 g,12,,1,1,2,0.5,"Raw honey from hives on a hillside of thyme and heather. Unfiltered, crystallises with time. Never heated above hive temperature, so it sets over the winter. Warm the jar in water to bring it back.",Raw honey from hives on a hillside of thyme and heather.,12,1,Vegetarian,Greece,500 g,f-honey.webp,f-honey.webp,f-honey.webp,f-honey.webp,wildflower-honey-500-g,,,,,,
F-HONEY,Food,configurable,food,Food,Pantry,Wildflower honey,12,,1,4,2,0.5,"Raw honey from hives on a hillside of thyme and heather. Unfiltered, crystallises with time. Never heated above hive temperature, so it sets over the winter. Warm the jar in water to bring it back.",Raw honey from hives on a hillside of thyme and heather.,0,1,Vegetarian,Greece,,f-honey.webp,f-honey.webp,f-honey.webp,f-honey.webp,wildflower-honey,F-HONEY-250-G,pack_size,250 g,,,
,,,,,,,,,,,,,,,,,,,,,,,,,F-HONEY-500-G,pack_size,500 g,,,
F-TOMATO-PASSATA,Food,simple,food,Food,Pantry,San Marzano passata,4.5,,1,4,2,0.5,"Sieved San Marzano tomatoes in a glass bottle, picked ripe and nothing added. Bottled the day the tomatoes are picked, with a leaf of basil. Enough for two pans of sauce.","Sieved San Marzano tomatoes in a glass bottle, picked ripe and nothing added.",39,1,Vegan|Organic,Italy,500 g,f-tomato-passata.webp,f-tomato-passata.webp,f-tomato-passata.webp,f-tomato-passata.webp,san-marzano-passata,,,,,,
F-SEA-SALT,Food,simple,food,Food,Pantry,Flaky sea salt,6,,1,4,2,0.5,"Pyramid flakes harvested from Atlantic salt pans. Finishing salt, not for the pot. The flakes crush between the fingers over a finished dish. A tub lasts a year in most kitchens.",Pyramid flakes harvested from Atlantic salt pans.,49,1,Vegan,Portugal,250 g,f-sea-salt.webp,f-sea-salt.webp,f-sea-salt.webp,f-sea-salt.webp,flaky-sea-salt,,,,,,
F-SOURDOUGH,Food,simple,food,Food,Bakery,Country sourdough,6.5,,1,4,2,0.5,"A 48-hour sourdough with a dark crust and an open crumb. Wheat, water, salt and time. Baked before dawn, packed warm, delivered the same day. It keeps for four days in a cloth.",A 48-hour sourdough with a dark crust and an open crumb.,59,1,Vegan,Local farms,1 kg,f-sourdough.webp,f-sourdough.webp,f-sourdough.webp,f-sourdough.webp,country-sourdough,,,,,,
F-BAGUETTE,Food,simple,food,Food,Bakery,Baguette tradition,3,,1,4,2,0.5,"A long-fermented baguette with a thin crust that shatters. Made with a poolish left overnight, so the crumb is creamy. Best eaten the day it arrives.",A long-fermented baguette with a thin crust that shatters.,19,1,Vegan,Local farms,250 g,f-baguette.webp,f-baguette.webp,f-baguette.webp,f-baguette.webp,baguette-tradition,,,,,,
F-FOCACCIA,Food,simple,food,Food,Bakery,Rosemary focaccia,5.5,,1,4,2,0.5,"Dimpled focaccia with olive oil, rosemary and flaky salt. A tray of thirty by forty centimetres, cut into six. Warm it for five minutes and add nothing.","Dimpled focaccia with olive oil, rosemary and flaky salt.",37,1,Vegan,Local farms,500 g,f-focaccia.webp,f-focaccia.webp,f-focaccia.webp,f-focaccia.webp,rosemary-focaccia,,,,,,
F-CROISSANT,Food,simple,food,Food,Bakery,Butter croissants,9,,1,4,2,0.5,"Six croissants laminated with cultured butter. Best warmed for five minutes. Twenty-seven layers of butter and dough, proved overnight. They freeze well and bake from frozen.",Six croissants laminated with cultured butter.,30,1,Vegetarian,Local farms,6 pack,f-croissant.webp,f-croissant.webp,f-croissant.webp,f-croissant.webp,butter-croissants,,,,,,
F-RYE-LOAF,Food,simple,food,Food,Bakery,Seeded rye loaf,6,,1,4,2,0.5,"Dense rye with sunflower and pumpkin seeds. Keeps for a week. A dense loaf that slices thin and toasts well. Good with butter, better with cheese.",Dense rye with sunflower and pumpkin seeds.,11,1,Vegan,Local farms,1 kg,f-rye-loaf.webp,f-rye-loaf.webp,f-rye-loaf.webp,f-rye-loaf.webp,seeded-rye-loaf,,,,,,
F-GF-LOAF,Food,simple,food,Food,Bakery,Gluten-free seed loaf,7,,1,4,2,0.5,"A buckwheat and seed loaf with no gluten and no compromise on crust. Baked in a separate kitchen, so it is safe for coeliacs. Toast it and the crust comes alive.",A buckwheat and seed loaf with no gluten and no compromise on crust.,48,1,Vegan|Gluten free,Local farms,500 g,f-gf-loaf.webp,f-gf-loaf.webp,f-gf-loaf.webp,f-gf-loaf.webp,gluten-free-seed-loaf,,,,,,
F-CINNAMON-BUN,Food,simple,food,Food,Bakery,Cardamom buns,10,,1,4,2,0.5,Six twisted buns with cardamom sugar and a pearl sugar top. Freshly ground cardamom in the dough and the sugar. Warm them for three minutes before serving.,Six twisted buns with cardamom sugar and a pearl sugar top.,43,1,Vegetarian,Local farms,6 pack,f-cinnamon-bun.webp,f-cinnamon-bun.webp,f-cinnamon-bun.webp,f-cinnamon-bun.webp,cardamom-buns,,,,,,
F-AGED-CHEDDAR-250-G,Food,simple,food,Food,,Cave-aged cheddar 250 g,11,,1,1,2,0.5,"Clothbound cheddar aged eighteen months in a stone cave. Crumbly, sharp, sweet at the end. Made from the milk of one herd and turned by hand in the cave. Cut to order, about 250 g.",Clothbound cheddar aged eighteen months in a stone cave.,59,1,Vegetarian,Local farms,250 g,f-aged-cheddar.webp,f-aged-cheddar.webp,f-aged-cheddar.webp,f-aged-cheddar.webp,cave-aged-cheddar-250-g,,,,,,
F-AGED-CHEDDAR-500-G,Food,simple,food,Food,,Cave-aged cheddar 500 g,11,,1,1,2,0.5,"Clothbound cheddar aged eighteen months in a stone cave. Crumbly, sharp, sweet at the end. Made from the milk of one herd and turned by hand in the cave. Cut to order, about 250 g.",Clothbound cheddar aged eighteen months in a stone cave.,43,1,Vegetarian,Local farms,500 g,f-aged-cheddar.webp,f-aged-cheddar.webp,f-aged-cheddar.webp,f-aged-cheddar.webp,cave-aged-cheddar-500-g,,,,,,
F-AGED-CHEDDAR,Food,configurable,food,Food,Cheese & Charcuterie,Cave-aged cheddar,11,,1,4,2,0.5,"Clothbound cheddar aged eighteen months in a stone cave. Crumbly, sharp, sweet at the end. Made from the milk of one herd and turned by hand in the cave. Cut to order, about 250 g.",Clothbound cheddar aged eighteen months in a stone cave.,0,1,Vegetarian,Local farms,,f-aged-cheddar.webp,f-aged-cheddar.webp,f-aged-cheddar.webp,f-aged-cheddar.webp,cave-aged-cheddar,F-AGED-CHEDDAR-250-G,pack_size,250 g,,,
,,,,,,,,,,,,,,,,,,,,,,,,,F-AGED-CHEDDAR-500-G,pack_size,500 g,,,
F-MANCHEGO,Food,simple,food,Food,Cheese & Charcuterie,Manchego 12 months,12,,1,4,2,0.5,"Sheep milk cheese aged a year. Nutty and firm, for slicing with quince. From the raw milk of Manchega sheep, with a natural rind. Slice thin and serve at room temperature.",Sheep milk cheese aged a year.,11,1,Vegetarian,Spain,250 g,f-manchego.webp,f-manchego.webp,f-manchego.webp,f-manchego.webp,manchego-12-months,,,,,,
F-BRIE,Food,simple,food,Food,Cheese & Charcuterie,Farmhouse brie,9.5,,1,4,2,0.5,"A soft, bloomy-rind brie from raw milk. Ripe at the edges, chalky in the middle. About 400 g, sold ripe. Leave it out for an hour before serving and the middle softens.","A soft, bloomy-rind brie from raw milk.",33,1,Vegetarian,France,500 g,f-brie.webp,f-brie.webp,f-brie.webp,f-brie.webp,farmhouse-brie,,,,,,
F-PECORINO,Food,simple,food,Food,Cheese & Charcuterie,Pecorino romano,10,,1,4,2,0.5,"Salty sheep milk cheese for grating over pasta. Aged ten months, hard and salty. Grate it over pasta or shave it over broad beans.",Salty sheep milk cheese for grating over pasta.,29,1,Vegetarian,Italy,250 g,f-pecorino.webp,f-pecorino.webp,f-pecorino.webp,f-pecorino.webp,pecorino-romano,,,,,,
F-JAMON,Food,simple,food,Food,Cheese & Charcuterie,"Iberico ham, sliced",16,,1,4,2,0.5,"Acorn-fed Iberico ham, hand sliced and vacuum packed. Cured for thirty-six months in the mountain air. Eighty grams, sliced by hand the day it ships.","Acorn-fed Iberico ham, hand sliced and vacuum packed.",40,1,,Spain,100 g,f-jamon.webp,f-jamon.webp,f-jamon.webp,f-jamon.webp,iberico-ham-sliced,,,,,,
F-SALAMI,Food,simple,food,Food,Cheese & Charcuterie,Fennel salami,8.5,,1,4,2,0.5,"A coarse pork salami with wild fennel seed, air dried for eight weeks. One whole salami of about 300 g. Peel the casing and slice thick.","A coarse pork salami with wild fennel seed, air dried for eight weeks.",24,1,,Italy,250 g,f-salami.webp,f-salami.webp,f-salami.webp,f-salami.webp,fennel-salami,,,,,,
F-CHORIZO,Food,simple,food,Food,Cheese & Charcuterie,Cured chorizo,7.5,,1,4,2,0.5,"Smoked paprika chorizo, cured whole. Slice thin or cook in chunks. About 250 g, mild smoke, a little heat. Fry it in chunks and use the red oil for eggs.","Smoked paprika chorizo, cured whole.",34,1,,Spain,250 g,f-chorizo.webp,f-chorizo.webp,f-chorizo.webp,f-chorizo.webp,cured-chorizo,,,,,,
F-OLIVES,Food,simple,food,Food,Cheese & Charcuterie,Marinated olives,6,,1,4,2,0.5,"Green and black olives in oil with lemon peel and thyme. A 300 g jar of mixed olives, with stones. Drain and warm them for a minute before serving.",Green and black olives in oil with lemon peel and thyme.,56,1,Vegan,Greece,250 g,f-olives.webp,f-olives.webp,f-olives.webp,f-olives.webp,marinated-olives,,,,,,
,,,,Food,Pantry,,,,,,,,,,,,,,,,,,,,,,,,,
F-ESPRESSO-250-G,Food,simple,food,Food,,Espresso blend 250 g,14,,1,1,2,0.5,"Brazil and Ethiopia, roasted dark enough for milk and bright enough without. Roasted on Mondays and shipped in the same week. Whole bean or ground for espresso, moka or filter.","Brazil and Ethiopia, roasted dark enough for milk and bright enough without.",21,1,Vegan,Local farms,250 g,f-espresso.webp,f-espresso.webp,f-espresso.webp,f-espresso.webp,espresso-blend-250-g,,,,,,
F-ESPRESSO-500-G,Food,simple,food,Food,,Espresso blend 500 g,14,,1,1,2,0.5,"Brazil and Ethiopia, roasted dark enough for milk and bright enough without. Roasted on Mondays and shipped in the same week. Whole bean or ground for espresso, moka or filter.","Brazil and Ethiopia, roasted dark enough for milk and bright enough without.",31,1,Vegan,Local farms,500 g,f-espresso.webp,f-espresso.webp,f-espresso.webp,f-espresso.webp,espresso-blend-500-g,,,,,,
F-ESPRESSO-1-KG,Food,simple,food,Food,,Espresso blend 1 kg,14,,1,1,2,0.5,"Brazil and Ethiopia, roasted dark enough for milk and bright enough without. Roasted on Mondays and shipped in the same week. Whole bean or ground for espresso, moka or filter.","Brazil and Ethiopia, roasted dark enough for milk and bright enough without.",36,1,Vegan,Local farms,1 kg,f-espresso.webp,f-espresso.webp,f-espresso.webp,f-espresso.webp,espresso-blend-1-kg,,,,,,
F-ESPRESSO,Food,configurable,food,Food,Coffee & Tea,Espresso blend,14,,1,4,2,0.5,"Brazil and Ethiopia, roasted dark enough for milk and bright enough without. Roasted on Mondays and shipped in the same week. Whole bean or ground for espresso, moka or filter.","Brazil and Ethiopia, roasted dark enough for milk and bright enough without.",0,1,Vegan,Local farms,,f-espresso.webp,f-espresso.webp,f-espresso.webp,f-espresso.webp,espresso-blend,F-ESPRESSO-250-G,pack_size,250 g,,,
,,,,,,,,,,,,,,,,,,,,,,,,,F-ESPRESSO-500-G,pack_size,500 g,,,
,,,,,,,,,,,,,,,,,,,,,,,,,F-ESPRESSO-1-KG,pack_size,1 kg,,,
F-ETHIOPIA-250-G,Food,simple,food,Food,,Ethiopia single origin 250 g,16,,1,1,2,0.5,Washed Yirgacheffe with jasmine and citrus. Roasted light for filter. Grown at two thousand metres and washed at the mill. Brew at fifteen to one for filter.,Washed Yirgacheffe with jasmine and citrus.,45,1,Vegan|Organic,Local farms,250 g,f-ethiopia.webp,f-ethiopia.webp,f-ethiopia.webp,f-ethiopia.webp,ethiopia-single-origin-250-g,,,,,,
F-ETHIOPIA-500-G,Food,simple,food,Food,,Ethiopia single origin 500 g,16,,1,1,2,0.5,Washed Yirgacheffe with jasmine and citrus. Roasted light for filter. Grown at two thousand metres and washed at the mill. Brew at fifteen to one for filter.,Washed Yirgacheffe with jasmine and citrus.,9,1,Vegan|Organic,Local farms,500 g,f-ethiopia.webp,f-ethiopia.webp,f-ethiopia.webp,f-ethiopia.webp,ethiopia-single-origin-500-g,,,,,,
F-ETHIOPIA,Food,configurable,food,Food,Coffee & Tea,Ethiopia single origin,16,,1,4,2,0.5,Washed Yirgacheffe with jasmine and citrus. Roasted light for filter. Grown at two thousand metres and washed at the mill. Brew at fifteen to one for filter.,Washed Yirgacheffe with jasmine and citrus.,0,1,Vegan|Organic,Local farms,,f-ethiopia.webp,f-ethiopia.webp,f-ethiopia.webp,f-ethiopia.webp,ethiopia-single-origin,F-ETHIOPIA-250-G,pack_size,250 g,,,
,,,,,,,,,,,,,,,,,,,,,,,,,F-ETHIOPIA-500-G,pack_size,500 g,,,
F-DECAF,Food,simple,food,Food,Coffee & Tea,Swiss water decaf,14,,1,4,2,0.5,"A Colombian decaffeinated with water only. Chocolate and red fruit. The caffeine is removed with water alone, so the flavour stays. Nobody notices it is decaf.",A Colombian decaffeinated with water only.,48,1,Vegan,Local farms,250 g,f-decaf.webp,f-decaf.webp,f-decaf.webp,f-decaf.webp,swiss-water-decaf,,,,,,
F-EARL-GREY,Food,simple,food,Food,Coffee & Tea,Earl Grey loose leaf,9,,1,4,2,0.5,"Ceylon black tea with cold-pressed bergamot oil. Big leaves and real bergamot, not flavouring. Three minutes at ninety-five degrees.",Ceylon black tea with cold-pressed bergamot oil.,53,1,Vegan,Local farms,100 g,f-earl-grey.webp,f-earl-grey.webp,f-earl-grey.webp,f-earl-grey.webp,earl-grey-loose-leaf,,,,,,
F-GREEN-TEA,Food,simple,food,Food,Coffee & Tea,Sencha green tea,11,,1,4,2,0.5,"First-flush sencha, grassy and sweet. Brew at 70 degrees. Steamed and rolled leaves from the spring harvest. Sixty seconds for the first cup, longer for the second.","First-flush sencha, grassy and sweet.",21,1,Vegan|Organic,Local farms,100 g,f-green-tea.webp,f-green-tea.webp,f-green-tea.webp,f-green-tea.webp,sencha-green-tea,,,,,,
F-CHAMOMILE,Food,simple,food,Food,Coffee & Tea,Chamomile flowers,7,,1,4,2,0.5,"Whole dried chamomile flowers for a calm evening cup. Whole flowers, not dust, from a farm in the hills. Five minutes covered in a pot.",Whole dried chamomile flowers for a calm evening cup.,14,1,Vegan|Organic,Greece,100 g,f-chamomile.webp,f-chamomile.webp,f-chamomile.webp,f-chamomile.webp,chamomile-flowers,,,,,,
F-HOT-CHOC,Food,simple,food,Food,Coffee & Tea,Drinking chocolate flakes,10,,1,4,2,0.5,"Seventy percent dark chocolate flakes for the pan, not the kettle. Two spoons per cup, heated slowly with milk. Made from a single-estate cacao.","Seventy percent dark chocolate flakes for the pan, not the kettle.",46,1,Vegetarian,France,250 g,f-hot-choc.webp,f-hot-choc.webp,f-hot-choc.webp,f-hot-choc.webp,drinking-chocolate-flakes,,,,,,
F-APPLE-JUICE,Food,simple,food,Food,Drinks,Cloudy apple juice,4.5,,1,4,2,0.5,"Pressed from orchard apples, unfiltered and pasteurised gently. Pressed in the autumn from six old varieties. Cloudy because nothing is filtered out.","Pressed from orchard apples, unfiltered and pasteurised gently.",31,1,Vegan|Organic,Local farms,1 kg,f-apple-juice.webp,f-apple-juice.webp,f-apple-juice.webp,f-apple-juice.webp,cloudy-apple-juice,,,,,,
F-LEMONADE-500-G,Food,simple,food,Food,,Sicilian lemonade 500 g,3.5,,1,1,2,0.5,"Sparkling lemonade with Sicilian lemons and cane sugar, not too sweet. Real lemon juice, cane sugar and water, carbonated in the bottle. Serve very cold.","Sparkling lemonade with Sicilian lemons and cane sugar, not too sweet.",32,1,Vegan,Italy,500 g,f-lemonade.webp,f-lemonade.webp,f-lemonade.webp,f-lemonade.webp,sicilian-lemonade-500-g,,,,,,
F-LEMONADE-6-PACK,Food,simple,food,Food,,Sicilian lemonade 6 pack,3.5,,1,1,2,0.5,"Sparkling lemonade with Sicilian lemons and cane sugar, not too sweet. Real lemon juice, cane sugar and water, carbonated in the bottle. Serve very cold.","Sparkling lemonade with Sicilian lemons and cane sugar, not too sweet.",38,1,Vegan,Italy,6 pack,f-lemonade.webp,f-lemonade.webp,f-lemonade.webp,f-lemonade.webp,sicilian-lemonade-6-pack,,,,,,
F-LEMONADE,Food,configurable,food,Food,Drinks,Sicilian lemonade,3.5,,1,4,2,0.5,"Sparkling lemonade with Sicilian lemons and cane sugar, not too sweet. Real lemon juice, cane sugar and water, carbonated in the bottle. Serve very cold.","Sparkling lemonade with Sicilian lemons and cane sugar, not too sweet.",0,1,Vegan,Italy,,f-lemonade.webp,f-lemonade.webp,f-lemonade.webp,f-lemonade.webp,sicilian-lemonade,F-LEMONADE-500-G,pack_size,500 g,,,
,,,,,,,,,,,,,,,,,,,,,,,,,F-LEMONADE-6-PACK,pack_size,6 pack,,,
F-GINGER-BEER-500-G,Food,simple,food,Food,,Fiery ginger beer 500 g,3.5,,1,1,2,0.5,"Fermented ginger beer with a real kick. Fresh root ginger, fermented for three days. Drink it alone or with a dark rum.",Fermented ginger beer with a real kick.,58,1,Vegan,Local farms,500 g,f-ginger-beer.webp,f-ginger-beer.webp,f-ginger-beer.webp,f-ginger-beer.webp,fiery-ginger-beer-500-g,,,,,,
F-GINGER-BEER-6-PACK,Food,simple,food,Food,,Fiery ginger beer 6 pack,3.5,,1,1,2,0.5,"Fermented ginger beer with a real kick. Fresh root ginger, fermented for three days. Drink it alone or with a dark rum.",Fermented ginger beer with a real kick.,22,1,Vegan,Local farms,6 pack,f-ginger-beer.webp,f-ginger-beer.webp,f-ginger-beer.webp,f-ginger-beer.webp,fiery-ginger-beer-6-pack,,,,,,
F-GINGER-BEER,Food,configurable,food,Food,Drinks,Fiery ginger beer,3.5,,1,4,2,0.5,"Fermented ginger beer with a real kick. Fresh root ginger, fermented for three days. Drink it alone or with a dark rum.",Fermented ginger beer with a real kick.,0,1,Vegan,Local farms,,f-ginger-beer.webp,f-ginger-beer.webp,f-ginger-beer.webp,f-ginger-beer.webp,fiery-ginger-beer,F-GINGER-BEER-500-G,pack_size,500 g,,,
,,,,,,,,,,,,,,,,,,,,,,,,,F-GINGER-BEER-6-PACK,pack_size,6 pack,,,
F-KOMBUCHA,Food,simple,food,Food,Drinks,Hibiscus kombucha,4,,1,4,2,0.5,Live kombucha with hibiscus and lime. Keep it cold. A live drink with a light fizz and a sour finish. Store it cold and open it slowly.,Live kombucha with hibiscus and lime.,56,1,Vegan|Organic,Local farms,500 g,f-kombucha.webp,f-kombucha.webp,f-kombucha.webp,f-kombucha.webp,hibiscus-kombucha,,,,,,
F-RED-WINE,Food,simple,food,Food,Drinks,Douro red,15,,1,4,2,0.5,"A field blend from old vines in the Douro. Dark fruit, soft tannin, open an hour early. Touriga and friends from vines older than the winemaker. Decant it and drink it with grilled meat.",A field blend from old vines in the Douro.,11,1,Vegan,Portugal,1 kg,f-red-wine.webp,f-red-wine.webp,f-red-wine.webp,f-red-wine.webp,douro-red,,,,,,
F-WHITE-WINE,Food,simple,food,Food,Drinks,Vinho verde,11,,1,4,2,0.5,"Light, dry and faintly sparkling. The summer bottle. Low in alcohol, high in freshness, with a slight prickle. Serve ice cold with fish.","Light, dry and faintly sparkling.",19,1,Vegan,Portugal,1 kg,f-white-wine.webp,f-white-wine.webp,f-white-wine.webp,f-white-wine.webp,vinho-verde,,,,,,
F-VERMOUTH,Food,simple,food,Food,Drinks,Rosso vermouth,22,,1,4,2,0.5,A bittersweet vermouth with wormwood and orange peel. Serve on ice with a twist. Made on a white wine base with twenty botanicals. Keep it in the fridge once open.,A bittersweet vermouth with wormwood and orange peel.,29,1,Vegan,Italy,1 kg,f-vermouth.webp,f-vermouth.webp,f-vermouth.webp,f-vermouth.webp,rosso-vermouth,,,,,,
F-OIL-VINEGAR-SET,Food,simple,food,Food,Gift Boxes,Oil and vinegar set,32,,1,4,2,0.5,"Our Puglia oil with a twelve-year balsamic, boxed together. The two bottles our kitchen reaches for most, in a wooden box. A gift that gets used.","Our Puglia oil with a twelve-year balsamic, boxed together.",20,1,Vegan,Italy,1 kg,f-oil-vinegar-set.webp,f-oil-vinegar-set.webp,f-oil-vinegar-set.webp,f-oil-vinegar-set.webp,oil-and-vinegar-set,,,,,,
F-BALSAMIC,Food,simple,food,Food,Pantry,Balsamic vinegar 12 years,19,,1,4,2,0.5,"Aged in a series of wooden casks. Thick, sweet, a few drops at a time. Aged in oak, chestnut and cherry casks. Use it drop by drop on cheese, strawberries or a steak.",Aged in a series of wooden casks.,39,1,Vegan,Italy,250 g,f-balsamic.webp,f-balsamic.webp,f-balsamic.webp,f-balsamic.webp,balsamic-vinegar-12-years,,,,,,
,,,,Food,Gift Boxes,,,,,,,,,,,,,,,,,,,,,,,,,
F-BREAKFAST-BOX,Food,grouped,food,Food,Gift Boxes,Breakfast crate,42,,1,4,2,0.5,"Croissants, honey, apricot jam and a bag of espresso in a wooden crate. Everything for a slow Sunday morning, packed the night before it ships. The crate is a nice thing to keep.","Croissants, honey, apricot jam and a bag of espresso in a wooden crate.",0,1,,Local farms,,f-breakfast-box.webp,f-breakfast-box.webp,f-breakfast-box.webp,f-breakfast-box.webp,breakfast-crate,,,,F-CROISSANT,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F-HONEY-250-G,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F-APRICOT-JAM,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F-ESPRESSO-250-G,1,4
F-CHEESE-BOX,Food,grouped,food,Food,Gift Boxes,Cheese board crate,48,,1,4,2,0.5,"Cheddar, manchego, brie and fig jam, cut and packed cold. Four cheeses and a jam that suits them all, with tasting notes. Serves six as a course.","Cheddar, manchego, brie and fig jam, cut and packed cold.",0,1,,Local farms,,f-cheese-box.webp,f-cheese-box.webp,f-cheese-box.webp,f-cheese-box.webp,cheese-board-crate,,,,F-AGED-CHEDDAR-250-G,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F-MANCHEGO,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F-BRIE,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F-FIG-JAM,1,4
