sku,_attribute_set,_type,_product_websites,_root_category,_category,name,price,special_price,status,visibility,tax_class_id,weight,description,short_description,qty,is_in_stock,age_range,size,color,material,_media_image,image,small_image,thumbnail,url_key,_super_products_sku,_super_attribute_code,_super_attribute_option,_associated_sku,_associated_default_qty,_associated_position
K-CAR-SET,Kids,simple,kids,Kids,Toys,"Wooden cars, set of 3",22,,1,4,2,0.5,"Three small cars in maple with rubber wheels. Small enough for a pocket, quiet enough for a wooden floor. From eighteen months.",Three small cars in maple with rubber wheels.,58,1,1 to 3,,Blue,Oak,k-car-set.webp,k-car-set.webp,k-car-set.webp,k-car-set.webp,wooden-cars-set-of-3,,,,,,
K-MARBLE-RUN,Kids,simple,kids,Kids,Toys,Marble run,55,,1,4,2,0.5,"A 40-piece wooden marble run with glass marbles. The pieces stack in any order, so every run is different. From four years.",A 40-piece wooden marble run with glass marbles.,11,1,5 to 8,,Oatmeal,Oak,k-marble-run.webp,k-marble-run.webp,k-marble-run.webp,k-marble-run.webp,marble-run,,,,,,
K-CRAFT-KIT,Kids,simple,kids,Kids,Toys,Craft box,26,,1,4,2,0.5,"Paper, wool, glue and thirty ideas. Enough material for thirty afternoons, with the ideas on cards. From four years.","Paper, wool, glue and thirty ideas.",37,1,5 to 8,,Yellow,Cotton,k-craft-kit.webp,k-craft-kit.webp,k-craft-kit.webp,k-craft-kit.webp,craft-box,,,,,,
K-BOARD-GAME,Kids,simple,kids,Kids,Toys,Forest board game,30,,1,4,2,0.5,"A cooperative game for ages five and up, twenty minutes a round. Players work together to get the animals home before nightfall. Two to four players.","A cooperative game for ages five and up, twenty minutes a round.",34,1,5 to 8,,Green,Oak,k-board-game.webp,k-board-game.webp,k-board-game.webp,k-board-game.webp,forest-board-game,,,,,,
K-BODYSUIT-WHITE,Kids,simple,kids,Kids,,"Bodysuits, 3 pack White",28,,1,1,2,0.5,"Three long-sleeve bodysuits in organic cotton with envelope necks. Poppers at the crotch, an envelope neck for easy changes. From newborn to twenty-four months.",Three long-sleeve bodysuits in organic cotton with envelope necks.,50,1,0 to 1,,White,Cotton,k-bodysuit-white.webp,k-bodysuit-white.webp,k-bodysuit-white.webp,k-bodysuit-white.webp,bodysuits-3-pack-white,,,,,,
K-BODYSUIT-OATMEAL,Kids,simple,kids,Kids,,"Bodysuits, 3 pack Oatmeal",28,,1,1,2,0.5,"Three long-sleeve bodysuits in organic cotton with envelope necks. Poppers at the crotch, an envelope neck for easy changes. From newborn to twenty-four months.",Three long-sleeve bodysuits in organic cotton with envelope necks.,35,1,0 to 1,,Oatmeal,Cotton,k-bodysuit-oatmeal.webp,k-bodysuit-oatmeal.webp,k-bodysuit-oatmeal.webp,k-bodysuit-oatmeal.webp,bodysuits-3-pack-oatmeal,,,,,,
K-BODYSUIT-PINK,Kids,simple,kids,Kids,,"Bodysuits, 3 pack Pink",28,,1,1,2,0.5,"Three long-sleeve bodysuits in organic cotton with envelope necks. Poppers at the crotch, an envelope neck for easy changes. From newborn to twenty-four months.",Three long-sleeve bodysuits in organic cotton with envelope necks.,21,1,0 to 1,,Pink,Cotton,k-bodysuit-pink.webp,k-bodysuit-pink.webp,k-bodysuit-pink.webp,k-bodysuit-pink.webp,bodysuits-3-pack-pink,,,,,,
K-BODYSUIT,Kids,configurable,kids,Kids,Clothing,"Bodysuits, 3 pack",28,,1,4,2,0.5,"Three long-sleeve bodysuits in organic cotton with envelope necks. Poppers at the crotch, an envelope neck for easy changes. From newborn to twenty-four months.",Three long-sleeve bodysuits in organic cotton with envelope necks.,0,1,0 to 1,,,Cotton,k-bodysuit-white.webp,k-bodysuit-white.webp,k-bodysuit-white.webp,k-bodysuit-white.webp,bodysuits-3-pack,K-BODYSUIT-WHITE,color,White,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,K-BODYSUIT-OATMEAL,color,Oatmeal,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,K-BODYSUIT-PINK,color,Pink,,,
K-SLEEPSUIT-62,Kids,simple,kids,Kids,,Sleepsuit 62,22,,1,1,2,0.5,"A footed sleepsuit with a two-way zip. The zip runs from the foot, so a night change does not wake the top half. From newborn to two years.",A footed sleepsuit with a two-way zip.,20,1,0 to 1,62,Blue Light,Cotton,k-sleepsuit.webp,k-sleepsuit.webp,k-sleepsuit.webp,k-sleepsuit.webp,sleepsuit-62,,,,,,
K-SLEEPSUIT-68,Kids,simple,kids,Kids,,Sleepsuit 68,22,,1,1,2,0.5,"A footed sleepsuit with a two-way zip. The zip runs from the foot, so a night change does not wake the top half. From newborn to two years.",A footed sleepsuit with a two-way zip.,29,1,0 to 1,68,Blue Light,Cotton,k-sleepsuit.webp,k-sleepsuit.webp,k-sleepsuit.webp,k-sleepsuit.webp,sleepsuit-68,,,,,,
K-SLEEPSUIT-74,Kids,simple,kids,Kids,,Sleepsuit 74,22,,1,1,2,0.5,"A footed sleepsuit with a two-way zip. The zip runs from the foot, so a night change does not wake the top half. From newborn to two years.",A footed sleepsuit with a two-way zip.,42,1,0 to 1,74,Blue Light,Cotton,k-sleepsuit.webp,k-sleepsuit.webp,k-sleepsuit.webp,k-sleepsuit.webp,sleepsuit-74,,,,,,
K-SLEEPSUIT-80,Kids,simple,kids,Kids,,Sleepsuit 80,22,,1,1,2,0.5,"A footed sleepsuit with a two-way zip. The zip runs from the foot, so a night change does not wake the top half. From newborn to two years.",A footed sleepsuit with a two-way zip.,41,1,0 to 1,80,Blue Light,Cotton,k-sleepsuit.webp,k-sleepsuit.webp,k-sleepsuit.webp,k-sleepsuit.webp,sleepsuit-80,,,,,,
K-SLEEPSUIT,Kids,configurable,kids,Kids,Clothing,Sleepsuit,22,,1,4,2,0.5,"A footed sleepsuit with a two-way zip. The zip runs from the foot, so a night change does not wake the top half. From newborn to two years.",A footed sleepsuit with a two-way zip.,0,1,0 to 1,,Blue Light,Cotton,k-sleepsuit.webp,k-sleepsuit.webp,k-sleepsuit.webp,k-sleepsuit.webp,sleepsuit,K-SLEEPSUIT-62,size,62,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,K-SLEEPSUIT-68,size,68,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,K-SLEEPSUIT-74,size,74,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,K-SLEEPSUIT-80,size,80,,,
K-LEGGINGS-GREY,Kids,simple,kids,Kids,,"Leggings, 2 pack Grey",20,,1,1,2,0.5,Two pairs of soft leggings with a wide waistband. Soft organic cotton with a little stretch and no labels inside. From six months to six years.,Two pairs of soft leggings with a wide waistband.,38,1,1 to 3,,Grey,Cotton,k-leggings-grey.webp,k-leggings-grey.webp,k-leggings-grey.webp,k-leggings-grey.webp,leggings-2-pack-grey,,,,,,
K-LEGGINGS-GREEN,Kids,simple,kids,Kids,,"Leggings, 2 pack Green",20,,1,1,2,0.5,Two pairs of soft leggings with a wide waistband. Soft organic cotton with a little stretch and no labels inside. From six months to six years.,Two pairs of soft leggings with a wide waistband.,19,1,1 to 3,,Green,Cotton,k-leggings-green.webp,k-leggings-green.webp,k-leggings-green.webp,k-leggings-green.webp,leggings-2-pack-green,,,,,,
K-LEGGINGS-SALMON,Kids,simple,kids,Kids,,"Leggings, 2 pack Salmon",20,,1,1,2,0.5,Two pairs of soft leggings with a wide waistband. Soft organic cotton with a little stretch and no labels inside. From six months to six years.,Two pairs of soft leggings with a wide waistband.,56,1,1 to 3,,Salmon,Cotton,k-leggings-salmon.webp,k-leggings-salmon.webp,k-leggings-salmon.webp,k-leggings-salmon.webp,leggings-2-pack-salmon,,,,,,
K-LEGGINGS,Kids,configurable,kids,Kids,Clothing,"Leggings, 2 pack",20,,1,4,2,0.5,Two pairs of soft leggings with a wide waistband. Soft organic cotton with a little stretch and no labels inside. From six months to six years.,Two pairs of soft leggings with a wide waistband.,0,1,1 to 3,,,Cotton,k-leggings-grey.webp,k-leggings-grey.webp,k-leggings-grey.webp,k-leggings-grey.webp,leggings-2-pack,K-LEGGINGS-GREY,color,Grey,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,K-LEGGINGS-GREEN,color,Green,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,K-LEGGINGS-SALMON,color,Salmon,,,
K-TEE-BLUE,Kids,simple,kids,Kids,,Striped tee Blue,15,,1,1,2,0.5,A breton stripe tee in organic cotton. A boat neck that goes over the head without a fight. From six months to eight years.,A breton stripe tee in organic cotton.,36,1,3 to 5,,Blue,Cotton,k-tee-blue.webp,k-tee-blue.webp,k-tee-blue.webp,k-tee-blue.webp,striped-tee-blue,,,,,,
K-TEE-RED,Kids,simple,kids,Kids,,Striped tee Red,15,,1,1,2,0.5,A breton stripe tee in organic cotton. A boat neck that goes over the head without a fight. From six months to eight years.,A breton stripe tee in organic cotton.,28,1,3 to 5,,Red,Cotton,k-tee-red.webp,k-tee-red.webp,k-tee-red.webp,k-tee-red.webp,striped-tee-red,,,,,,
K-TEE-GREEN,Kids,simple,kids,Kids,,Striped tee Green,15,,1,1,2,0.5,A breton stripe tee in organic cotton. A boat neck that goes over the head without a fight. From six months to eight years.,A breton stripe tee in organic cotton.,45,1,3 to 5,,Green,Cotton,k-tee-green.webp,k-tee-green.webp,k-tee-green.webp,k-tee-green.webp,striped-tee-green,,,,,,
K-TEE,Kids,configurable,kids,Kids,Clothing,Striped tee,15,,1,4,2,0.5,A breton stripe tee in organic cotton. A boat neck that goes over the head without a fight. From six months to eight years.,A breton stripe tee in organic cotton.,0,1,3 to 5,,,Cotton,k-tee-blue.webp,k-tee-blue.webp,k-tee-blue.webp,k-tee-blue.webp,striped-tee,K-TEE-BLUE,color,Blue,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,K-TEE-RED,color,Red,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,K-TEE-GREEN,color,Green,,,
K-DUNGAREES-BROWN,Kids,simple,kids,Kids,,Cord dungarees Brown,38,,1,1,2,0.5,"Corduroy dungarees with adjustable straps and knee patches. Poppers at the legs for the first year, buttons on the straps later. From six months to five years.",Corduroy dungarees with adjustable straps and knee patches.,47,1,1 to 3,,Brown,Cotton,k-dungarees-brown.webp,k-dungarees-brown.webp,k-dungarees-brown.webp,k-dungarees-brown.webp,cord-dungarees-brown,,,,,,
K-DUNGAREES-GREEN,Kids,simple,kids,Kids,,Cord dungarees Green,38,,1,1,2,0.5,"Corduroy dungarees with adjustable straps and knee patches. Poppers at the legs for the first year, buttons on the straps later. From six months to five years.",Corduroy dungarees with adjustable straps and knee patches.,36,1,1 to 3,,Green,Cotton,k-dungarees-green.webp,k-dungarees-green.webp,k-dungarees-green.webp,k-dungarees-green.webp,cord-dungarees-green,,,,,,
K-DUNGAREES-BLUE-DARK,Kids,simple,kids,Kids,,Cord dungarees Blue Dark,38,,1,1,2,0.5,"Corduroy dungarees with adjustable straps and knee patches. Poppers at the legs for the first year, buttons on the straps later. From six months to five years.",Corduroy dungarees with adjustable straps and knee patches.,48,1,1 to 3,,Blue Dark,Cotton,k-dungarees-blue-dark.webp,k-dungarees-blue-dark.webp,k-dungarees-blue-dark.webp,k-dungarees-blue-dark.webp,cord-dungarees-blue-dark,,,,,,
K-DUNGAREES,Kids,configurable,kids,Kids,Clothing,Cord dungarees,38,,1,4,2,0.5,"Corduroy dungarees with adjustable straps and knee patches. Poppers at the legs for the first year, buttons on the straps later. From six months to five years.",Corduroy dungarees with adjustable straps and knee patches.,0,1,1 to 3,,,Cotton,k-dungarees-brown.webp,k-dungarees-brown.webp,k-dungarees-brown.webp,k-dungarees-brown.webp,cord-dungarees,K-DUNGAREES-BROWN,color,Brown,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,K-DUNGAREES-GREEN,color,Green,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,K-DUNGAREES-BLUE-DARK,color,Blue Dark,,,
K-CARDIGAN-OATMEAL,Kids,simple,kids,Kids,,Knit cardigan Oatmeal,34,,1,1,2,0.5,A merino cardigan with wooden buttons. Soft merino that washes at thirty degrees. From newborn to six years.,A merino cardigan with wooden buttons.,59,1,1 to 3,,Oatmeal,Wool,k-cardigan-oatmeal.webp,k-cardigan-oatmeal.webp,k-cardigan-oatmeal.webp,k-cardigan-oatmeal.webp,knit-cardigan-oatmeal,,,,,,
K-CARDIGAN-GREEN,Kids,simple,kids,Kids,,Knit cardigan Green,34,,1,1,2,0.5,A merino cardigan with wooden buttons. Soft merino that washes at thirty degrees. From newborn to six years.,A merino cardigan with wooden buttons.,23,1,1 to 3,,Green,Wool,k-cardigan-green.webp,k-cardigan-green.webp,k-cardigan-green.webp,k-cardigan-green.webp,knit-cardigan-green,,,,,,
K-CARDIGAN-PINK,Kids,simple,kids,Kids,,Knit cardigan Pink,34,,1,1,2,0.5,A merino cardigan with wooden buttons. Soft merino that washes at thirty degrees. From newborn to six years.,A merino cardigan with wooden buttons.,37,1,1 to 3,,Pink,Wool,k-cardigan-pink.webp,k-cardigan-pink.webp,k-cardigan-pink.webp,k-cardigan-pink.webp,knit-cardigan-pink,,,,,,
K-CARDIGAN,Kids,configurable,kids,Kids,Clothing,Knit cardigan,34,,1,4,2,0.5,A merino cardigan with wooden buttons. Soft merino that washes at thirty degrees. From newborn to six years.,A merino cardigan with wooden buttons.,0,1,1 to 3,,,Wool,k-cardigan-oatmeal.webp,k-cardigan-oatmeal.webp,k-cardigan-oatmeal.webp,k-cardigan-oatmeal.webp,knit-cardigan,K-CARDIGAN-OATMEAL,color,Oatmeal,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,K-CARDIGAN-GREEN,color,Green,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,K-CARDIGAN-PINK,color,Pink,,,
K-DRESS-86,Kids,simple,kids,Kids,,Cotton dress 86,30,,1,1,2,0.5,A pinafore dress in printed organic cotton. A pinafore that layers over a tee in winter and stands alone in summer. From one to eight years.,A pinafore dress in printed organic cotton.,48,1,3 to 5,86,Yellow,Cotton,k-dress.webp,k-dress.webp,k-dress.webp,k-dress.webp,cotton-dress-86,,,,,,
K-DRESS-92,Kids,simple,kids,Kids,,Cotton dress 92,30,,1,1,2,0.5,A pinafore dress in printed organic cotton. A pinafore that layers over a tee in winter and stands alone in summer. From one to eight years.,A pinafore dress in printed organic cotton.,57,1,3 to 5,92,Yellow,Cotton,k-dress.webp,k-dress.webp,k-dress.webp,k-dress.webp,cotton-dress-92,,,,,,
K-DRESS-98,Kids,simple,kids,Kids,,Cotton dress 98,30,,1,1,2,0.5,A pinafore dress in printed organic cotton. A pinafore that layers over a tee in winter and stands alone in summer. From one to eight years.,A pinafore dress in printed organic cotton.,28,1,3 to 5,98,Yellow,Cotton,k-dress.webp,k-dress.webp,k-dress.webp,k-dress.webp,cotton-dress-98,,,,,,
K-DRESS-104,Kids,simple,kids,Kids,,Cotton dress 104,30,,1,1,2,0.5,A pinafore dress in printed organic cotton. A pinafore that layers over a tee in winter and stands alone in summer. From one to eight years.,A pinafore dress in printed organic cotton.,26,1,3 to 5,104,Yellow,Cotton,k-dress.webp,k-dress.webp,k-dress.webp,k-dress.webp,cotton-dress-104,,,,,,
K-DRESS,Kids,configurable,kids,Kids,Clothing,Cotton dress,30,,1,4,2,0.5,A pinafore dress in printed organic cotton. A pinafore that layers over a tee in winter and stands alone in summer. From one to eight years.,A pinafore dress in printed organic cotton.,0,1,3 to 5,,Yellow,Cotton,k-dress.webp,k-dress.webp,k-dress.webp,k-dress.webp,cotton-dress,K-DRESS-86,size,86,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,K-DRESS-92,size,92,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,K-DRESS-98,size,98,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,K-DRESS-104,size,104,,,
K-HOODIE-GREY,Kids,simple,kids,Kids,,Hoodie Grey,32,,1,1,2,0.5,"A brushed cotton hoodie with a kangaroo pocket. Brushed inside, with a hood that stays up. From two to ten years.",A brushed cotton hoodie with a kangaroo pocket.,27,1,5 to 8,,Grey,Cotton,k-hoodie-grey.webp,k-hoodie-grey.webp,k-hoodie-grey.webp,k-hoodie-grey.webp,hoodie-grey,,,,,,
K-HOODIE-BLUE-DARK,Kids,simple,kids,Kids,,Hoodie Blue Dark,32,,1,1,2,0.5,"A brushed cotton hoodie with a kangaroo pocket. Brushed inside, with a hood that stays up. From two to ten years.",A brushed cotton hoodie with a kangaroo pocket.,57,1,5 to 8,,Blue Dark,Cotton,k-hoodie-blue-dark.webp,k-hoodie-blue-dark.webp,k-hoodie-blue-dark.webp,k-hoodie-blue-dark.webp,hoodie-blue-dark,,,,,,
K-HOODIE-ORANGE,Kids,simple,kids,Kids,,Hoodie Orange,32,,1,1,2,0.5,"A brushed cotton hoodie with a kangaroo pocket. Brushed inside, with a hood that stays up. From two to ten years.",A brushed cotton hoodie with a kangaroo pocket.,9,1,5 to 8,,Orange,Cotton,k-hoodie-orange.webp,k-hoodie-orange.webp,k-hoodie-orange.webp,k-hoodie-orange.webp,hoodie-orange,,,,,,
K-HOODIE,Kids,configurable,kids,Kids,Clothing,Hoodie,32,,1,4,2,0.5,"A brushed cotton hoodie with a kangaroo pocket. Brushed inside, with a hood that stays up. From two to ten years.",A brushed cotton hoodie with a kangaroo pocket.,0,1,5 to 8,,,Cotton,k-hoodie-grey.webp,k-hoodie-grey.webp,k-hoodie-grey.webp,k-hoodie-grey.webp,hoodie,K-HOODIE-GREY,color,Grey,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,K-HOODIE-BLUE-DARK,color,Blue Dark,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,K-HOODIE-ORANGE,color,Orange,,,
K-JEANS-110,Kids,simple,kids,Kids,,Soft jeans 110,28,,1,1,2,0.5,"Stretch denim with an elastic waist and no scratchy seams. Stretchy enough to climb in, soft enough to sleep in. From two to ten years.",Stretch denim with an elastic waist and no scratchy seams.,30,1,5 to 8,110,Blue Jean,Denim,k-jeans.webp,k-jeans.webp,k-jeans.webp,k-jeans.webp,soft-jeans-110,,,,,,
K-JEANS-116,Kids,simple,kids,Kids,,Soft jeans 116,28,,1,1,2,0.5,"Stretch denim with an elastic waist and no scratchy seams. Stretchy enough to climb in, soft enough to sleep in. From two to ten years.",Stretch denim with an elastic waist and no scratchy seams.,39,1,5 to 8,116,Blue Jean,Denim,k-jeans.webp,k-jeans.webp,k-jeans.webp,k-jeans.webp,soft-jeans-116,,,,,,
K-JEANS-122,Kids,simple,kids,Kids,,Soft jeans 122,28,,1,1,2,0.5,"Stretch denim with an elastic waist and no scratchy seams. Stretchy enough to climb in, soft enough to sleep in. From two to ten years.",Stretch denim with an elastic waist and no scratchy seams.,40,1,5 to 8,122,Blue Jean,Denim,k-jeans.webp,k-jeans.webp,k-jeans.webp,k-jeans.webp,soft-jeans-122,,,,,,
K-JEANS-128,Kids,simple,kids,Kids,,Soft jeans 128,28,,1,1,2,0.5,"Stretch denim with an elastic waist and no scratchy seams. Stretchy enough to climb in, soft enough to sleep in. From two to ten years.",Stretch denim with an elastic waist and no scratchy seams.,49,1,5 to 8,128,Blue Jean,Denim,k-jeans.webp,k-jeans.webp,k-jeans.webp,k-jeans.webp,soft-jeans-128,,,,,,
K-JEANS,Kids,configurable,kids,Kids,Clothing,Soft jeans,28,,1,4,2,0.5,"Stretch denim with an elastic waist and no scratchy seams. Stretchy enough to climb in, soft enough to sleep in. From two to ten years.",Stretch denim with an elastic waist and no scratchy seams.,0,1,5 to 8,,Blue Jean,Denim,k-jeans.webp,k-jeans.webp,k-jeans.webp,k-jeans.webp,soft-jeans,K-JEANS-110,size,110,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,K-JEANS-116,size,116,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,K-JEANS-122,size,122,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,K-JEANS-128,size,128,,,
K-SOCKS-19,Kids,simple,kids,Kids,,"Socks, 5 pack 19",14,,1,1,2,0.5,Five pairs in soft cotton with a grip sole. A grip sole for wooden floors and a cuff that stays up. From six months to six years.,Five pairs in soft cotton with a grip sole.,54,1,1 to 3,19,Blue,Cotton,k-socks.webp,k-socks.webp,k-socks.webp,k-socks.webp,socks-5-pack-19,,,,,,
K-SOCKS-23,Kids,simple,kids,Kids,,"Socks, 5 pack 23",14,,1,1,2,0.5,Five pairs in soft cotton with a grip sole. A grip sole for wooden floors and a cuff that stays up. From six months to six years.,Five pairs in soft cotton with a grip sole.,22,1,1 to 3,23,Blue,Cotton,k-socks.webp,k-socks.webp,k-socks.webp,k-socks.webp,socks-5-pack-23,,,,,,
K-SOCKS-27,Kids,simple,kids,Kids,,"Socks, 5 pack 27",14,,1,1,2,0.5,Five pairs in soft cotton with a grip sole. A grip sole for wooden floors and a cuff that stays up. From six months to six years.,Five pairs in soft cotton with a grip sole.,33,1,1 to 3,27,Blue,Cotton,k-socks.webp,k-socks.webp,k-socks.webp,k-socks.webp,socks-5-pack-27,,,,,,
K-SOCKS-31,Kids,simple,kids,Kids,,"Socks, 5 pack 31",14,,1,1,2,0.5,Five pairs in soft cotton with a grip sole. A grip sole for wooden floors and a cuff that stays up. From six months to six years.,Five pairs in soft cotton with a grip sole.,12,1,1 to 3,31,Blue,Cotton,k-socks.webp,k-socks.webp,k-socks.webp,k-socks.webp,socks-5-pack-31,,,,,,
K-SOCKS,Kids,configurable,kids,Kids,Clothing,"Socks, 5 pack",14,,1,4,2,0.5,Five pairs in soft cotton with a grip sole. A grip sole for wooden floors and a cuff that stays up. From six months to six years.,Five pairs in soft cotton with a grip sole.,0,1,1 to 3,,Blue,Cotton,k-socks.webp,k-socks.webp,k-socks.webp,k-socks.webp,socks-5-pack,K-SOCKS-19,size,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,K-SOCKS-23,size,23,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,K-SOCKS-27,size,27,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,K-SOCKS-31,size,31,,,
K-HAT-OATMEAL,Kids,simple,kids,Kids,,Sun hat Oatmeal,16,,1,1,2,0.5,A wide-brim cotton sun hat with a chin strap. The brim shades the neck and the strap keeps the wind from taking it. From six months to six years.,A wide-brim cotton sun hat with a chin strap.,27,1,1 to 3,,Oatmeal,Cotton,k-hat-oatmeal.webp,k-hat-oatmeal.webp,k-hat-oatmeal.webp,k-hat-oatmeal.webp,sun-hat-oatmeal,,,,,,
