root,path,store_code,name,is_active,include_in_menu,is_anchor,position,display_mode,landing_page,image,description,meta_title,meta_description
Default Category,fashion/accessories/jewelry,,Jewelry,1,1,1,2,PRODUCTS,,,,,
Default Category,fashion/accessories/jewelry,default-fr,Bijoux,,,,,,,,,,
Default Category,fashion/accessories/jewelry,default-de,Schmuck,,,,,,,,,,
Default Category,fashion/accessories/jewelry,default-it,Gioielli,,,,,,,,,,
Default Category,fashion/accessories/shoes,,Shoes,1,1,1,3,PRODUCTS,,,,,
Default Category,fashion/accessories/shoes,default-fr,Chaussures,,,,,,,,,,
Default Category,fashion/accessories/shoes,default-de,Schuhe,,,,,,,,,,
Default Category,fashion/accessories/shoes,default-it,Scarpe,,,,,,,,,,
Default Category,fashion/accessories/bags-luggage,,Bags & Luggage,1,1,1,4,PRODUCTS,,,,,
Default Category,fashion/accessories/bags-luggage,default-fr,Sacs et bagages,,,,,,,,,,
Default Category,fashion/accessories/bags-luggage,default-de,Taschen und Gepäck,,,,,,,,,,
Default Category,fashion/accessories/bags-luggage,default-it,Borse e valigie,,,,,,,,,,
Default Category,fashion/sale,,Sale,1,1,1,6,PRODUCTS,,,,,
Default Category,fashion/sale,default-fr,Soldes,,,,,,,,,,
Default Category,fashion/sale,default-it,Saldi,,,,,,,,,,
Default Category,electronics,,Electronics,1,1,1,2,PRODUCTS,,store-electronics.webp,"Audio, computing, cameras and smart home gear, tested by people who use it.",,
Default Category,electronics,default-fr,Électronique,,,,,,,,"Audio, informatique, photo et maison connectée, testés par ceux qui s'en servent.",,
Default Category,electronics,default-de,Elektronik,,,,,,,,"Audio, Computer, Kameras und Smart Home, getestet von Menschen, die es benutzen.",,
Default Category,electronics,default-it,Elettronica,,,,,,,,"Audio, informatica, fotografia e casa connessa, provati da chi li usa.",,
Default Category,electronics/audio,,Audio,1,1,1,1,PRODUCTS,,,,,
Default Category,electronics/computing,,Computing,1,1,1,2,PRODUCTS,,,,,
Default Category,electronics/computing,default-fr,Informatique,,,,,,,,,,
Default Category,electronics/computing,default-de,Computer,,,,,,,,,,
Default Category,electronics/computing,default-it,Informatica,,,,,,,,,,
Default Category,electronics/cameras,,Cameras,1,1,1,3,PRODUCTS,,,,,
Default Category,electronics/cameras,default-fr,Photo,,,,,,,,,,
Default Category,electronics/cameras,default-de,Kameras,,,,,,,,,,
Default Category,electronics/cameras,default-it,Fotografia,,,,,,,,,,
Default Category,electronics/smart-home,,Smart Home,1,1,1,4,PRODUCTS,,,,,
Default Category,electronics/smart-home,default-fr,Maison connectée,,,,,,,,,,
Default Category,electronics/smart-home,default-it,Casa connessa,,,,,,,,,,
Default Category,electronics/wearables,,Wearables,1,1,1,5,PRODUCTS,,,,,
Default Category,electronics/wearables,default-fr,Objets connectés,,,,,,,,,,
Default Category,electronics/wearables,default-it,Indossabili,,,,,,,,,,
Default Category,electronics/accessories,,Accessories,1,1,1,6,PRODUCTS,,,,,
Default Category,electronics/accessories,default-fr,Accessoires,,,,,,,,,,
Default Category,electronics/accessories,default-de,Accessoires,,,,,,,,,,
Default Category,electronics/accessories,default-it,Accessori,,,,,,,,,,
Default Category,food,,Food,1,1,1,3,PRODUCTS,,store-food.webp,Small-batch food from farms and makers we know by name.,,
Default Category,food,default-fr,Épicerie,,,,,,,,"Des produits en petites quantités, de fermes et d'artisans que nous connaissons par leur nom.",,
Default Category,food,default-de,Lebensmittel,,,,,,,,"Lebensmittel in kleinen Mengen, von Höfen und Herstellern, die wir beim Namen kennen.",,
Default Category,food,default-it,Alimentari,,,,,,,,"Cibo in piccole quantità, da fattorie e artigiani che conosciamo per nome.",,
Default Category,food/pantry,,Pantry,1,1,1,1,PRODUCTS,,,,,
Default Category,food/pantry,default-fr,Garde-manger,,,,,,,,,,
Default Category,food/pantry,default-de,Vorrat,,,,,,,,,,
Default Category,food/pantry,default-it,Dispensa,,,,,,,,,,
Default Category,food/bakery,,Bakery,1,1,1,2,PRODUCTS,,,,,
Default Category,food/bakery,default-fr,Boulangerie,,,,,,,,,,
Default Category,food/bakery,default-de,Bäckerei,,,,,,,,,,
Default Category,food/bakery,default-it,Panetteria,,,,,,,,,,
Default Category,food/cheese-charcuterie,,Cheese & Charcuterie,1,1,1,3,PRODUCTS,,,,,
Default Category,food/cheese-charcuterie,default-fr,Fromages et charcuterie,,,,,,,,,,
Default Category,food/cheese-charcuterie,default-de,Käse und Wurst,,,,,,,,,,
Default Category,food/cheese-charcuterie,default-it,Formaggi e salumi,,,,,,,,,,
Default Category,food/coffee-tea,,Coffee & Tea,1,1,1,4,PRODUCTS,,,,,
Default Category,food/coffee-tea,default-fr,Café et thé,,,,,,,,,,
Default Category,food/coffee-tea,default-de,Kaffee und Tee,,,,,,,,,,
Default Category,food/coffee-tea,default-it,Caffè e tè,,,,,,,,,,
Default Category,food/drinks,,Drinks,1,1,1,5,PRODUCTS,,,,,
Default Category,food/drinks,default-fr,Boissons,,,,,,,,,,
Default Category,food/drinks,default-de,Getränke,,,,,,,,,,
Default Category,food/drinks,default-it,Bevande,,,,,,,,,,
Default Category,food/gift-boxes,,Gift Boxes,1,1,1,6,PRODUCTS,,,,,
Default Category,food/gift-boxes,default-fr,Coffrets cadeaux,,,,,,,,,,
Default Category,food/gift-boxes,default-de,Geschenkboxen,,,,,,,,,,
Default Category,food/gift-boxes,default-it,Confezioni regalo,,,,,,,,,,
Default Category,books,,Books,1,1,1,4,PRODUCTS,,store-books.webp,An independent bookshop with a short shelf and long opinions.,,
Default Category,books,default-fr,Livres,,,,,,,,"Une librairie indépendante, peu de rayons et beaucoup d'avis.",,
Default Category,books,default-de,Bücher,,,,,,,,Eine unabhängige Buchhandlung mit kurzem Regal und langen Meinungen.,,
Default Category,books,default-it,Libri,,,,,,,,"Una libreria indipendente, con pochi scaffali e molte opinioni.",,
Default Category,books/fiction,,Fiction,1,1,1,1,PRODUCTS,,,,,
Default Category,books/fiction,default-fr,Romans,,,,,,,,,,
Default Category,books/fiction,default-de,Belletristik,,,,,,,,,,
Default Category,books/fiction,default-it,Narrativa,,,,,,,,,,
Default Category,books/crime,,Crime & Thrillers,1,1,1,2,PRODUCTS,,,,,
Default Category,books/crime,default-fr,Policiers et thrillers,,,,,,,,,,
Default Category,books/crime,default-de,Krimis und Thriller,,,,,,,,,,
Default Category,books/crime,default-it,Gialli e thriller,,,,,,,,,,
Default Category,books/science,,Science & Nature,1,1,1,3,PRODUCTS,,,,,
Default Category,books/science,default-fr,Science et nature,,,,,,,,,,
Default Category,books/science,default-de,Wissenschaft und Natur,,,,,,,,,,
Default Category,books/science,default-it,Scienza e natura,,,,,,,,,,
Default Category,books/history,,History,1,1,1,4,PRODUCTS,,,,,
Default Category,books/history,default-fr,Histoire,,,,,,,,,,
Default Category,books/history,default-de,Geschichte,,,,,,,,,,
Default Category,books/history,default-it,Storia,,,,,,,,,,
Default Category,books/cooking,,Cooking,1,1,1,5,PRODUCTS,,,,,
Default Category,books/cooking,default-fr,Cuisine,,,,,,,,,,
Default Category,books/cooking,default-de,Kochen,,,,,,,,,,
Default Category,books/cooking,default-it,Cucina,,,,,,,,,,
Default Category,books/children,,Children,1,1,1,6,PRODUCTS,,,,,
Default Category,books/children,default-fr,Enfants,,,,,,,,,,
Default Category,books/children,default-de,Kinder,,,,,,,,,,
Default Category,books/children,default-it,Bambini,,,,,,,,,,
Default Category,jewelry,,Jewelry,1,1,1,5,PRODUCTS,,store-jewelry.webp,"Fine and everyday jewelry, made in a small workshop from recycled metals.",,
Default Category,jewelry,default-fr,Bijoux,,,,,,,,"Des bijoux fins et de tous les jours, faits dans un petit atelier avec des métaux recyclés.",,
Default Category,jewelry,default-de,Schmuck,,,,,,,,"Feiner und alltäglicher Schmuck, in einer kleinen Werkstatt aus recycelten Metallen gefertigt.",,
Default Category,jewelry,default-it,Gioielli,,,,,,,,"Gioielli fini e di tutti i giorni, fatti in un piccolo laboratorio con metalli riciclati.",,
Default Category,jewelry/rings,,Rings,1,1,1,1,PRODUCTS,,,,,
Default Category,jewelry/rings,default-fr,Bagues,,,,,,,,,,
Default Category,jewelry/rings,default-de,Ringe,,,,,,,,,,
Default Category,jewelry/rings,default-it,Anelli,,,,,,,,,,
Default Category,jewelry/necklaces,,Necklaces,1,1,1,2,PRODUCTS,,,,,
Default Category,jewelry/necklaces,default-fr,Colliers,,,,,,,,,,
Default Category,jewelry/necklaces,default-de,Ketten,,,,,,,,,,
Default Category,jewelry/necklaces,default-it,Collane,,,,,,,,,,
Default Category,jewelry/earrings,,Earrings,1,1,1,3,PRODUCTS,,,,,
Default Category,jewelry/earrings,default-fr,Boucles d'oreilles,,,,,,,,,,
Default Category,jewelry/earrings,default-de,Ohrringe,,,,,,,,,,
Default Category,jewelry/earrings,default-it,Orecchini,,,,,,,,,,
Default Category,jewelry/bracelets,,Bracelets,1,1,1,4,PRODUCTS,,,,,
Default Category,jewelry/bracelets,default-de,Armbänder,,,,,,,,,,
Default Category,jewelry/bracelets,default-it,Bracciali,,,,,,,,,,
Default Category,jewelry/engagement,,Engagement,1,1,1,5,PRODUCTS,,,,,
Default Category,jewelry/engagement,default-fr,Fiançailles,,,,,,,,,,
Default Category,jewelry/engagement,default-de,Verlobung,,,,,,,,,,
Default Category,jewelry/engagement,default-it,Fidanzamento,,,,,,,,,,
Default Category,jewelry/gifts,,Gifts,1,1,1,6,PRODUCTS,,,,,
Default Category,jewelry/gifts,default-fr,Cadeaux,,,,,,,,,,
Default Category,jewelry/gifts,default-de,Geschenke,,,,,,,,,,
Default Category,jewelry/gifts,default-it,Regali,,,,,,,,,,
Default Category,beauty,,Beauty,1,1,1,6,PRODUCTS,,store-beauty.webp,"Skincare, body care and fragrance made in small batches with short ingredient lists.",,
Default Category,beauty,default-fr,Beauté,,,,,,,,"Soins du visage, soins du corps et parfums, en petites séries et avec peu d'ingrédients.",,
Default Category,beauty,default-de,Beauty,,,,,,,,"Gesichtspflege, Körperpflege und Duft, in kleinen Mengen und mit kurzen Zutatenlisten.",,
Default Category,beauty,default-it,Bellezza,,,,,,,,"Cura del viso, cura del corpo e profumi, in piccole serie e con pochi ingredienti.",,
Default Category,beauty/cleansers,,Cleansers,1,1,1,1,PRODUCTS,,,,,
Default Category,beauty/cleansers,default-fr,Nettoyants,,,,,,,,,,
Default Category,beauty/cleansers,default-de,Reinigung,,,,,,,,,,
Default Category,beauty/cleansers,default-it,Detergenti,,,,,,,,,,
Default Category,beauty/serums,,Serums,1,1,1,2,PRODUCTS,,,,,
Default Category,beauty/serums,default-fr,Sérums,,,,,,,,,,
Default Category,beauty/serums,default-de,Seren,,,,,,,,,,
Default Category,beauty/serums,default-it,Sieri,,,,,,,,,,
Default Category,beauty/moisturisers,,Moisturisers,1,1,1,3,PRODUCTS,,,,,
Default Category,beauty/moisturisers,default-fr,Hydratants,,,,,,,,,,
Default Category,beauty/moisturisers,default-de,Feuchtigkeitspflege,,,,,,,,,,
Default Category,beauty/moisturisers,default-it,Idratanti,,,,,,,,,,
Default Category,beauty/body,,Body,1,1,1,4,PRODUCTS,,,,,
Default Category,beauty/body,default-fr,Corps,,,,,,,,,,
Default Category,beauty/body,default-de,Körper,,,,,,,,,,
Default Category,beauty/body,default-it,Corpo,,,,,,,,,,
Default Category,beauty/fragrance,,Fragrance,1,1,1,5,PRODUCTS,,,,,
Default Category,beauty/fragrance,default-fr,Parfums,,,,,,,,,,
Default Category,beauty/fragrance,default-de,Duft,,,,,,,,,,
Default Category,beauty/fragrance,default-it,Profumi,,,,,,,,,,
Default Category,beauty/sets,,Sets,1,1,1,6,PRODUCTS,,,,,
Default Category,beauty/sets,default-fr,Coffrets,,,,,,,,,,
Default Category,beauty/sets,default-it,Cofanetti,,,,,,,,,,
Default Category,home,,Home,1,1,1,7,PRODUCTS,,store-home.webp,"Furniture, textiles and objects for a calm home, made by workshops we visit.",,
Default Category,home,default-fr,Maison,,,,,,,,"Meubles, textiles et objets pour une maison calme, faits par des ateliers que nous visitons.",,
Default Category,home,default-de,Wohnen,,,,,,,,"Möbel, Textilien und Objekte für ein ruhiges Zuhause, aus Werkstätten, die wir besuchen.",,
Default Category,home,default-it,Casa,,,,,,,,"Mobili, tessuti e oggetti per una casa tranquilla, da laboratori che visitiamo.",,
Default Category,home/furniture,,Furniture,1,1,1,1,PRODUCTS,,,,,
Default Category,home/furniture,default-fr,Meubles,,,,,,,,,,
Default Category,home/furniture,default-de,Möbel,,,,,,,,,,
Default Category,home/furniture,default-it,Mobili,,,,,,,,,,
Default Category,home/seating,,Seating,1,1,1,2,PRODUCTS,,,,,
Default Category,home/seating,default-fr,Assises,,,,,,,,,,
Default Category,home/seating,default-de,Sitzmöbel,,,,,,,,,,
Default Category,home/seating,default-it,Sedute,,,,,,,,,,
Default Category,home/bedding,,Bedding,1,1,1,3,PRODUCTS,,,,,
Default Category,home/bedding,default-fr,Linge de lit,,,,,,,,,,
Default Category,home/bedding,default-de,Bettwaren,,,,,,,,,,
Default Category,home/bedding,default-it,Biancheria da letto,,,,,,,,,,
Default Category,home/kitchen,,Kitchen & Dining,1,1,1,4,PRODUCTS,,,,,
Default Category,home/kitchen,default-fr,Cuisine et table,,,,,,,,,,
Default Category,home/kitchen,default-de,Küche und Esszimmer,,,,,,,,,,
Default Category,home/kitchen,default-it,Cucina e tavola,,,,,,,,,,
Default Category,home/lighting,,Lighting,1,1,1,5,PRODUCTS,,,,,
Default Category,home/lighting,default-fr,Luminaires,,,,,,,,,,
Default Category,home/lighting,default-de,Leuchten,,,,,,,,,,
Default Category,home/lighting,default-it,Illuminazione,,,,,,,,,,
Default Category,home/decor,,Decor,1,1,1,6,PRODUCTS,,,,,
Default Category,home/decor,default-fr,Décoration,,,,,,,,,,
Default Category,home/decor,default-de,Deko,,,,,,,,,,
Default Category,home/decor,default-it,Decorazioni,,,,,,,,,,
Default Category,sports,,Sports,1,1,1,8,PRODUCTS,,store-sports.webp,"Gear for running, cycling, the gym and the trail, tested by people who train.",,
Default Category,sports,default-fr,Sport,,,,,,,,"De l'équipement pour la course, le vélo, la salle et le sentier, testé par ceux qui s'entraînent.",,
Default Category,sports,default-de,Sport,,,,,,,,"Ausrüstung für Laufen, Radfahren, Studio und Trail, getestet von Menschen, die trainieren.",,
Default Category,sports,default-it,Sport,,,,,,,,"Attrezzatura per la corsa, la bici, la palestra e il sentiero, provata da chi si allena.",,
Default Category,sports/running,,Running,1,1,1,1,PRODUCTS,,,,,
Default Category,sports/running,default-fr,Course,,,,,,,,,,
Default Category,sports/running,default-de,Laufen,,,,,,,,,,
Default Category,sports/running,default-it,Corsa,,,,,,,,,,
Default Category,sports/cycling,,Cycling,1,1,1,2,PRODUCTS,,,,,
Default Category,sports/cycling,default-fr,Vélo,,,,,,,,,,
Default Category,sports/cycling,default-de,Radfahren,,,,,,,,,,
Default Category,sports/cycling,default-it,Ciclismo,,,,,,,,,,
Default Category,sports/gym,,Gym & Training,1,1,1,3,PRODUCTS,,,,,
Default Category,sports/gym,default-fr,Salle et entraînement,,,,,,,,,,
Default Category,sports/gym,default-de,Studio und Training,,,,,,,,,,
Default Category,sports/gym,default-it,Palestra e allenamento,,,,,,,,,,
Default Category,sports/yoga,,Yoga & Recovery,1,1,1,4,PRODUCTS,,,,,
Default Category,sports/yoga,default-fr,Yoga et récupération,,,,,,,,,,
Default Category,sports/yoga,default-de,Yoga und Regeneration,,,,,,,,,,
Default Category,sports/yoga,default-it,Yoga e recupero,,,,,,,,,,
Default Category,sports/hiking,,Hiking,1,1,1,5,PRODUCTS,,,,,
Default Category,sports/hiking,default-fr,Randonnée,,,,,,,,,,
Default Category,sports/hiking,default-de,Wandern,,,,,,,,,,
Default Category,sports/hiking,default-it,Escursionismo,,,,,,,,,,
Default Category,sports/swimming,,Swimming,1,1,1,6,PRODUCTS,,,,,
Default Category,sports/swimming,default-fr,Natation,,,,,,,,,,
Default Category,sports/swimming,default-de,Schwimmen,,,,,,,,,,
Default Category,sports/swimming,default-it,Nuoto,,,,,,,,,,
Default Category,kids,,Kids,1,1,1,9,PRODUCTS,,store-kids.webp,"Toys, clothes and things for small rooms, chosen to last more than one child.",,
Default Category,kids,default-fr,Enfants,,,,,,,,"Jouets, vêtements et objets pour petites chambres, choisis pour durer plus d'un enfant.",,
Default Category,kids,default-de,Kinder,,,,,,,,"Spielzeug, Kleidung und Dinge für kleine Zimmer, gewählt für mehr als ein Kind.",,
Default Category,kids,default-it,Bambini,,,,,,,,"Giochi, vestiti e oggetti per stanze piccole, scelti per durare più di un bambino.",,
Default Category,kids/toys,,Toys,1,1,1,1,PRODUCTS,,,,,
Default Category,kids/toys,default-fr,Jouets,,,,,,,,,,
Default Category,kids/toys,default-de,Spielzeug,,,,,,,,,,
Default Category,kids/toys,default-it,Giochi,,,,,,,,,,
Default Category,kids/clothing,,Clothing,1,1,1,2,PRODUCTS,,,,,
Default Category,kids/clothing,default-fr,Vêtements,,,,,,,,,,
Default Category,kids/clothing,default-de,Kleidung,,,,,,,,,,
Default Category,kids/clothing,default-it,Abbigliamento,,,,,,,,,,
Default Category,kids/books,,Books,1,1,1,3,PRODUCTS,,,,,
Default Category,kids/books,default-fr,Livres,,,,,,,,,,
Default Category,kids/books,default-de,Bücher,,,,,,,,,,
Default Category,kids/books,default-it,Libri,,,,,,,,,,
Default Category,kids/nursery,,Nursery,1,1,1,4,PRODUCTS,,,,,
Default Category,kids/nursery,default-fr,Chambre de bébé,,,,,,,,,,
Default Category,kids/nursery,default-de,Kinderzimmer,,,,,,,,,,
Default Category,kids/nursery,default-it,Cameretta,,,,,,,,,,
Default Category,kids/outdoor,,Outdoor,1,1,1,5,PRODUCTS,,,,,
Default Category,kids/outdoor,default-fr,Plein air,,,,,,,,,,
Default Category,kids/outdoor,default-de,Draußen,,,,,,,,,,
Default Category,kids/outdoor,default-it,All'aperto,,,,,,,,,,
Default Category,kids/gifts,,Gifts,1,1,1,6,PRODUCTS,,,,,
Default Category,kids/gifts,default-fr,Cadeaux,,,,,,,,,,
Default Category,kids/gifts,default-de,Geschenke,,,,,,,,,,
Default Category,kids/gifts,default-it,Regali,,,,,,,,,,
Default Category,garden,,Garden,1,1,1,10,PRODUCTS,,store-garden.webp,"Plants, seeds, pots and tools from a nursery that grows what it sells.",,
Default Category,garden,default-fr,Jardin,,,,,,,,"Plantes, graines, pots et outils d'une pépinière qui cultive ce qu'elle vend.",,
Default Category,garden,default-de,Garten,,,,,,,,"Pflanzen, Samen, Töpfe und Werkzeug aus einer Gärtnerei, die anbaut, was sie verkauft.",,
Default Category,garden,default-it,Giardino,,,,,,,,"Piante, semi, vasi e attrezzi da un vivaio che coltiva quello che vende.",,
Default Category,garden/houseplants,,Houseplants,1,1,1,1,PRODUCTS,,,,,
Default Category,garden/houseplants,default-fr,Plantes d'intérieur,,,,,,,,,,
Default Category,garden/houseplants,default-de,Zimmerpflanzen,,,,,,,,,,
Default Category,garden/houseplants,default-it,Piante da interno,,,,,,,,,,
Default Category,garden/outdoor-plants,,Outdoor Plants,1,1,1,2,PRODUCTS,,,,,
Default Category,garden/outdoor-plants,default-fr,Plantes d'extérieur,,,,,,,,,,
Default Category,garden/outdoor-plants,default-de,Gartenpflanzen,,,,,,,,,,
Default Category,garden/outdoor-plants,default-it,Piante da esterno,,,,,,,,,,
Default Category,garden/seeds,,Seeds & Bulbs,1,1,1,3,PRODUCTS,,,,,
Default Category,garden/seeds,default-fr,Graines et bulbes,,,,,,,,,,
Default Category,garden/seeds,default-de,Samen und Zwiebeln,,,,,,,,,,
Default Category,garden/seeds,default-it,Semi e bulbi,,,,,,,,,,
Default Category,garden/pots,,Pots & Planters,1,1,1,4,PRODUCTS,,,,,
Default Category,garden/pots,default-fr,Pots et jardinières,,,,,,,,,,
Default Category,garden/pots,default-de,Töpfe und Kübel,,,,,,,,,,
Default Category,garden/pots,default-it,Vasi e fioriere,,,,,,,,,,
Default Category,garden/tools,,Tools,1,1,1,5,PRODUCTS,,,,,
Default Category,garden/tools,default-fr,Outils,,,,,,,,,,
Default Category,garden/tools,default-de,Werkzeug,,,,,,,,,,
Default Category,garden/tools,default-it,Attrezzi,,,,,,,,,,
Default Category,garden/furniture,,Outdoor Furniture,1,1,1,6,PRODUCTS,,,,,
Default Category,garden/furniture,default-fr,Mobilier de jardin,,,,,,,,,,
Default Category,garden/furniture,default-de,Gartenmöbel,,,,,,,,,,
Default Category,garden/furniture,default-it,Mobili da giardino,,,,,,,,,,
