sku,_product_websites,_root_category,_category,_store,name,price,status,visibility,tax_class_id,weight,description,short_description
W-LINEN-SHIRT-BLUE-LIGHT,base,,,,Ashford linen shirt Blue Light,79,1,1,2,1,"A relaxed linen shirt with a soft collar and mother-of-pearl buttons. Packs flat, dries fast, gets better with every wash. Cut from midweight European linen with a curved hem that works tucked or out. Wash cold and hang to dry.",A relaxed linen shirt with a soft collar and mother-of-pearl buttons.
,,,,,,,,,,,,
,,,,fr,Chemise en lin Ashford Bleu clair,,,,,,"Une chemise en lin décontractée, col souple et boutons de nacre. Elle se plie à plat, sèche vite et s'améliore à chaque lavage. Coupée dans un lin européen de poids moyen, avec un bas arrondi qui se porte rentré ou sorti. Lavage à froid, séchage sur cintre.","Une chemise en lin décontractée, col souple et boutons de nacre."
,,,,de,Ashford Leinenhemd Hellblau,,,,,,"Ein lockeres Leinenhemd mit weichem Kragen und Perlmuttknöpfen. Es packt flach, trocknet schnell und wird mit jeder Wäsche besser. Aus mittelschwerem europäischem Leinen, mit rundem Saum zum Reinstecken oder Offentragen. Kalt waschen und hängend trocknen.",Ein lockeres Leinenhemd mit weichem Kragen und Perlmuttknöpfen.
,,,,it,Camicia di lino Ashford Azzurro,,,,,,"Una camicia di lino dal taglio morbido, con collo soft e bottoni in madreperla. Si piega piatta, asciuga in fretta e migliora a ogni lavaggio. Tagliata in lino europeo di peso medio, con fondo arrotondato che sta bene dentro o fuori. Lavare a freddo e asciugare appesa.","Una camicia di lino dal taglio morbido, con collo soft e bottoni in madreperla."
W-LINEN-SHIRT,base,Default Category,Fashion/Women/Tops & Blouses,,Ashford linen shirt,79,1,4,2,1,"A relaxed linen shirt with a soft collar and mother-of-pearl buttons. Packs flat, dries fast, gets better with every wash. Cut from midweight European linen with a curved hem that works tucked or out. Wash cold and hang to dry.",A relaxed linen shirt with a soft collar and mother-of-pearl buttons.
,,Default Category,Fashion/Women/New Arrivals,,,,,,,,,
,,,,fr,Chemise en lin Ashford,,,,,,"Une chemise en lin décontractée, col souple et boutons de nacre. Elle se plie à plat, sèche vite et s'améliore à chaque lavage. Coupée dans un lin européen de poids moyen, avec un bas arrondi qui se porte rentré ou sorti. Lavage à froid, séchage sur cintre.","Une chemise en lin décontractée, col souple et boutons de nacre."
,,,,de,Ashford Leinenhemd,,,,,,"Ein lockeres Leinenhemd mit weichem Kragen und Perlmuttknöpfen. Es packt flach, trocknet schnell und wird mit jeder Wäsche besser. Aus mittelschwerem europäischem Leinen, mit rundem Saum zum Reinstecken oder Offentragen. Kalt waschen und hängend trocknen.",Ein lockeres Leinenhemd mit weichem Kragen und Perlmuttknöpfen.
,,,,it,Camicia di lino Ashford,,,,,,"Una camicia di lino dal taglio morbido, con collo soft e bottoni in madreperla. Si piega piatta, asciuga in fretta e migliora a ogni lavaggio. Tagliata in lino europeo di peso medio, con fondo arrotondato che sta bene dentro o fuori. Lavare a freddo e asciugare appesa.","Una camicia di lino dal taglio morbido, con collo soft e bottoni in madreperla."
W-SILK-BLOUSE-IVORY,base,,,,Meridian silk blouse Ivory,129,1,1,2,1,"A fluid silk blouse with a concealed placket and a slightly dropped shoulder. Wear it tucked or loose. Sandwashed mulberry silk that falls close without clinging. Dry clean, or hand wash cold and lay flat.",A fluid silk blouse with a concealed placket and a slightly dropped shoulder.
,,,,,,,,,,,,
,,,,fr,Blouse en soie Meridian Ivoire,,,,,,"Une blouse en soie fluide, patte de boutonnage cachée et épaule légèrement tombante. À porter rentrée ou libre. Soie de mûrier sablée qui tombe près du corps sans coller. Nettoyage à sec, ou lavage à la main à froid et séchage à plat.","Une blouse en soie fluide, patte de boutonnage cachée et épaule légèrement tombante."
,,,,de,Meridian Seidenbluse Elfenbein,,,,,,"Eine fließende Seidenbluse mit verdeckter Knopfleiste und leicht abfallender Schulter. Ob eingesteckt oder locker getragen. Sandgewaschene Maulbeerseide, die nah fällt, ohne zu kleben. Chemisch reinigen oder kalt von Hand waschen und liegend trocknen.",Eine fließende Seidenbluse mit verdeckter Knopfleiste und leicht abfallender Schulter.
,,,,it,Blusa di seta Meridian Avorio,,,,,,"Una blusa di seta fluida, con cannoncino nascosto e spalla leggermente scesa. Da portare dentro o fuori. Seta di gelso lavata alla sabbia che cade vicino al corpo senza appiccicarsi. Lavaggio a secco, oppure a mano in acqua fredda e ad asciugare in piano.","Una blusa di seta fluida, con cannoncino nascosto e spalla leggermente scesa."
W-SILK-BLOUSE-BLACK,base,,,,Meridian silk blouse Black,129,1,1,2,1,"A fluid silk blouse with a concealed placket and a slightly dropped shoulder. Wear it tucked or loose. Sandwashed mulberry silk that falls close without clinging. Dry clean, or hand wash cold and lay flat.",A fluid silk blouse with a concealed placket and a slightly dropped shoulder.
,,,,,,,,,,,,
,,,,fr,Blouse en soie Meridian Noir,,,,,,"Une blouse en soie fluide, patte de boutonnage cachée et épaule légèrement tombante. À porter rentrée ou libre. Soie de mûrier sablée qui tombe près du corps sans coller. Nettoyage à sec, ou lavage à la main à froid et séchage à plat.","Une blouse en soie fluide, patte de boutonnage cachée et épaule légèrement tombante."
,,,,de,Meridian Seidenbluse Schwarz,,,,,,"Eine fließende Seidenbluse mit verdeckter Knopfleiste und leicht abfallender Schulter. Ob eingesteckt oder locker getragen. Sandgewaschene Maulbeerseide, die nah fällt, ohne zu kleben. Chemisch reinigen oder kalt von Hand waschen und liegend trocknen.",Eine fließende Seidenbluse mit verdeckter Knopfleiste und leicht abfallender Schulter.
,,,,it,Blusa di seta Meridian Nero,,,,,,"Una blusa di seta fluida, con cannoncino nascosto e spalla leggermente scesa. Da portare dentro o fuori. Seta di gelso lavata alla sabbia che cade vicino al corpo senza appiccicarsi. Lavaggio a secco, oppure a mano in acqua fredda e ad asciugare in piano.","Una blusa di seta fluida, con cannoncino nascosto e spalla leggermente scesa."
W-SILK-BLOUSE-SALMON,base,,,,Meridian silk blouse Salmon,129,1,1,2,1,"A fluid silk blouse with a concealed placket and a slightly dropped shoulder. Wear it tucked or loose. Sandwashed mulberry silk that falls close without clinging. Dry clean, or hand wash cold and lay flat.",A fluid silk blouse with a concealed placket and a slightly dropped shoulder.
,,,,,,,,,,,,
,,,,fr,Blouse en soie Meridian Saumon,,,,,,"Une blouse en soie fluide, patte de boutonnage cachée et épaule légèrement tombante. À porter rentrée ou libre. Soie de mûrier sablée qui tombe près du corps sans coller. Nettoyage à sec, ou lavage à la main à froid et séchage à plat.","Une blouse en soie fluide, patte de boutonnage cachée et épaule légèrement tombante."
,,,,de,Meridian Seidenbluse Lachs,,,,,,"Eine fließende Seidenbluse mit verdeckter Knopfleiste und leicht abfallender Schulter. Ob eingesteckt oder locker getragen. Sandgewaschene Maulbeerseide, die nah fällt, ohne zu kleben. Chemisch reinigen oder kalt von Hand waschen und liegend trocknen.",Eine fließende Seidenbluse mit verdeckter Knopfleiste und leicht abfallender Schulter.
,,,,it,Blusa di seta Meridian Salmone,,,,,,"Una blusa di seta fluida, con cannoncino nascosto e spalla leggermente scesa. Da portare dentro o fuori. Seta di gelso lavata alla sabbia che cade vicino al corpo senza appiccicarsi. Lavaggio a secco, oppure a mano in acqua fredda e ad asciugare in piano.","Una blusa di seta fluida, con cannoncino nascosto e spalla leggermente scesa."
W-SILK-BLOUSE,base,Default Category,Fashion/Women/Tops & Blouses,,Meridian silk blouse,129,1,4,2,1,"A fluid silk blouse with a concealed placket and a slightly dropped shoulder. Wear it tucked or loose. Sandwashed mulberry silk that falls close without clinging. Dry clean, or hand wash cold and lay flat.",A fluid silk blouse with a concealed placket and a slightly dropped shoulder.
,,,,,,,,,,,,
,,,,fr,Blouse en soie Meridian,,,,,,"Une blouse en soie fluide, patte de boutonnage cachée et épaule légèrement tombante. À porter rentrée ou libre. Soie de mûrier sablée qui tombe près du corps sans coller. Nettoyage à sec, ou lavage à la main à froid et séchage à plat.","Une blouse en soie fluide, patte de boutonnage cachée et épaule légèrement tombante."
,,,,de,Meridian Seidenbluse,,,,,,"Eine fließende Seidenbluse mit verdeckter Knopfleiste und leicht abfallender Schulter. Ob eingesteckt oder locker getragen. Sandgewaschene Maulbeerseide, die nah fällt, ohne zu kleben. Chemisch reinigen oder kalt von Hand waschen und liegend trocknen.",Eine fließende Seidenbluse mit verdeckter Knopfleiste und leicht abfallender Schulter.
,,,,it,Blusa di seta Meridian,,,,,,"Una blusa di seta fluida, con cannoncino nascosto e spalla leggermente scesa. Da portare dentro o fuori. Seta di gelso lavata alla sabbia che cade vicino al corpo senza appiccicarsi. Lavaggio a secco, oppure a mano in acqua fredda e ad asciugare in piano.","Una blusa di seta fluida, con cannoncino nascosto e spalla leggermente scesa."
W-KNIT-TANK-BLACK,base,,,,Nordlys ribbed tank Black,39,1,1,2,1,"A ribbed cotton tank with a square neck. The layering piece that works alone on warm days. A dense rib in organic cotton that holds its shape all day. Machine wash, no tumble.",A ribbed cotton tank with a square neck.
,,,,,,,,,,,,
,,,,fr,Débardeur côtelé Nordlys Noir,,,,,,"Un débardeur en coton côtelé à encolure carrée. La pièce à superposer qui se suffit aussi quand il fait chaud. Une côte dense en coton biologique qui garde sa forme toute la journée. Lavage en machine, pas de sèche-linge.",Un débardeur en coton côtelé à encolure carrée.
,,,,de,Nordlys Ripptop Schwarz,,,,,,"Ein geripptes Baumwolltop mit eckigem Ausschnitt. Das Lagen-Teil, das an warmen Tagen auch allein funktioniert. Ein dichter Rippstrick aus Biobaumwolle, der den ganzen Tag in Form bleibt. Maschinenwäsche, nicht in den Trockner.",Ein geripptes Baumwolltop mit eckigem Ausschnitt.
,,,,it,Canotta a coste Nordlys Nero,,,,,,"Una canotta di cotone a coste con scollo quadrato. Il capo da sovrapporre che nei giorni caldi sta bene anche da solo. Una costa fitta in cotone biologico che tiene la forma tutto il giorno. Lavaggio in lavatrice, no asciugatrice.",Una canotta di cotone a coste con scollo quadrato.
W-KNIT-TANK-OATMEAL,base,,,,Nordlys ribbed tank Oatmeal,39,1,1,2,1,"A ribbed cotton tank with a square neck. The layering piece that works alone on warm days. A dense rib in organic cotton that holds its shape all day. Machine wash, no tumble.",A ribbed cotton tank with a square neck.
,,,,,,,,,,,,
,,,,fr,Débardeur côtelé Nordlys Avoine,,,,,,"Un débardeur en coton côtelé à encolure carrée. La pièce à superposer qui se suffit aussi quand il fait chaud. Une côte dense en coton biologique qui garde sa forme toute la journée. Lavage en machine, pas de sèche-linge.",Un débardeur en coton côtelé à encolure carrée.
,,,,de,Nordlys Ripptop Haferbeige,,,,,,"Ein geripptes Baumwolltop mit eckigem Ausschnitt. Das Lagen-Teil, das an warmen Tagen auch allein funktioniert. Ein dichter Rippstrick aus Biobaumwolle, der den ganzen Tag in Form bleibt. Maschinenwäsche, nicht in den Trockner.",Ein geripptes Baumwolltop mit eckigem Ausschnitt.
,,,,it,Canotta a coste Nordlys Avena,,,,,,"Una canotta di cotone a coste con scollo quadrato. Il capo da sovrapporre che nei giorni caldi sta bene anche da solo. Una costa fitta in cotone biologico che tiene la forma tutto il giorno. Lavaggio in lavatrice, no asciugatrice.",Una canotta di cotone a coste con scollo quadrato.
W-KNIT-TANK-GREEN,base,,,,Nordlys ribbed tank Green,39,1,1,2,1,"A ribbed cotton tank with a square neck. The layering piece that works alone on warm days. A dense rib in organic cotton that holds its shape all day. Machine wash, no tumble.",A ribbed cotton tank with a square neck.
,,,,,,,,,,,,
,,,,fr,Débardeur côtelé Nordlys Vert,,,,,,"Un débardeur en coton côtelé à encolure carrée. La pièce à superposer qui se suffit aussi quand il fait chaud. Une côte dense en coton biologique qui garde sa forme toute la journée. Lavage en machine, pas de sèche-linge.",Un débardeur en coton côtelé à encolure carrée.
,,,,de,Nordlys Ripptop Grün,,,,,,"Ein geripptes Baumwolltop mit eckigem Ausschnitt. Das Lagen-Teil, das an warmen Tagen auch allein funktioniert. Ein dichter Rippstrick aus Biobaumwolle, der den ganzen Tag in Form bleibt. Maschinenwäsche, nicht in den Trockner.",Ein geripptes Baumwolltop mit eckigem Ausschnitt.
,,,,it,Canotta a coste Nordlys Verde,,,,,,"Una canotta di cotone a coste con scollo quadrato. Il capo da sovrapporre che nei giorni caldi sta bene anche da solo. Una costa fitta in cotone biologico che tiene la forma tutto il giorno. Lavaggio in lavatrice, no asciugatrice.",Una canotta di cotone a coste con scollo quadrato.
W-KNIT-TANK,base,Default Category,Fashion/Women/Tops & Blouses,,Nordlys ribbed tank,39,1,4,2,1,"A ribbed cotton tank with a square neck. The layering piece that works alone on warm days. A dense rib in organic cotton that holds its shape all day. Machine wash, no tumble.",A ribbed cotton tank with a square neck.
,,,,,,,,,,,,
,,,,fr,Débardeur côtelé Nordlys,,,,,,"Un débardeur en coton côtelé à encolure carrée. La pièce à superposer qui se suffit aussi quand il fait chaud. Une côte dense en coton biologique qui garde sa forme toute la journée. Lavage en machine, pas de sèche-linge.",Un débardeur en coton côtelé à encolure carrée.
,,,,de,Nordlys Ripptop,,,,,,"Ein geripptes Baumwolltop mit eckigem Ausschnitt. Das Lagen-Teil, das an warmen Tagen auch allein funktioniert. Ein dichter Rippstrick aus Biobaumwolle, der den ganzen Tag in Form bleibt. Maschinenwäsche, nicht in den Trockner.",Ein geripptes Baumwolltop mit eckigem Ausschnitt.
,,,,it,Canotta a coste Nordlys,,,,,,"Una canotta di cotone a coste con scollo quadrato. Il capo da sovrapporre che nei giorni caldi sta bene anche da solo. Una costa fitta in cotone biologico che tiene la forma tutto il giorno. Lavaggio in lavatrice, no asciugatrice.",Una canotta di cotone a coste con scollo quadrato.
W-WRAP-TOP-S,base,,,,Bruma Sol wrap top S,69,1,1,2,1,"A wrap top in crinkled cotton that ties at the side. No ironing, ever. The crinkle is set in the fabric, so it comes out of the suitcase ready. Machine wash cold.",A wrap top in crinkled cotton that ties at the side.
,,,,,,,,,,,,
,,,,fr,Top portefeuille Bruma Sol S,,,,,,"Un top portefeuille en coton froissé qui se noue sur le côté. Jamais de repassage. Le froissé est fixé dans le tissu, il sort donc de la valise prêt à porter. Lavage en machine à froid.",Un top portefeuille en coton froissé qui se noue sur le côté.
,,,,de,Bruma Sol Wickeltop S,,,,,,"Ein Wickeltop aus Krinkelbaumwolle, das an der Seite gebunden wird. Nie wieder bügeln. Der Krinkel steckt im Stoff, also kommt es tragefertig aus dem Koffer. Kalt in der Maschine waschen.","Ein Wickeltop aus Krinkelbaumwolle, das an der Seite gebunden wird."
,,,,it,Top a portafoglio Bruma Sol S,,,,,,"Un top a portafoglio in cotone crinkle che si annoda sul fianco. Mai più ferro da stiro. Il crinkle è fissato nel tessuto, quindi esce dalla valigia già pronto. Lavaggio in lavatrice a freddo.",Un top a portafoglio in cotone crinkle che si annoda sul fianco.
W-WRAP-TOP-M,base,,,,Bruma Sol wrap top M,69,1,1,2,1,"A wrap top in crinkled cotton that ties at the side. No ironing, ever. The crinkle is set in the fabric, so it comes out of the suitcase ready. Machine wash cold.",A wrap top in crinkled cotton that ties at the side.
,,,,,,,,,,,,
,,,,fr,Top portefeuille Bruma Sol M,,,,,,"Un top portefeuille en coton froissé qui se noue sur le côté. Jamais de repassage. Le froissé est fixé dans le tissu, il sort donc de la valise prêt à porter. Lavage en machine à froid.",Un top portefeuille en coton froissé qui se noue sur le côté.
,,,,de,Bruma Sol Wickeltop M,,,,,,"Ein Wickeltop aus Krinkelbaumwolle, das an der Seite gebunden wird. Nie wieder bügeln. Der Krinkel steckt im Stoff, also kommt es tragefertig aus dem Koffer. Kalt in der Maschine waschen.","Ein Wickeltop aus Krinkelbaumwolle, das an der Seite gebunden wird."
,,,,it,Top a portafoglio Bruma Sol M,,,,,,"Un top a portafoglio in cotone crinkle che si annoda sul fianco. Mai più ferro da stiro. Il crinkle è fissato nel tessuto, quindi esce dalla valigia già pronto. Lavaggio in lavatrice a freddo.",Un top a portafoglio in cotone crinkle che si annoda sul fianco.
W-WRAP-TOP-L,base,,,,Bruma Sol wrap top L,69,1,1,2,1,"A wrap top in crinkled cotton that ties at the side. No ironing, ever. The crinkle is set in the fabric, so it comes out of the suitcase ready. Machine wash cold.",A wrap top in crinkled cotton that ties at the side.
,,,,,,,,,,,,
,,,,fr,Top portefeuille Bruma Sol L,,,,,,"Un top portefeuille en coton froissé qui se noue sur le côté. Jamais de repassage. Le froissé est fixé dans le tissu, il sort donc de la valise prêt à porter. Lavage en machine à froid.",Un top portefeuille en coton froissé qui se noue sur le côté.
,,,,de,Bruma Sol Wickeltop L,,,,,,"Ein Wickeltop aus Krinkelbaumwolle, das an der Seite gebunden wird. Nie wieder bügeln. Der Krinkel steckt im Stoff, also kommt es tragefertig aus dem Koffer. Kalt in der Maschine waschen.","Ein Wickeltop aus Krinkelbaumwolle, das an der Seite gebunden wird."
,,,,it,Top a portafoglio Bruma Sol L,,,,,,"Un top a portafoglio in cotone crinkle che si annoda sul fianco. Mai più ferro da stiro. Il crinkle è fissato nel tessuto, quindi esce dalla valigia già pronto. Lavaggio in lavatrice a freddo.",Un top a portafoglio in cotone crinkle che si annoda sul fianco.
W-WRAP-TOP,base,Default Category,Fashion/Women/Tops & Blouses,,Bruma Sol wrap top,69,1,4,2,1,"A wrap top in crinkled cotton that ties at the side. No ironing, ever. The crinkle is set in the fabric, so it comes out of the suitcase ready. Machine wash cold.",A wrap top in crinkled cotton that ties at the side.
,,,,,,,,,,,,
,,,,fr,Top portefeuille Bruma Sol,,,,,,"Un top portefeuille en coton froissé qui se noue sur le côté. Jamais de repassage. Le froissé est fixé dans le tissu, il sort donc de la valise prêt à porter. Lavage en machine à froid.",Un top portefeuille en coton froissé qui se noue sur le côté.
,,,,de,Bruma Sol Wickeltop,,,,,,"Ein Wickeltop aus Krinkelbaumwolle, das an der Seite gebunden wird. Nie wieder bügeln. Der Krinkel steckt im Stoff, also kommt es tragefertig aus dem Koffer. Kalt in der Maschine waschen.","Ein Wickeltop aus Krinkelbaumwolle, das an der Seite gebunden wird."
,,,,it,Top a portafoglio Bruma Sol,,,,,,"Un top a portafoglio in cotone crinkle che si annoda sul fianco. Mai più ferro da stiro. Il crinkle è fissato nel tessuto, quindi esce dalla valigia già pronto. Lavaggio in lavatrice a freddo.",Un top a portafoglio in cotone crinkle che si annoda sul fianco.
W-STRIPE-TEE-BLUE,base,,,,Harbour stripe tee Blue,35,1,1,2,1,"A heavyweight striped tee with a boat neck, cut from organic cotton. A 220 g jersey with a wide neck and a straight hem. It shrinks a touch on the first wash, then stays put.","A heavyweight striped tee with a boat neck, cut from organic cotton."
,,,,,,,,,,,,
,,,,fr,T-shirt rayé Harbour Bleu,,,,,,"Un t-shirt rayé épais à encolure bateau, en coton biologique. Un jersey de 220 g avec une large encolure et un bas droit. Il rétrécit un peu au premier lavage, puis ne bouge plus.","Un t-shirt rayé épais à encolure bateau, en coton biologique."
,,,,de,Harbour Streifenshirt Blau,,,,,,Ein schweres Streifenshirt mit U-Boot-Ausschnitt aus Biobaumwolle. Ein 220-g-Jersey mit weitem Ausschnitt und geradem Saum. Es geht bei der ersten Wäsche etwas ein und bleibt danach so.,Ein schweres Streifenshirt mit U-Boot-Ausschnitt aus Biobaumwolle.
,,,,it,T-shirt a righe Harbour Blu,,,,,,"Una t-shirt a righe pesante con scollo a barca, in cotone biologico. Una jersey da 220 g con scollo largo e fondo dritto. Si ritira un poco al primo lavaggio, poi resta così.","Una t-shirt a righe pesante con scollo a barca, in cotone biologico."
W-STRIPE-TEE-RED,base,,,,Harbour stripe tee Red,35,1,1,2,1,"A heavyweight striped tee with a boat neck, cut from organic cotton. A 220 g jersey with a wide neck and a straight hem. It shrinks a touch on the first wash, then stays put.","A heavyweight striped tee with a boat neck, cut from organic cotton."
,,,,,,,,,,,,
,,,,fr,T-shirt rayé Harbour Rouge,,,,,,"Un t-shirt rayé épais à encolure bateau, en coton biologique. Un jersey de 220 g avec une large encolure et un bas droit. Il rétrécit un peu au premier lavage, puis ne bouge plus.","Un t-shirt rayé épais à encolure bateau, en coton biologique."
,,,,de,Harbour Streifenshirt Rot,,,,,,Ein schweres Streifenshirt mit U-Boot-Ausschnitt aus Biobaumwolle. Ein 220-g-Jersey mit weitem Ausschnitt und geradem Saum. Es geht bei der ersten Wäsche etwas ein und bleibt danach so.,Ein schweres Streifenshirt mit U-Boot-Ausschnitt aus Biobaumwolle.
,,,,it,T-shirt a righe Harbour Rosso,,,,,,"Una t-shirt a righe pesante con scollo a barca, in cotone biologico. Una jersey da 220 g con scollo largo e fondo dritto. Si ritira un poco al primo lavaggio, poi resta così.","Una t-shirt a righe pesante con scollo a barca, in cotone biologico."
W-STRIPE-TEE,base,Default Category,Fashion/Women/Tops & Blouses,,Harbour stripe tee,35,1,4,2,1,"A heavyweight striped tee with a boat neck, cut from organic cotton. A 220 g jersey with a wide neck and a straight hem. It shrinks a touch on the first wash, then stays put.","A heavyweight striped tee with a boat neck, cut from organic cotton."
,,Default Category,Fashion/Sale,,,,,,,,,
,,,,fr,T-shirt rayé Harbour,,,,,,"Un t-shirt rayé épais à encolure bateau, en coton biologique. Un jersey de 220 g avec une large encolure et un bas droit. Il rétrécit un peu au premier lavage, puis ne bouge plus.","Un t-shirt rayé épais à encolure bateau, en coton biologique."
,,,,de,Harbour Streifenshirt,,,,,,Ein schweres Streifenshirt mit U-Boot-Ausschnitt aus Biobaumwolle. Ein 220-g-Jersey mit weitem Ausschnitt und geradem Saum. Es geht bei der ersten Wäsche etwas ein und bleibt danach so.,Ein schweres Streifenshirt mit U-Boot-Ausschnitt aus Biobaumwolle.
,,,,it,T-shirt a righe Harbour,,,,,,"Una t-shirt a righe pesante con scollo a barca, in cotone biologico. Una jersey da 220 g con scollo largo e fondo dritto. Si ritira un poco al primo lavaggio, poi resta così.","Una t-shirt a righe pesante con scollo a barca, in cotone biologico."
W-WIDE-TROUSER-OATMEAL,base,,,,Sand wide-leg trousers Oatmeal,95,1,1,2,1,"High-waisted wide-leg trousers in a linen and viscose blend that falls straight and cool. A fitted waist, a flat front and a leg that ends at the ankle. Machine wash cold and hang to dry.",High-waisted wide-leg trousers in a linen and viscose blend that falls straight and cool.
,,,,,,,,,,,,
,,,,fr,Pantalon large Sand Avoine,,,,,,"Un pantalon large taille haute, en mélange lin et viscose, qui tombe droit et reste frais. Une taille ajustée, un devant plat et une jambe qui s'arrête à la cheville. Lavage en machine à froid, séchage sur cintre.","Un pantalon large taille haute, en mélange lin et viscose, qui tombe droit et reste frais."
,,,,de,Sand Marlenehose Haferbeige,,,,,,"Eine weite Hose mit hohem Bund aus Leinen-Viskose-Mix, die gerade fällt und kühl bleibt. Ein anliegender Bund, eine flache Front und ein Bein, das am Knöchel endet. Kalt waschen und hängend trocknen.","Eine weite Hose mit hohem Bund aus Leinen-Viskose-Mix, die gerade fällt und kühl bleibt."
,,,,it,Pantaloni a gamba larga Sand Avena,,,,,,"Pantaloni a gamba larga a vita alta, in misto lino e viscosa, che cadono dritti e restano freschi. Vita aderente, davanti liscio e gamba che finisce alla caviglia. Lavaggio a freddo e asciugatura appesi.","Pantaloni a gamba larga a vita alta, in misto lino e viscosa, che cadono dritti e restano freschi."
W-WIDE-TROUSER-BLACK,base,,,,Sand wide-leg trousers Black,95,1,1,2,1,"High-waisted wide-leg trousers in a linen and viscose blend that falls straight and cool. A fitted waist, a flat front and a leg that ends at the ankle. Machine wash cold and hang to dry.",High-waisted wide-leg trousers in a linen and viscose blend that falls straight and cool.
,,,,,,,,,,,,
,,,,fr,Pantalon large Sand Noir,,,,,,"Un pantalon large taille haute, en mélange lin et viscose, qui tombe droit et reste frais. Une taille ajustée, un devant plat et une jambe qui s'arrête à la cheville. Lavage en machine à froid, séchage sur cintre.","Un pantalon large taille haute, en mélange lin et viscose, qui tombe droit et reste frais."
,,,,de,Sand Marlenehose Schwarz,,,,,,"Eine weite Hose mit hohem Bund aus Leinen-Viskose-Mix, die gerade fällt und kühl bleibt. Ein anliegender Bund, eine flache Front und ein Bein, das am Knöchel endet. Kalt waschen und hängend trocknen.","Eine weite Hose mit hohem Bund aus Leinen-Viskose-Mix, die gerade fällt und kühl bleibt."
,,,,it,Pantaloni a gamba larga Sand Nero,,,,,,"Pantaloni a gamba larga a vita alta, in misto lino e viscosa, che cadono dritti e restano freschi. Vita aderente, davanti liscio e gamba che finisce alla caviglia. Lavaggio a freddo e asciugatura appesi.","Pantaloni a gamba larga a vita alta, in misto lino e viscosa, che cadono dritti e restano freschi."
W-WIDE-TROUSER-KHAKI,base,,,,Sand wide-leg trousers Khaki,95,1,1,2,1,"High-waisted wide-leg trousers in a linen and viscose blend that falls straight and cool. A fitted waist, a flat front and a leg that ends at the ankle. Machine wash cold and hang to dry.",High-waisted wide-leg trousers in a linen and viscose blend that falls straight and cool.
,,,,,,,,,,,,
