sku,_attribute_set,_type,_product_websites,_root_category,_category,name,price,special_price,status,visibility,tax_class_id,weight,description,short_description,qty,is_in_stock,color,brand,connectivity,storage,_media_image,image,small_image,thumbnail,url_key,_super_products_sku,_super_attribute_code,_super_attribute_option,_associated_sku,_associated_default_qty,_associated_position
E-WIRED-IEM,Electronics,simple,electronics,Electronics,Audio,Kestrel Studio in-ear monitors,189,,1,4,2,1,"Wired in-ear monitors with a single dynamic driver and a detachable cable. A single driver keeps the sound coherent from bass to treble. The cable unclips, so a broken cable is not a broken pair.",Wired in-ear monitors with a single dynamic driver and a detachable cable.,10,1,Black,Kestrel Audio,Wired,,e-wired-iem.webp,e-wired-iem.webp,e-wired-iem.webp,e-wired-iem.webp,kestrel-studio-in-ear-monitors,,,,,,
E-SPEAKER-BT-CHARCOAL,Electronics,simple,electronics,Electronics,,Nimbus Go speaker Charcoal,119,,1,1,2,1,"A pocket speaker with a real passive radiator, twelve hours of play and an IP67 rating. It survives a pool and a beach, and pairs with a second unit for stereo. Twelve hours at normal volume.","A pocket speaker with a real passive radiator, twelve hours of play and an IP67 rating.",10,1,Charcoal,Nimbus,Bluetooth|USB-C,,e-speaker-bt-charcoal.webp,e-speaker-bt-charcoal.webp,e-speaker-bt-charcoal.webp,e-speaker-bt-charcoal.webp,nimbus-go-speaker-charcoal,,,,,,
E-SPEAKER-BT-BLUE,Electronics,simple,electronics,Electronics,,Nimbus Go speaker Blue,119,,1,1,2,1,"A pocket speaker with a real passive radiator, twelve hours of play and an IP67 rating. It survives a pool and a beach, and pairs with a second unit for stereo. Twelve hours at normal volume.","A pocket speaker with a real passive radiator, twelve hours of play and an IP67 rating.",18,1,Blue,Nimbus,Bluetooth|USB-C,,e-speaker-bt-blue.webp,e-speaker-bt-blue.webp,e-speaker-bt-blue.webp,e-speaker-bt-blue.webp,nimbus-go-speaker-blue,,,,,,
E-SPEAKER-BT-ORANGE,Electronics,simple,electronics,Electronics,,Nimbus Go speaker Orange,119,,1,1,2,1,"A pocket speaker with a real passive radiator, twelve hours of play and an IP67 rating. It survives a pool and a beach, and pairs with a second unit for stereo. Twelve hours at normal volume.","A pocket speaker with a real passive radiator, twelve hours of play and an IP67 rating.",15,1,Orange,Nimbus,Bluetooth|USB-C,,e-speaker-bt-orange.webp,e-speaker-bt-orange.webp,e-speaker-bt-orange.webp,e-speaker-bt-orange.webp,nimbus-go-speaker-orange,,,,,,
E-SPEAKER-BT,Electronics,configurable,electronics,Electronics,Audio,Nimbus Go speaker,119,,1,4,2,1,"A pocket speaker with a real passive radiator, twelve hours of play and an IP67 rating. It survives a pool and a beach, and pairs with a second unit for stereo. Twelve hours at normal volume.","A pocket speaker with a real passive radiator, twelve hours of play and an IP67 rating.",0,1,,Nimbus,Bluetooth|USB-C,,e-speaker-bt-charcoal.webp,e-speaker-bt-charcoal.webp,e-speaker-bt-charcoal.webp,e-speaker-bt-charcoal.webp,nimbus-go-speaker,E-SPEAKER-BT-CHARCOAL,color,Charcoal,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,E-SPEAKER-BT-BLUE,color,Blue,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,E-SPEAKER-BT-ORANGE,color,Orange,,,
E-BOOKSHELF,Electronics,simple,electronics,Electronics,Audio,Nimbus Shelf active speakers,449,,1,4,2,1,"A pair of powered bookshelf speakers with a built-in DAC and Bluetooth. Plug in the turntable, the television or a laptop, or stream from a phone. No separate amplifier needed.",A pair of powered bookshelf speakers with a built-in DAC and Bluetooth.,29,1,Brown,Nimbus,Bluetooth|Wired,,e-bookshelf.webp,e-bookshelf.webp,e-bookshelf.webp,e-bookshelf.webp,nimbus-shelf-active-speakers,,,,,,
E-TURNTABLE,Electronics,simple,electronics,Electronics,Audio,Nimbus Spin turntable,329,,1,4,2,1,A belt-drive turntable with a carbon tonearm and a built-in phono stage. The phono stage switches off for people who own one already. Set up in ten minutes with the included gauge.,A belt-drive turntable with a carbon tonearm and a built-in phono stage.,51,1,Black,Nimbus,Wired|Bluetooth,,e-turntable.webp,e-turntable.webp,e-turntable.webp,e-turntable.webp,nimbus-spin-turntable,,,,,,
E-DAC,Electronics,simple,electronics,Electronics,Audio,Kestrel Pocket DAC,79,,1,4,2,1,"A USB-C headphone amplifier the size of a lighter, with a balanced output. It powers demanding headphones from a phone or a laptop and adds no noise of its own. The case is machined aluminium.","A USB-C headphone amplifier the size of a lighter, with a balanced output.",8,1,Silver,Kestrel Audio,USB-C,,e-dac.webp,e-dac.webp,e-dac.webp,e-dac.webp,kestrel-pocket-dac,,,,,,
,,,,Electronics,Accessories,,,,,,,,,,,,,,,,,,,,,,,,,,
E-SOUNDBAR,Electronics,simple,electronics,Electronics,Audio,Nimbus Bar soundbar,279,,1,4,2,1,A compact soundbar with a wireless subwoofer and HDMI eARC. One cable to the television and the subwoofer finds the bar by itself. Dialogue mode makes voices clear at low volume.,A compact soundbar with a wireless subwoofer and HDMI eARC.,51,1,Black,Nimbus,HDMI|Bluetooth|Wi-Fi,,e-soundbar.webp,e-soundbar.webp,e-soundbar.webp,e-soundbar.webp,nimbus-bar-soundbar,,,,,,
,,,,Electronics,Smart Home,,,,,,,,,,,,,,,,,,,,,,,,,,
E-LAPTOP-14-256-GB,Electronics,simple,electronics,Electronics,,Voltline Air 14 laptop 256 GB,1199,,1,1,2,1,"A fourteen-inch laptop with a matte display, eighteen hours of battery and a keyboard people write on. Sixteen gigabytes of memory, a fast SSD and a case that opens with one hand. It charges from any USB-C charger.","A fourteen-inch laptop with a matte display, eighteen hours of battery and a keyboard people write on.",29,1,Silver,Voltline,Wi-Fi|USB-C|Thunderbolt,256 GB,e-laptop-14.webp,e-laptop-14.webp,e-laptop-14.webp,e-laptop-14.webp,voltline-air-14-laptop-256-gb,,,,,,
E-LAPTOP-14-512-GB,Electronics,simple,electronics,Electronics,,Voltline Air 14 laptop 512 GB,1199,,1,1,2,1,"A fourteen-inch laptop with a matte display, eighteen hours of battery and a keyboard people write on. Sixteen gigabytes of memory, a fast SSD and a case that opens with one hand. It charges from any USB-C charger.","A fourteen-inch laptop with a matte display, eighteen hours of battery and a keyboard people write on.",41,1,Silver,Voltline,Wi-Fi|USB-C|Thunderbolt,512 GB,e-laptop-14.webp,e-laptop-14.webp,e-laptop-14.webp,e-laptop-14.webp,voltline-air-14-laptop-512-gb,,,,,,
E-LAPTOP-14-1-TB,Electronics,simple,electronics,Electronics,,Voltline Air 14 laptop 1 TB,1199,,1,1,2,1,"A fourteen-inch laptop with a matte display, eighteen hours of battery and a keyboard people write on. Sixteen gigabytes of memory, a fast SSD and a case that opens with one hand. It charges from any USB-C charger.","A fourteen-inch laptop with a matte display, eighteen hours of battery and a keyboard people write on.",49,1,Silver,Voltline,Wi-Fi|USB-C|Thunderbolt,1 TB,e-laptop-14.webp,e-laptop-14.webp,e-laptop-14.webp,e-laptop-14.webp,voltline-air-14-laptop-1-tb,,,,,,
E-LAPTOP-14,Electronics,configurable,electronics,Electronics,Computing,Voltline Air 14 laptop,1199,,1,4,2,1,"A fourteen-inch laptop with a matte display, eighteen hours of battery and a keyboard people write on. Sixteen gigabytes of memory, a fast SSD and a case that opens with one hand. It charges from any USB-C charger.","A fourteen-inch laptop with a matte display, eighteen hours of battery and a keyboard people write on.",0,1,Silver,Voltline,Wi-Fi|USB-C|Thunderbolt,,e-laptop-14.webp,e-laptop-14.webp,e-laptop-14.webp,e-laptop-14.webp,voltline-air-14-laptop,E-LAPTOP-14-256-GB,storage,256 GB,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,E-LAPTOP-14-512-GB,storage,512 GB,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,E-LAPTOP-14-1-TB,storage,1 TB,,,
E-LAPTOP-16-512-GB,Electronics,simple,electronics,Electronics,,Voltline Pro 16 laptop 512 GB,2199,,1,1,2,1,"A sixteen-inch workstation with a 120 Hz display and quiet fans. Built for people who compile, render and edit. The fans stay quiet until the work gets heavy.",A sixteen-inch workstation with a 120 Hz display and quiet fans.,57,1,Charcoal,Voltline,Wi-Fi|USB-C|Thunderbolt|HDMI,512 GB,e-laptop-16.webp,e-laptop-16.webp,e-laptop-16.webp,e-laptop-16.webp,voltline-pro-16-laptop-512-gb,,,,,,
E-LAPTOP-16-1-TB,Electronics,simple,electronics,Electronics,,Voltline Pro 16 laptop 1 TB,2199,,1,1,2,1,"A sixteen-inch workstation with a 120 Hz display and quiet fans. Built for people who compile, render and edit. The fans stay quiet until the work gets heavy.",A sixteen-inch workstation with a 120 Hz display and quiet fans.,37,1,Charcoal,Voltline,Wi-Fi|USB-C|Thunderbolt|HDMI,1 TB,e-laptop-16.webp,e-laptop-16.webp,e-laptop-16.webp,e-laptop-16.webp,voltline-pro-16-laptop-1-tb,,,,,,
E-LAPTOP-16-2-TB,Electronics,simple,electronics,Electronics,,Voltline Pro 16 laptop 2 TB,2199,,1,1,2,1,"A sixteen-inch workstation with a 120 Hz display and quiet fans. Built for people who compile, render and edit. The fans stay quiet until the work gets heavy.",A sixteen-inch workstation with a 120 Hz display and quiet fans.,9,1,Charcoal,Voltline,Wi-Fi|USB-C|Thunderbolt|HDMI,2 TB,e-laptop-16.webp,e-laptop-16.webp,e-laptop-16.webp,e-laptop-16.webp,voltline-pro-16-laptop-2-tb,,,,,,
E-LAPTOP-16,Electronics,configurable,electronics,Electronics,Computing,Voltline Pro 16 laptop,2199,,1,4,2,1,"A sixteen-inch workstation with a 120 Hz display and quiet fans. Built for people who compile, render and edit. The fans stay quiet until the work gets heavy.",A sixteen-inch workstation with a 120 Hz display and quiet fans.,0,1,Charcoal,Voltline,Wi-Fi|USB-C|Thunderbolt|HDMI,,e-laptop-16.webp,e-laptop-16.webp,e-laptop-16.webp,e-laptop-16.webp,voltline-pro-16-laptop,E-LAPTOP-16-512-GB,storage,512 GB,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,E-LAPTOP-16-1-TB,storage,1 TB,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,E-LAPTOP-16-2-TB,storage,2 TB,,,
E-MONITOR-27,Electronics,simple,electronics,Electronics,Computing,Tessera 27 inch 4K monitor,549,,1,4,2,1,"A 27-inch 4K IPS display with USB-C power delivery and a matte coating. One USB-C cable carries video, data and 90 W of power to a laptop. The stand tilts, swivels and rises.",A 27-inch 4K IPS display with USB-C power delivery and a matte coating.,27,1,Black,Tessera,USB-C|HDMI,,e-monitor-27.webp,e-monitor-27.webp,e-monitor-27.webp,e-monitor-27.webp,tessera-27-inch-4k-monitor,,,,,,
E-MONITOR-34,Electronics,simple,electronics,Electronics,Computing,Tessera 34 inch ultrawide monitor,749,,1,4,2,1,"A curved ultrawide with a 144 Hz panel and a KVM switch. Two computers, one keyboard and mouse, switched with a button. The curve keeps the corners at the same distance as the centre.",A curved ultrawide with a 144 Hz panel and a KVM switch.,46,1,Black,Tessera,USB-C|HDMI,,e-monitor-34.webp,e-monitor-34.webp,e-monitor-34.webp,e-monitor-34.webp,tessera-34-inch-ultrawide-monitor,,,,,,
E-KEYBOARD-BLACK,Electronics,simple,electronics,Electronics,,Orbit Labs 75 mechanical keyboard Black,159,,1,1,2,1,"A 75 percent mechanical keyboard with hot-swap switches and a gasket mount. The switches pull out without soldering, and the gasket mount softens every keystroke. Wired or Bluetooth.",A 75 percent mechanical keyboard with hot-swap switches and a gasket mount.,52,1,Black,Orbit Labs,Bluetooth|USB-C,,e-keyboard-black.webp,e-keyboard-black.webp,e-keyboard-black.webp,e-keyboard-black.webp,orbit-labs-75-mechanical-keyboard-black,,,,,,
E-KEYBOARD-WHITE,Electronics,simple,electronics,Electronics,,Orbit Labs 75 mechanical keyboard White,159,,1,1,2,1,"A 75 percent mechanical keyboard with hot-swap switches and a gasket mount. The switches pull out without soldering, and the gasket mount softens every keystroke. Wired or Bluetooth.",A 75 percent mechanical keyboard with hot-swap switches and a gasket mount.,40,1,White,Orbit Labs,Bluetooth|USB-C,,e-keyboard-white.webp,e-keyboard-white.webp,e-keyboard-white.webp,e-keyboard-white.webp,orbit-labs-75-mechanical-keyboard-white,,,,,,
E-KEYBOARD-BLUE,Electronics,simple,electronics,Electronics,,Orbit Labs 75 mechanical keyboard Blue,159,,1,1,2,1,"A 75 percent mechanical keyboard with hot-swap switches and a gasket mount. The switches pull out without soldering, and the gasket mount softens every keystroke. Wired or Bluetooth.",A 75 percent mechanical keyboard with hot-swap switches and a gasket mount.,43,1,Blue,Orbit Labs,Bluetooth|USB-C,,e-keyboard-blue.webp,e-keyboard-blue.webp,e-keyboard-blue.webp,e-keyboard-blue.webp,orbit-labs-75-mechanical-keyboard-blue,,,,,,
E-KEYBOARD,Electronics,configurable,electronics,Electronics,Computing,Orbit Labs 75 mechanical keyboard,159,,1,4,2,1,"A 75 percent mechanical keyboard with hot-swap switches and a gasket mount. The switches pull out without soldering, and the gasket mount softens every keystroke. Wired or Bluetooth.",A 75 percent mechanical keyboard with hot-swap switches and a gasket mount.,0,1,,Orbit Labs,Bluetooth|USB-C,,e-keyboard-black.webp,e-keyboard-black.webp,e-keyboard-black.webp,e-keyboard-black.webp,orbit-labs-75-mechanical-keyboard,E-KEYBOARD-BLACK,color,Black,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,E-KEYBOARD-WHITE,color,White,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,E-KEYBOARD-BLUE,color,Blue,,,
E-MOUSE-BLACK,Electronics,simple,electronics,Electronics,,Orbit Labs Glide mouse Black,89,,1,1,2,1,"A lightweight wireless mouse with a 4000 Hz polling rate and PTFE feet. Fifty-eight grams, a week of battery, and feet that glide on any mat. The receiver lives inside the mouse when not in use.",A lightweight wireless mouse with a 4000 Hz polling rate and PTFE feet.,47,1,Black,Orbit Labs,Bluetooth|USB-C,,e-mouse-black.webp,e-mouse-black.webp,e-mouse-black.webp,e-mouse-black.webp,orbit-labs-glide-mouse-black,,,,,,
E-MOUSE-WHITE,Electronics,simple,electronics,Electronics,,Orbit Labs Glide mouse White,89,,1,1,2,1,"A lightweight wireless mouse with a 4000 Hz polling rate and PTFE feet. Fifty-eight grams, a week of battery, and feet that glide on any mat. The receiver lives inside the mouse when not in use.",A lightweight wireless mouse with a 4000 Hz polling rate and PTFE feet.,13,1,White,Orbit Labs,Bluetooth|USB-C,,e-mouse-white.webp,e-mouse-white.webp,e-mouse-white.webp,e-mouse-white.webp,orbit-labs-glide-mouse-white,,,,,,
E-MOUSE,Electronics,configurable,electronics,Electronics,Computing,Orbit Labs Glide mouse,89,,1,4,2,1,"A lightweight wireless mouse with a 4000 Hz polling rate and PTFE feet. Fifty-eight grams, a week of battery, and feet that glide on any mat. The receiver lives inside the mouse when not in use.",A lightweight wireless mouse with a 4000 Hz polling rate and PTFE feet.,0,1,,Orbit Labs,Bluetooth|USB-C,,e-mouse-black.webp,e-mouse-black.webp,e-mouse-black.webp,e-mouse-black.webp,orbit-labs-glide-mouse,E-MOUSE-BLACK,color,Black,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,E-MOUSE-WHITE,color,White,,,
E-DOCK,Electronics,simple,electronics,Electronics,Computing,Voltline Thunderbolt dock,249,,1,4,2,1,"A Thunderbolt dock with two displays, ten ports and 96 W of charging. One cable from the laptop to the dock, and the desk is ready. Two 4K displays at 60 Hz.","A Thunderbolt dock with two displays, ten ports and 96 W of charging.",32,1,Silver,Voltline,Thunderbolt|USB-C|HDMI,,e-dock.webp,e-dock.webp,e-dock.webp,e-dock.webp,voltline-thunderbolt-dock,,,,,,
,,,,Electronics,Accessories,,,,,,,,,,,,,,,,,,,,,,,,,,
E-SSD-1-TB,Electronics,simple,electronics,Electronics,,Voltline portable SSD 1 TB,129,,1,1,2,1,"A rugged USB-C SSD with 2000 MB/s reads, in a rubber sleeve. Two terabytes in a case that survives a drop from two metres. The USB-C cable is in the box.","A rugged USB-C SSD with 2000 MB/s reads, in a rubber sleeve.",21,1,Charcoal,Voltline,USB-C,1 TB,e-ssd.webp,e-ssd.webp,e-ssd.webp,e-ssd.webp,voltline-portable-ssd-1-tb,,,,,,
E-SSD-2-TB,Electronics,simple,electronics,Electronics,,Voltline portable SSD 2 TB,129,,1,1,2,1,"A rugged USB-C SSD with 2000 MB/s reads, in a rubber sleeve. Two terabytes in a case that survives a drop from two metres. The USB-C cable is in the box.","A rugged USB-C SSD with 2000 MB/s reads, in a rubber sleeve.",54,1,Charcoal,Voltline,USB-C,2 TB,e-ssd.webp,e-ssd.webp,e-ssd.webp,e-ssd.webp,voltline-portable-ssd-2-tb,,,,,,
E-SSD,Electronics,configurable,electronics,Electronics,Computing,Voltline portable SSD,129,,1,4,2,1,"A rugged USB-C SSD with 2000 MB/s reads, in a rubber sleeve. Two terabytes in a case that survives a drop from two metres. The USB-C cable is in the box.","A rugged USB-C SSD with 2000 MB/s reads, in a rubber sleeve.",0,1,Charcoal,Voltline,USB-C,,e-ssd.webp,e-ssd.webp,e-ssd.webp,e-ssd.webp,voltline-portable-ssd,E-SSD-1-TB,storage,1 TB,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,E-SSD-2-TB,storage,2 TB,,,
,,,,Electronics,Accessories,,,,,,,,,,,,,,,,,,,,,,,,,,
E-WEBCAM,Electronics,simple,electronics,Electronics,Computing,Tessera 4K webcam,119,,1,4,2,1,"A 4K webcam with a large sensor and a privacy shutter. The sensor handles a dark room without grain. Slide the shutter shut and it is a lens cap, not a promise.",A 4K webcam with a large sensor and a privacy shutter.,24,1,Black,Tessera,USB-C,,e-webcam.webp,e-webcam.webp,e-webcam.webp,e-webcam.webp,tessera-4k-webcam,,,,,,
E-CAMERA-BODY,Electronics,simple,electronics,Electronics,Cameras,Halide M1 mirrorless camera,1499,,1,4,2,1,"A full-frame mirrorless body with in-body stabilisation and a quiet shutter. Twenty-four megapixels, dual card slots and a viewfinder that does not lag. The body is sealed against rain.",A full-frame mirrorless body with in-body stabilisation and a quiet shutter.,46,1,Black,Halide,Wi-Fi|USB-C|Bluetooth,,e-camera-body.webp,e-camera-body.webp,e-camera-body.webp,e-camera-body.webp,halide-m1-mirrorless-camera,,,,,,
E-LENS-35,Electronics,simple,electronics,Electronics,Cameras,Halide 35 mm f/1.8 lens,549,,1,4,2,1,"A compact 35 mm prime with fast, silent focus. The one-lens travel kit. Sharp wide open, close focusing to 25 cm, and small enough for a jacket pocket. Weather sealed at the mount.","A compact 35 mm prime with fast, silent focus.",32,1,Black,Halide,Wired,,e-lens-35.webp,e-lens-35.webp,e-lens-35.webp,e-lens-35.webp,halide-35-mm-f-1-8-lens,,,,,,
E-LENS-85,Electronics,simple,electronics,Electronics,Cameras,Halide 85 mm f/1.4 lens,999,,1,4,2,1,A portrait prime with creamy bokeh and weather sealing. Wide open it separates a face from a busy background. Focus is fast enough for children and dogs.,A portrait prime with creamy bokeh and weather sealing.,17,1,Black,Halide,,,e-lens-85.webp,e-lens-85.webp,e-lens-85.webp,e-lens-85.webp,halide-85-mm-f-1-4-lens,,,,,,
E-LENS-2470,Electronics,simple,electronics,Electronics,Cameras,Halide 24-70 mm f/2.8 lens,1299,,1,4,2,1,"The standard zoom, sharp at every stop. Weddings, landscapes and everything between. Weather sealed, with a lock switch for the zoom ring.","The standard zoom, sharp at every stop.",43,1,Black,Halide,,,e-lens-2470.webp,e-lens-2470.webp,e-lens-2470.webp,e-lens-2470.webp,halide-24-70-mm-f-2-8-lens,,,,,,
E-COMPACT-CAM,Electronics,simple,electronics,Electronics,Cameras,Halide Pocket compact camera,799,,1,4,2,1,"A pocket camera with a one-inch sensor and a fast lens. Better than your phone, fits the same pocket. A real zoom, a real flash and a battery that lasts a day out. Raw files, if you want them.",A pocket camera with a one-inch sensor and a fast lens.,14,1,Silver,Halide,Wi-Fi|USB-C,,e-compact-cam.webp,e-compact-cam.webp,e-compact-cam.webp,e-compact-cam.webp,halide-pocket-compact-camera,,,,,,
E-ACTION-CAM,Electronics,simple,electronics,Electronics,Cameras,Halide Go action camera,349,,1,4,2,1,A waterproof action camera with 5K video and horizon lock. Waterproof to ten metres without a case. Horizon lock keeps the video level on a bike or a board.,A waterproof action camera with 5K video and horizon lock.,42,1,Black,Halide,Wi-Fi|Bluetooth|USB-C,,e-action-cam.webp,e-action-cam.webp,e-action-cam.webp,e-action-cam.webp,halide-go-action-camera,,,,,,
E-TRIPOD,Electronics,simple,electronics,Electronics,Cameras,Halide carbon travel tripod,229,,1,4,2,1,A carbon fibre tripod that folds to 40 cm and holds 10 kg. The legs fold back over the head to fit a daypack. The centre column reverses for low shots.,A carbon fibre tripod that folds to 40 cm and holds 10 kg.,22,1,Black,Halide,,,e-tripod.webp,e-tripod.webp,e-tripod.webp,e-tripod.webp,halide-carbon-travel-tripod,,,,,,
,,,,Electronics,Accessories,,,,,,,,,,,,,,,,,,,,,,,,,,
E-CAM-BAG-CHARCOAL,Electronics,simple,electronics,Electronics,,Halide sling bag Charcoal,89,,1,1,2,1,"A six-litre sling for a body and two lenses, with a weather flap. The camera comes out with one hand, and the flap keeps rain out. The strap swaps sides for left-handers.","A six-litre sling for a body and two lenses, with a weather flap.",46,1,Charcoal,Halide,,,e-cam-bag-charcoal.webp,e-cam-bag-charcoal.webp,e-cam-bag-charcoal.webp,e-cam-bag-charcoal.webp,halide-sling-bag-charcoal,,,,,,
E-CAM-BAG-KHAKI,Electronics,simple,electronics,Electronics,,Halide sling bag Khaki,89,,1,1,2,1,"A six-litre sling for a body and two lenses, with a weather flap. The camera comes out with one hand, and the flap keeps rain out. The strap swaps sides for left-handers.","A six-litre sling for a body and two lenses, with a weather flap.",30,1,Khaki,Halide,,,e-cam-bag-khaki.webp,e-cam-bag-khaki.webp,e-cam-bag-khaki.webp,e-cam-bag-khaki.webp,halide-sling-bag-khaki,,,,,,
E-CAM-BAG,Electronics,configurable,electronics,Electronics,Cameras,Halide sling bag,89,,1,4,2,1,"A six-litre sling for a body and two lenses, with a weather flap. The camera comes out with one hand, and the flap keeps rain out. The strap swaps sides for left-handers.","A six-litre sling for a body and two lenses, with a weather flap.",0,1,,Halide,,,e-cam-bag-charcoal.webp,e-cam-bag-charcoal.webp,e-cam-bag-charcoal.webp,e-cam-bag-charcoal.webp,halide-sling-bag,E-CAM-BAG-CHARCOAL,color,Charcoal,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,E-CAM-BAG-KHAKI,color,Khaki,,,
,,,,Electronics,Accessories,,,,,,,,,,,,,,,,,,,,,,,,,,
E-SD-CARD-128-GB,Electronics,simple,electronics,Electronics,,Voltline SD card 128 GB,49,,1,1,2,1,A V90 SD card for 8K video and fast bursts. Two hundred and fifty-six gigabytes with sustained writes for 8K video. Rated for ten thousand insertions.,A V90 SD card for 8K video and fast bursts.,57,1,Black,Voltline,,128 GB,e-sd-card.webp,e-sd-card.webp,e-sd-card.webp,e-sd-card.webp,voltline-sd-card-128-gb,,,,,,
