sku,_attribute_set,_type,_product_websites,_root_category,_category,name,price,special_price,status,visibility,tax_class_id,weight,description,short_description,qty,is_in_stock,skin_type,volume,scent,color,_media_image,image,small_image,thumbnail,url_key,_super_products_sku,_super_attribute_code,_super_attribute_option,_associated_sku,_associated_default_qty,_associated_position
G-VIT-C-30-ML,Beauty,simple,beauty,Beauty,,Vitamin C serum 30 ml,42,,1,1,2,0.2,"Ten percent stabilised vitamin C with ferulic acid, in a dark glass dropper. Four drops on clean skin in the morning, before sunscreen. The dark glass keeps the formula fresh for three months after opening.","Ten percent stabilised vitamin C with ferulic acid, in a dark glass dropper.",16,1,All skin|Combination,30 ml,Unscented,,g-vit-c.webp,g-vit-c.webp,g-vit-c.webp,g-vit-c.webp,vitamin-c-serum-30-ml,,,,,,
G-VIT-C-50-ML,Beauty,simple,beauty,Beauty,,Vitamin C serum 50 ml,42,,1,1,2,0.2,"Ten percent stabilised vitamin C with ferulic acid, in a dark glass dropper. Four drops on clean skin in the morning, before sunscreen. The dark glass keeps the formula fresh for three months after opening.","Ten percent stabilised vitamin C with ferulic acid, in a dark glass dropper.",57,1,All skin|Combination,50 ml,Unscented,,g-vit-c.webp,g-vit-c.webp,g-vit-c.webp,g-vit-c.webp,vitamin-c-serum-50-ml,,,,,,
G-VIT-C,Beauty,configurable,beauty,Beauty,Serums,Vitamin C serum,42,,1,4,2,0.2,"Ten percent stabilised vitamin C with ferulic acid, in a dark glass dropper. Four drops on clean skin in the morning, before sunscreen. The dark glass keeps the formula fresh for three months after opening.","Ten percent stabilised vitamin C with ferulic acid, in a dark glass dropper.",0,1,All skin|Combination,,Unscented,,g-vit-c.webp,g-vit-c.webp,g-vit-c.webp,g-vit-c.webp,vitamin-c-serum,G-VIT-C-30-ML,volume,30 ml,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,G-VIT-C-50-ML,volume,50 ml,,,
G-HA-SERUM-30-ML,Beauty,simple,beauty,Beauty,,Hyaluronic serum 30 ml,32,,1,1,2,0.2,Three weights of hyaluronic acid for water that stays. Press it on damp skin so the acids have water to hold. It sits well under any cream.,Three weights of hyaluronic acid for water that stays.,56,1,All skin|Dry,30 ml,Unscented,,g-ha-serum.webp,g-ha-serum.webp,g-ha-serum.webp,g-ha-serum.webp,hyaluronic-serum-30-ml,,,,,,
G-HA-SERUM-50-ML,Beauty,simple,beauty,Beauty,,Hyaluronic serum 50 ml,32,,1,1,2,0.2,Three weights of hyaluronic acid for water that stays. Press it on damp skin so the acids have water to hold. It sits well under any cream.,Three weights of hyaluronic acid for water that stays.,17,1,All skin|Dry,50 ml,Unscented,,g-ha-serum.webp,g-ha-serum.webp,g-ha-serum.webp,g-ha-serum.webp,hyaluronic-serum-50-ml,,,,,,
G-HA-SERUM,Beauty,configurable,beauty,Beauty,Serums,Hyaluronic serum,32,,1,4,2,0.2,Three weights of hyaluronic acid for water that stays. Press it on damp skin so the acids have water to hold. It sits well under any cream.,Three weights of hyaluronic acid for water that stays.,0,1,All skin|Dry,,Unscented,,g-ha-serum.webp,g-ha-serum.webp,g-ha-serum.webp,g-ha-serum.webp,hyaluronic-serum,G-HA-SERUM-30-ML,volume,30 ml,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,G-HA-SERUM-50-ML,volume,50 ml,,,
G-RETINAL,Beauty,simple,beauty,Beauty,Serums,Retinal night serum,48,,1,4,2,0.2,"Point one percent retinaldehyde in squalane, for evenings, twice a week to start. Start with two nights a week and add a night every fortnight. Always wear sunscreen the next day.","Point one percent retinaldehyde in squalane, for evenings, twice a week to start.",30,1,All skin|Combination,30 ml,Unscented,,g-retinal.webp,g-retinal.webp,g-retinal.webp,g-retinal.webp,retinal-night-serum,,,,,,
G-NIACINAMIDE,Beauty,simple,beauty,Beauty,Serums,Niacinamide serum,26,,1,4,2,0.2,"Five percent niacinamide with zinc, for pores and shine. A pea-sized amount for the T zone, morning or evening. Results show around week six.","Five percent niacinamide with zinc, for pores and shine.",59,1,Oily|Combination,30 ml,Unscented,,g-niacinamide.webp,g-niacinamide.webp,g-niacinamide.webp,g-niacinamide.webp,niacinamide-serum,,,,,,
G-PEPTIDE,Beauty,simple,beauty,Beauty,Serums,Peptide serum,52,,1,4,2,0.2,"A peptide blend for firmness, in a light lotion base. The lotion base makes it a serum and a light moisturiser in one step. Good for the neck as well.","A peptide blend for firmness, in a light lotion base.",14,1,All skin|Dry,30 ml,Unscented,,g-peptide.webp,g-peptide.webp,g-peptide.webp,g-peptide.webp,peptide-serum,,,,,,
G-EYE-SERUM,Beauty,simple,beauty,Beauty,Serums,Eye serum,36,,1,4,2,0.2,Caffeine and peptides with a cool steel tip. Keep it in the fridge and roll the tip from the inner corner outward. Two seconds per eye is enough.,Caffeine and peptides with a cool steel tip.,48,1,All skin,30 ml,Unscented,,g-eye-serum.webp,g-eye-serum.webp,g-eye-serum.webp,g-eye-serum.webp,eye-serum,,,,,,
G-DAY-CREAM-50-ML,Beauty,simple,beauty,Beauty,,Day cream SPF 30 50 ml,34,,1,1,2,0.2,"A light mineral sunscreen cream with no white cast. Zinc oxide only, tinted just enough to disappear on most skin tones. Reapply after swimming.",A light mineral sunscreen cream with no white cast.,20,1,All skin|Combination,50 ml,Unscented,,g-day-cream.webp,g-day-cream.webp,g-day-cream.webp,g-day-cream.webp,day-cream-spf-30-50-ml,,,,,,
G-DAY-CREAM-100-ML,Beauty,simple,beauty,Beauty,,Day cream SPF 30 100 ml,34,,1,1,2,0.2,"A light mineral sunscreen cream with no white cast. Zinc oxide only, tinted just enough to disappear on most skin tones. Reapply after swimming.",A light mineral sunscreen cream with no white cast.,55,1,All skin|Combination,100 ml,Unscented,,g-day-cream.webp,g-day-cream.webp,g-day-cream.webp,g-day-cream.webp,day-cream-spf-30-100-ml,,,,,,
G-DAY-CREAM,Beauty,configurable,beauty,Beauty,Moisturisers,Day cream SPF 30,34,,1,4,2,0.2,"A light mineral sunscreen cream with no white cast. Zinc oxide only, tinted just enough to disappear on most skin tones. Reapply after swimming.",A light mineral sunscreen cream with no white cast.,0,1,All skin|Combination,,Unscented,,g-day-cream.webp,g-day-cream.webp,g-day-cream.webp,g-day-cream.webp,day-cream-spf-30,G-DAY-CREAM-50-ML,volume,50 ml,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,G-DAY-CREAM-100-ML,volume,100 ml,,,
G-NIGHT-CREAM-50-ML,Beauty,simple,beauty,Beauty,,Night cream 50 ml,38,,1,1,2,0.2,"Shea, ceramides and oat. The original ten-ingredient jar. A thick cream that softens into the skin overnight. Ten ingredients on the label, nothing hidden behind a fragrance.","Shea, ceramides and oat.",45,1,Dry|Sensitive,50 ml,Unscented,,g-night-cream.webp,g-night-cream.webp,g-night-cream.webp,g-night-cream.webp,night-cream-50-ml,,,,,,
G-NIGHT-CREAM-100-ML,Beauty,simple,beauty,Beauty,,Night cream 100 ml,38,,1,1,2,0.2,"Shea, ceramides and oat. The original ten-ingredient jar. A thick cream that softens into the skin overnight. Ten ingredients on the label, nothing hidden behind a fragrance.","Shea, ceramides and oat.",45,1,Dry|Sensitive,100 ml,Unscented,,g-night-cream.webp,g-night-cream.webp,g-night-cream.webp,g-night-cream.webp,night-cream-100-ml,,,,,,
G-NIGHT-CREAM,Beauty,configurable,beauty,Beauty,Moisturisers,Night cream,38,,1,4,2,0.2,"Shea, ceramides and oat. The original ten-ingredient jar. A thick cream that softens into the skin overnight. Ten ingredients on the label, nothing hidden behind a fragrance.","Shea, ceramides and oat.",0,1,Dry|Sensitive,,Unscented,,g-night-cream.webp,g-night-cream.webp,g-night-cream.webp,g-night-cream.webp,night-cream,G-NIGHT-CREAM-50-ML,volume,50 ml,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,G-NIGHT-CREAM-100-ML,volume,100 ml,,,
G-LIGHT-LOTION,Beauty,simple,beauty,Beauty,Moisturisers,Light lotion,28,,1,4,2,0.2,"A gel-cream for summer and oily skin, absorbs in seconds. It gives water without oil, so makeup sits well over it. The tube fits a gym bag.","A gel-cream for summer and oily skin, absorbs in seconds.",50,1,Oily|Combination,100 ml,Unscented,,g-light-lotion.webp,g-light-lotion.webp,g-light-lotion.webp,g-light-lotion.webp,light-lotion,,,,,,
G-BALM,Beauty,simple,beauty,Beauty,Moisturisers,Repair balm,18,,1,4,2,0.2,"A thick balm for lips, cuticles, elbows and windburn. A little on the fingertip goes a long way. Keep one in the coat pocket from October to March.","A thick balm for lips, cuticles, elbows and windburn.",9,1,All skin|Dry,30 ml,Unscented,,g-balm.webp,g-balm.webp,g-balm.webp,g-balm.webp,repair-balm,,,,,,
,,,,Beauty,Body,,,,,,,,,,,,,,,,,,,,,,,,,,
G-FACE-OIL-UNSCENTED,Beauty,simple,beauty,Beauty,,Face oil Unscented,40,,1,1,2,0.2,"Rosehip, squalane and a drop of neroli, for the last step. Two drops pressed over the night cream, or mixed into it. The neroli fades in a minute.","Rosehip, squalane and a drop of neroli, for the last step.",48,1,Dry|Sensitive,30 ml,Unscented,,g-face-oil.webp,g-face-oil.webp,g-face-oil.webp,g-face-oil.webp,face-oil-unscented,,,,,,
G-FACE-OIL-NEROLI,Beauty,simple,beauty,Beauty,,Face oil Neroli,40,,1,1,2,0.2,"Rosehip, squalane and a drop of neroli, for the last step. Two drops pressed over the night cream, or mixed into it. The neroli fades in a minute.","Rosehip, squalane and a drop of neroli, for the last step.",8,1,Dry|Sensitive,30 ml,Neroli,,g-face-oil.webp,g-face-oil.webp,g-face-oil.webp,g-face-oil.webp,face-oil-neroli,,,,,,
G-FACE-OIL,Beauty,configurable,beauty,Beauty,Moisturisers,Face oil,40,,1,4,2,0.2,"Rosehip, squalane and a drop of neroli, for the last step. Two drops pressed over the night cream, or mixed into it. The neroli fades in a minute.","Rosehip, squalane and a drop of neroli, for the last step.",0,1,Dry|Sensitive,30 ml,,,g-face-oil.webp,g-face-oil.webp,g-face-oil.webp,g-face-oil.webp,face-oil,G-FACE-OIL-UNSCENTED,scent,Unscented,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,G-FACE-OIL-NEROLI,scent,Neroli,,,
G-FACE-MIST,Beauty,simple,beauty,Beauty,Moisturisers,Hydrating mist,20,,1,4,2,0.2,"Rose water and glycerin, for planes and afternoons. A fine spray from thirty centimetres, eyes closed. It sets makeup and revives it at four in the afternoon.","Rose water and glycerin, for planes and afternoons.",59,1,All skin,100 ml,Rose,,g-face-mist.webp,g-face-mist.webp,g-face-mist.webp,g-face-mist.webp,hydrating-mist,,,,,,
G-BODY-WASH-UNSCENTED,Beauty,simple,beauty,Beauty,,Body wash Unscented,22,,1,1,2,0.2,"A creamy wash with oat and glycerin in a refillable bottle. The glass bottle comes once and the refill pouches come after. The oat leaves the skin soft, not slippery.",A creamy wash with oat and glycerin in a refillable bottle.,35,1,All skin,250 ml,Unscented,,g-body-wash.webp,g-body-wash.webp,g-body-wash.webp,g-body-wash.webp,body-wash-unscented,,,,,,
G-BODY-WASH-FIG,Beauty,simple,beauty,Beauty,,Body wash Fig,22,,1,1,2,0.2,"A creamy wash with oat and glycerin in a refillable bottle. The glass bottle comes once and the refill pouches come after. The oat leaves the skin soft, not slippery.",A creamy wash with oat and glycerin in a refillable bottle.,32,1,All skin,250 ml,Fig,,g-body-wash.webp,g-body-wash.webp,g-body-wash.webp,g-body-wash.webp,body-wash-fig,,,,,,
G-BODY-WASH-CEDAR,Beauty,simple,beauty,Beauty,,Body wash Cedar,22,,1,1,2,0.2,"A creamy wash with oat and glycerin in a refillable bottle. The glass bottle comes once and the refill pouches come after. The oat leaves the skin soft, not slippery.",A creamy wash with oat and glycerin in a refillable bottle.,26,1,All skin,250 ml,Cedar,,g-body-wash.webp,g-body-wash.webp,g-body-wash.webp,g-body-wash.webp,body-wash-cedar,,,,,,
G-BODY-WASH,Beauty,configurable,beauty,Beauty,Body,Body wash,22,,1,4,2,0.2,"A creamy wash with oat and glycerin in a refillable bottle. The glass bottle comes once and the refill pouches come after. The oat leaves the skin soft, not slippery.",A creamy wash with oat and glycerin in a refillable bottle.,0,1,All skin,250 ml,,,g-body-wash.webp,g-body-wash.webp,g-body-wash.webp,g-body-wash.webp,body-wash,G-BODY-WASH-UNSCENTED,scent,Unscented,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,G-BODY-WASH-FIG,scent,Fig,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,G-BODY-WASH-CEDAR,scent,Cedar,,,
G-BODY-OIL-NEROLI,Beauty,simple,beauty,Beauty,,Dry body oil Neroli,30,,1,1,2,0.2,"A fast-absorbing oil for after the shower, no residue. Spray on damp skin after the shower and get dressed straight away. It sinks in before the towel is folded.","A fast-absorbing oil for after the shower, no residue.",19,1,All skin|Dry,100 ml,Neroli,,g-body-oil.webp,g-body-oil.webp,g-body-oil.webp,g-body-oil.webp,dry-body-oil-neroli,,,,,,
G-BODY-OIL-FIG,Beauty,simple,beauty,Beauty,,Dry body oil Fig,30,,1,1,2,0.2,"A fast-absorbing oil for after the shower, no residue. Spray on damp skin after the shower and get dressed straight away. It sinks in before the towel is folded.","A fast-absorbing oil for after the shower, no residue.",53,1,All skin|Dry,100 ml,Fig,,g-body-oil.webp,g-body-oil.webp,g-body-oil.webp,g-body-oil.webp,dry-body-oil-fig,,,,,,
G-BODY-OIL,Beauty,configurable,beauty,Beauty,Body,Dry body oil,30,,1,4,2,0.2,"A fast-absorbing oil for after the shower, no residue. Spray on damp skin after the shower and get dressed straight away. It sinks in before the towel is folded.","A fast-absorbing oil for after the shower, no residue.",0,1,All skin|Dry,100 ml,,,g-body-oil.webp,g-body-oil.webp,g-body-oil.webp,g-body-oil.webp,dry-body-oil,G-BODY-OIL-NEROLI,scent,Neroli,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,G-BODY-OIL-FIG,scent,Fig,,,
G-HAND-CREAM-UNSCENTED,Beauty,simple,beauty,Beauty,,Hand cream Unscented,14,,1,1,2,0.2,A non-greasy hand cream in an aluminium tube. It absorbs before you touch the keyboard. The tube survives a handbag for a year.,A non-greasy hand cream in an aluminium tube.,44,1,All skin,50 ml,Unscented,,g-hand-cream.webp,g-hand-cream.webp,g-hand-cream.webp,g-hand-cream.webp,hand-cream-unscented,,,,,,
G-HAND-CREAM-ROSE,Beauty,simple,beauty,Beauty,,Hand cream Rose,14,,1,1,2,0.2,A non-greasy hand cream in an aluminium tube. It absorbs before you touch the keyboard. The tube survives a handbag for a year.,A non-greasy hand cream in an aluminium tube.,59,1,All skin,50 ml,Rose,,g-hand-cream.webp,g-hand-cream.webp,g-hand-cream.webp,g-hand-cream.webp,hand-cream-rose,,,,,,
G-HAND-CREAM-CITRUS,Beauty,simple,beauty,Beauty,,Hand cream Citrus,14,,1,1,2,0.2,A non-greasy hand cream in an aluminium tube. It absorbs before you touch the keyboard. The tube survives a handbag for a year.,A non-greasy hand cream in an aluminium tube.,14,1,All skin,50 ml,Citrus,,g-hand-cream.webp,g-hand-cream.webp,g-hand-cream.webp,g-hand-cream.webp,hand-cream-citrus,,,,,,
G-HAND-CREAM,Beauty,configurable,beauty,Beauty,Body,Hand cream,14,,1,4,2,0.2,A non-greasy hand cream in an aluminium tube. It absorbs before you touch the keyboard. The tube survives a handbag for a year.,A non-greasy hand cream in an aluminium tube.,0,1,All skin,50 ml,,,g-hand-cream.webp,g-hand-cream.webp,g-hand-cream.webp,g-hand-cream.webp,hand-cream,G-HAND-CREAM-UNSCENTED,scent,Unscented,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,G-HAND-CREAM-ROSE,scent,Rose,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,G-HAND-CREAM-CITRUS,scent,Citrus,,,
,,,,Beauty,Sets,,,,,,,,,,,,,,,,,,,,,,,,,,
G-BODY-CREAM,Beauty,simple,beauty,Beauty,Body,Body cream,26,,1,4,2,0.2,"Shea and oat for winter skin, in a wide jar. Rich enough for shins in January and elbows all year. The wide jar makes it easy to reach the last spoon.","Shea and oat for winter skin, in a wide jar.",33,1,Dry|Sensitive,200 ml,Unscented,,g-body-cream.webp,g-body-cream.webp,g-body-cream.webp,g-body-cream.webp,body-cream,,,,,,
G-SOAP-BAR-UNSCENTED,Beauty,simple,beauty,Beauty,,Cold-process soap Unscented,9,,1,1,2,0.2,"Olive and coconut oil soap, cured six weeks. The bar keeps its shape in the shower if it rests on a slatted dish. Unscented, so it suits the whole family.","Olive and coconut oil soap, cured six weeks.",32,1,All skin,,Unscented,,g-soap-bar.webp,g-soap-bar.webp,g-soap-bar.webp,g-soap-bar.webp,cold-process-soap-unscented,,,,,,
G-SOAP-BAR-CEDAR,Beauty,simple,beauty,Beauty,,Cold-process soap Cedar,9,,1,1,2,0.2,"Olive and coconut oil soap, cured six weeks. The bar keeps its shape in the shower if it rests on a slatted dish. Unscented, so it suits the whole family.","Olive and coconut oil soap, cured six weeks.",13,1,All skin,,Cedar,,g-soap-bar.webp,g-soap-bar.webp,g-soap-bar.webp,g-soap-bar.webp,cold-process-soap-cedar,,,,,,
G-SOAP-BAR-CITRUS,Beauty,simple,beauty,Beauty,,Cold-process soap Citrus,9,,1,1,2,0.2,"Olive and coconut oil soap, cured six weeks. The bar keeps its shape in the shower if it rests on a slatted dish. Unscented, so it suits the whole family.","Olive and coconut oil soap, cured six weeks.",35,1,All skin,,Citrus,,g-soap-bar.webp,g-soap-bar.webp,g-soap-bar.webp,g-soap-bar.webp,cold-process-soap-citrus,,,,,,
G-SOAP-BAR,Beauty,configurable,beauty,Beauty,Body,Cold-process soap,9,,1,4,2,0.2,"Olive and coconut oil soap, cured six weeks. The bar keeps its shape in the shower if it rests on a slatted dish. Unscented, so it suits the whole family.","Olive and coconut oil soap, cured six weeks.",0,1,All skin,,,,g-soap-bar.webp,g-soap-bar.webp,g-soap-bar.webp,g-soap-bar.webp,cold-process-soap,G-SOAP-BAR-UNSCENTED,scent,Unscented,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,G-SOAP-BAR-CEDAR,scent,Cedar,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,G-SOAP-BAR-CITRUS,scent,Citrus,,,
G-DEODORANT-UNSCENTED,Beauty,simple,beauty,Beauty,,Cream deodorant Unscented,15,,1,1,2,0.2,A baking-soda-free cream deodorant in a glass jar. A pea-sized amount warmed between the fingers is enough for a day. It does not stain shirts.,A baking-soda-free cream deodorant in a glass jar.,20,1,All skin|Sensitive,50 ml,Unscented,,g-deodorant.webp,g-deodorant.webp,g-deodorant.webp,g-deodorant.webp,cream-deodorant-unscented,,,,,,
G-DEODORANT-CEDAR,Beauty,simple,beauty,Beauty,,Cream deodorant Cedar,15,,1,1,2,0.2,A baking-soda-free cream deodorant in a glass jar. A pea-sized amount warmed between the fingers is enough for a day. It does not stain shirts.,A baking-soda-free cream deodorant in a glass jar.,47,1,All skin|Sensitive,50 ml,Cedar,,g-deodorant.webp,g-deodorant.webp,g-deodorant.webp,g-deodorant.webp,cream-deodorant-cedar,,,,,,
G-DEODORANT,Beauty,configurable,beauty,Beauty,Body,Cream deodorant,15,,1,4,2,0.2,A baking-soda-free cream deodorant in a glass jar. A pea-sized amount warmed between the fingers is enough for a day. It does not stain shirts.,A baking-soda-free cream deodorant in a glass jar.,0,1,All skin|Sensitive,50 ml,,,g-deodorant.webp,g-deodorant.webp,g-deodorant.webp,g-deodorant.webp,cream-deodorant,G-DEODORANT-UNSCENTED,scent,Unscented,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,G-DEODORANT-CEDAR,scent,Cedar,,,
G-LIP-BALM,Beauty,simple,beauty,Beauty,Body,Lip balm,8,,1,4,2,0.2,Beeswax and shea in a paper tube. The paper tube pushes up from the bottom and goes in the compost when it is done. Faintly sweet from the beeswax.,Beeswax and shea in a paper tube.,31,1,All skin,,Unscented,,g-lip-balm.webp,g-lip-balm.webp,g-lip-balm.webp,g-lip-balm.webp,lip-balm,,,,,,
,,,,Beauty,Sets,,,,,,,,,,,,,,,,,,,,,,,,,,
G-EDP-FIG-30-ML,Beauty,simple,beauty,Beauty,,Fig eau de parfum 30 ml,68,,1,1,2,0.2,"Green fig, milk and cedar. Five notes. It opens green and settles into milk and cedar after an hour. Lasts a working day on skin.","Green fig, milk and cedar.",59,1,,30 ml,Fig,,g-edp-fig.webp,g-edp-fig.webp,g-edp-fig.webp,g-edp-fig.webp,fig-eau-de-parfum-30-ml,,,,,,
G-EDP-FIG-50-ML,Beauty,simple,beauty,Beauty,,Fig eau de parfum 50 ml,68,,1,1,2,0.2,"Green fig, milk and cedar. Five notes. It opens green and settles into milk and cedar after an hour. Lasts a working day on skin.","Green fig, milk and cedar.",17,1,,50 ml,Fig,,g-edp-fig.webp,g-edp-fig.webp,g-edp-fig.webp,g-edp-fig.webp,fig-eau-de-parfum-50-ml,,,,,,
G-EDP-FIG,Beauty,configurable,beauty,Beauty,Fragrance,Fig eau de parfum,68,,1,4,2,0.2,"Green fig, milk and cedar. Five notes. It opens green and settles into milk and cedar after an hour. Lasts a working day on skin.","Green fig, milk and cedar.",0,1,,,Fig,,g-edp-fig.webp,g-edp-fig.webp,g-edp-fig.webp,g-edp-fig.webp,fig-eau-de-parfum,G-EDP-FIG-30-ML,volume,30 ml,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,G-EDP-FIG-50-ML,volume,50 ml,,,
G-EDP-NEROLI-30-ML,Beauty,simple,beauty,Beauty,,Neroli eau de parfum 30 ml,68,,1,1,2,0.2,"Orange blossom, petitgrain and a little musk. Bright in the morning, soft by lunch. Made for warm weather and white shirts.","Orange blossom, petitgrain and a little musk.",51,1,,30 ml,Neroli,,g-edp-neroli.webp,g-edp-neroli.webp,g-edp-neroli.webp,g-edp-neroli.webp,neroli-eau-de-parfum-30-ml,,,,,,
G-EDP-NEROLI-50-ML,Beauty,simple,beauty,Beauty,,Neroli eau de parfum 50 ml,68,,1,1,2,0.2,"Orange blossom, petitgrain and a little musk. Bright in the morning, soft by lunch. Made for warm weather and white shirts.","Orange blossom, petitgrain and a little musk.",56,1,,50 ml,Neroli,,g-edp-neroli.webp,g-edp-neroli.webp,g-edp-neroli.webp,g-edp-neroli.webp,neroli-eau-de-parfum-50-ml,,,,,,
