sku,_attribute_set,_type,_product_websites,_root_category,_category,name,price,special_price,status,visibility,tax_class_id,weight,description,short_description,qty,is_in_stock,material,stone,size,color,_media_image,image,small_image,thumbnail,url_key,_super_products_sku,_super_attribute_code,_super_attribute_option,_associated_sku,_associated_default_qty,_associated_position
J-ONYX-RING-52,Jewelry,simple,jewelry,Jewelry,,Onyx dome ring 52,110,,1,1,2,0.1,A black onyx cabochon in a silver dome setting. The cabochon is 10 mm across and the dome sits low on the finger. Sterling silver.,A black onyx cabochon in a silver dome setting.,56,1,Sterling silver,Onyx,52,Silver,j-onyx-ring.webp,j-onyx-ring.webp,j-onyx-ring.webp,j-onyx-ring.webp,onyx-dome-ring-52,,,,,,
J-ONYX-RING-54,Jewelry,simple,jewelry,Jewelry,,Onyx dome ring 54,110,,1,1,2,0.1,A black onyx cabochon in a silver dome setting. The cabochon is 10 mm across and the dome sits low on the finger. Sterling silver.,A black onyx cabochon in a silver dome setting.,58,1,Sterling silver,Onyx,54,Silver,j-onyx-ring.webp,j-onyx-ring.webp,j-onyx-ring.webp,j-onyx-ring.webp,onyx-dome-ring-54,,,,,,
J-ONYX-RING-56,Jewelry,simple,jewelry,Jewelry,,Onyx dome ring 56,110,,1,1,2,0.1,A black onyx cabochon in a silver dome setting. The cabochon is 10 mm across and the dome sits low on the finger. Sterling silver.,A black onyx cabochon in a silver dome setting.,55,1,Sterling silver,Onyx,56,Silver,j-onyx-ring.webp,j-onyx-ring.webp,j-onyx-ring.webp,j-onyx-ring.webp,onyx-dome-ring-56,,,,,,
J-ONYX-RING-58,Jewelry,simple,jewelry,Jewelry,,Onyx dome ring 58,110,,1,1,2,0.1,A black onyx cabochon in a silver dome setting. The cabochon is 10 mm across and the dome sits low on the finger. Sterling silver.,A black onyx cabochon in a silver dome setting.,60,1,Sterling silver,Onyx,58,Silver,j-onyx-ring.webp,j-onyx-ring.webp,j-onyx-ring.webp,j-onyx-ring.webp,onyx-dome-ring-58,,,,,,
J-ONYX-RING,Jewelry,configurable,jewelry,Jewelry,Rings,Onyx dome ring,110,,1,4,2,0.1,A black onyx cabochon in a silver dome setting. The cabochon is 10 mm across and the dome sits low on the finger. Sterling silver.,A black onyx cabochon in a silver dome setting.,0,1,Sterling silver,Onyx,,Silver,j-onyx-ring.webp,j-onyx-ring.webp,j-onyx-ring.webp,j-onyx-ring.webp,onyx-dome-ring,J-ONYX-RING-48,size,48,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,J-ONYX-RING-50,size,50,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,J-ONYX-RING-52,size,52,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,J-ONYX-RING-54,size,54,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,J-ONYX-RING-56,size,56,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,J-ONYX-RING-58,size,58,,,
J-TWIST-RING-48,Jewelry,simple,jewelry,Jewelry,,Twist ring 48,130,,1,1,2,0.1,"Two thin bands twisted into one, in rose gold. Two 1.2 mm bands in 14 karat rose gold, soldered at the twist. Comfortable on its own or in a stack.","Two thin bands twisted into one, in rose gold.",48,1,Rose gold,None,48,Rose Gold,j-twist-ring.webp,j-twist-ring.webp,j-twist-ring.webp,j-twist-ring.webp,twist-ring-48,,,,,,
J-TWIST-RING-50,Jewelry,simple,jewelry,Jewelry,,Twist ring 50,130,,1,1,2,0.1,"Two thin bands twisted into one, in rose gold. Two 1.2 mm bands in 14 karat rose gold, soldered at the twist. Comfortable on its own or in a stack.","Two thin bands twisted into one, in rose gold.",10,1,Rose gold,None,50,Rose Gold,j-twist-ring.webp,j-twist-ring.webp,j-twist-ring.webp,j-twist-ring.webp,twist-ring-50,,,,,,
J-TWIST-RING-52,Jewelry,simple,jewelry,Jewelry,,Twist ring 52,130,,1,1,2,0.1,"Two thin bands twisted into one, in rose gold. Two 1.2 mm bands in 14 karat rose gold, soldered at the twist. Comfortable on its own or in a stack.","Two thin bands twisted into one, in rose gold.",14,1,Rose gold,None,52,Rose Gold,j-twist-ring.webp,j-twist-ring.webp,j-twist-ring.webp,j-twist-ring.webp,twist-ring-52,,,,,,
J-TWIST-RING-54,Jewelry,simple,jewelry,Jewelry,,Twist ring 54,130,,1,1,2,0.1,"Two thin bands twisted into one, in rose gold. Two 1.2 mm bands in 14 karat rose gold, soldered at the twist. Comfortable on its own or in a stack.","Two thin bands twisted into one, in rose gold.",11,1,Rose gold,None,54,Rose Gold,j-twist-ring.webp,j-twist-ring.webp,j-twist-ring.webp,j-twist-ring.webp,twist-ring-54,,,,,,
J-TWIST-RING-56,Jewelry,simple,jewelry,Jewelry,,Twist ring 56,130,,1,1,2,0.1,"Two thin bands twisted into one, in rose gold. Two 1.2 mm bands in 14 karat rose gold, soldered at the twist. Comfortable on its own or in a stack.","Two thin bands twisted into one, in rose gold.",31,1,Rose gold,None,56,Rose Gold,j-twist-ring.webp,j-twist-ring.webp,j-twist-ring.webp,j-twist-ring.webp,twist-ring-56,,,,,,
J-TWIST-RING-58,Jewelry,simple,jewelry,Jewelry,,Twist ring 58,130,,1,1,2,0.1,"Two thin bands twisted into one, in rose gold. Two 1.2 mm bands in 14 karat rose gold, soldered at the twist. Comfortable on its own or in a stack.","Two thin bands twisted into one, in rose gold.",30,1,Rose gold,None,58,Rose Gold,j-twist-ring.webp,j-twist-ring.webp,j-twist-ring.webp,j-twist-ring.webp,twist-ring-58,,,,,,
J-TWIST-RING,Jewelry,configurable,jewelry,Jewelry,Rings,Twist ring,130,,1,4,2,0.1,"Two thin bands twisted into one, in rose gold. Two 1.2 mm bands in 14 karat rose gold, soldered at the twist. Comfortable on its own or in a stack.","Two thin bands twisted into one, in rose gold.",0,1,Rose gold,None,,Rose Gold,j-twist-ring.webp,j-twist-ring.webp,j-twist-ring.webp,j-twist-ring.webp,twist-ring,J-TWIST-RING-48,size,48,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,J-TWIST-RING-50,size,50,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,J-TWIST-RING-52,size,52,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,J-TWIST-RING-54,size,54,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,J-TWIST-RING-56,size,56,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,J-TWIST-RING-58,size,58,,,
J-CHAIN-FINE,Jewelry,simple,jewelry,Jewelry,Necklaces,Fine cable chain,150,,1,4,2,0.1,"A 45 cm fine cable chain in recycled gold, the base for every pendant. A 1 mm cable chain with a spring clasp, in 14 karat recycled gold. Strong enough for a small pendant.","A 45 cm fine cable chain in recycled gold, the base for every pendant.",37,1,14k gold,None,,Gold,j-chain-fine.webp,j-chain-fine.webp,j-chain-fine.webp,j-chain-fine.webp,fine-cable-chain,,,,,,
J-PEARL-PENDANT,Jewelry,simple,jewelry,Jewelry,Necklaces,Single pearl pendant,130,,1,4,2,0.1,"One freshwater pearl on a fine gold chain. A 7 mm round freshwater pearl on a 45 cm chain. Gold filled, so the colour lasts.",One freshwater pearl on a fine gold chain.,23,1,Gold plated,Pearl,,Gold,j-pearl-pendant.webp,j-pearl-pendant.webp,j-pearl-pendant.webp,j-pearl-pendant.webp,single-pearl-pendant,,,,,,
,,,,Jewelry,Gifts,,,,,,,,,,,,,,,,,,,,,,,,,,
J-PEARL-STRAND,Jewelry,simple,jewelry,Jewelry,Necklaces,Freshwater pearl strand,260,,1,4,2,0.1,"A 42 cm strand of baroque freshwater pearls, knotted by hand. Each pearl is knotted on silk, so a break loses one pearl, not the strand. The clasp is a gold filled hook.","A 42 cm strand of baroque freshwater pearls, knotted by hand.",50,1,Gold plated,Pearl,,White,j-pearl-strand.webp,j-pearl-strand.webp,j-pearl-strand.webp,j-pearl-strand.webp,freshwater-pearl-strand,,,,,,
J-DISC-PENDANT,Jewelry,simple,jewelry,Jewelry,Necklaces,Disc pendant,140,,1,4,2,0.1,"A hammered 12 mm disc on a fine chain, plain for an initial. The disc is 14 karat gold on a 45 cm chain. One initial is engraved free.","A hammered 12 mm disc on a fine chain, plain for an initial.",32,1,14k gold,None,,Gold,j-disc-pendant.webp,j-disc-pendant.webp,j-disc-pendant.webp,j-disc-pendant.webp,disc-pendant,,,,,,
J-BAR-NECK,Jewelry,simple,jewelry,Jewelry,Necklaces,Bar necklace,120,,1,4,2,0.1,"A slim horizontal bar in sterling silver on a 45 cm chain. The bar is 30 mm long and 2 mm wide, polished on the front. Engraving is free.",A slim horizontal bar in sterling silver on a 45 cm chain.,8,1,Sterling silver,None,,Silver,j-bar-neck.webp,j-bar-neck.webp,j-bar-neck.webp,j-bar-neck.webp,bar-necklace,,,,,,
